Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
536,Mike Moore,0.0,144.1,,1982,22,SEA,AL,7,14,.333,21,5.36,28,27,1,1,0,144.1,159,91,86,21,79,0,73,2,0,6,651,79,5.28,1.649,9.9,1.3,4.9,4.6,0.92,0.0,-1.3,,mooremi01
537,Bob Owchinko,0.0,170.0,,1977,22,SDP,NL,9,12,.429,21,4.45,30,28,3,2,0,170.0,191,93,84,20,67,5,101,0,2,5,743,80,4.26,1.518,10.1,1.1,3.5,5.3,1.51,0.0,-1.3,1,owchibo01
538,Hunter Brown,0.0,155.2,,2023,24,HOU,AL,11,13,.458,24,5.09,31,29,0,0,0,155.2,157,94,88,26,55,0,178,9,0,4,665,83,4.37,1.362,9.1,1.5,3.2,10.3,3.24,0.0,-1.4,,brownhu01
539,Luis Medina,0.0,109.2,,2023,24,OAK,AL,3,10,.231,13,5.42,23,17,0,0,0,109.2,109,73,66,14,57,2,106,8,2,11,495,78,4.76,1.514,8.9,1.1,4.7,8.7,1.86,0.0,-1.0,,medinlu02
540,Ken Waldichuk,0.0,141.0,,2023,25,OAK,AL,4,9,.308,13,5.36,35,22,0,0,1,141.0,149,93,84,24,71,1,132,9,1,7,639,78,5.30,1.560,9.5,1.5,4.5,8.4,1.86,0.0,-1.2,,waldike01
541,Rocky Biddle,0.0,128.2,,2001,25,CHW,AL,7,8,.467,15,5.39,30,21,0,0,0,128.2,137,87,77,16,52,3,85,8,0,6,571,86,4.74,1.469,9.6,1.1,3.6,5.9,1.63,0.0,-1.3,1,biddlro01
542,Ryne Nelson,0.0,144.0,,2023,25,ARI,NL,8,8,.500,16,5.31,29,27,0,0,0,144.0,159,87,85,24,46,0,96,1,1,6,619,83,5.07,1.424,9.9,1.5,2.9,6.0,2.09,0.0,-1.3,,nelsory01
543,Jonathan Heasley,-0.1,104.0,,2022,25,KCR,AL,4,10,.286,14,5.28,21,21,0,0,0,104.0,108,67,61,19,47,0,70,6,0,9,465,78,5.67,1.490,9.3,1.6,4.1,6.1,1.49,-0.1,-1.0,,heasljo01
544,Danny Duffy,-0.1,105.1,,2011,22,KCR,AL,4,8,.333,12,5.64,20,20,0,0,0,105.1,119,66,66,15,51,1,87,5,1,4,474,73,4.82,1.614,10.2,1.3,4.4,7.4,1.71,-0.1,-1.1,1,duffyda01
545,Jeff Suppan,-0.1,112.1,,1997,22,BOS,AL,7,3,.700,10,5.69,23,22,0,0,0,112.1,140,75,71,12,36,1,67,4,0,5,503,82,4.37,1.567,11.2,1.0,2.9,5.4,1.86,-0.1,-1.2,1,suppaje01
546,David Huff,-0.1,128.1,,2009,24,CLE,AL,11,8,.579,19,5.61,23,23,0,0,0,128.1,159,82,80,16,41,1,65,1,0,1,574,76,4.69,1.558,11.2,1.1,2.9,4.6,1.59,-0.1,-1.3,1,huffda01
547,Brad Halsey,-0.1,160.0,,2005,24,ARI,NL,8,12,.400,20,4.61,28,26,0,0,0,160.0,191,101,82,20,39,3,82,9,1,2,700,96,4.52,1.438,10.7,1.1,2.2,4.6,2.10,-0.1,-1.4,1,halsebr01
548,John Mitchell,-0.1,111.2,,1987,21,NYM,NL,3,6,.333,9,4.11,20,19,1,0,0,111.2,124,64,51,6,36,3,57,2,1,7,493,93,3.57,1.433,10.0,0.5,2.9,4.6,1.58,-0.1,-1.1,1,mitchjo02
549,Glendon Rusch,-0.1,170.1,,1997,22,KCR,AL,6,9,.400,15,5.50,30,27,1,0,0,170.1,206,111,104,28,52,0,116,7,1,0,758,85,4.92,1.515,10.9,1.5,2.7,6.1,2.23,-0.1,-1.7,1,ruschgl01
550,Sean Marshall,-0.1,125.2,,2006,23,CHC,NL,6,9,.400,15,5.59,24,24,0,0,0,125.2,132,85,78,20,59,3,77,7,0,6,563,83,5.57,1.520,9.5,1.4,4.2,5.5,1.31,-0.1,-1.1,1,marshse01
551,Kazuhisa Ishii,-0.1,154.0,ROY-4,2002,28,LAD,NL,14,10,.583,24,4.27,28,28,0,0,0,154.0,137,82,73,20,106,3,143,4,0,7,692,89,4.94,1.578,8.0,1.2,6.2,8.4,1.35,-0.1,-1.3,1,ishiika01
552,Frank Viola,-0.1,126.0,,1982,22,MIN,AL,4,10,.286,14,5.21,22,22,3,1,0,126.0,152,77,73,22,38,2,84,0,1,4,543,82,4.56,1.508,10.9,1.6,2.7,6.0,2.21,-0.1,-1.2,,violafr01
553,Mike Gardiner,-0.1,130.0,,1991,25,BOS,AL,9,10,.474,19,4.85,22,22,0,0,0,130.0,140,79,70,18,47,2,91,0,0,1,562,89,4.34,1.438,9.7,1.2,3.3,6.3,1.94,-0.1,-1.3,,gardimi01
554,Donovan Osborne,-0.1,179.0,ROY-5,1992,23,STL,NL,11,9,.550,20,3.77,34,29,0,0,0,179.0,193,91,75,14,38,2,104,2,0,6,754,90,3.31,1.291,9.7,0.7,1.9,5.2,2.74,-0.1,-1.5,1,osbordo01
555,Randy Tate,-0.1,137.2,,1975,22,NYM,NL,5,13,.278,18,4.45,26,23,2,0,0,137.2,121,73,68,8,86,3,99,5,2,1,605,78,3.89,1.504,7.9,0.5,5.6,6.5,1.15,-0.1,-1.3,1,tatera01
556,Tyler Green,-0.2,140.2,,1995,25,PHI,NL,8,9,.471,17,5.31,26,25,4,2,0,140.2,157,86,83,15,66,3,85,4,2,9,623,79,4.77,1.585,10.0,1.0,4.2,5.4,1.29,-0.2,-1.3,1/H,greenty01
557,Rick Honeycutt,-0.2,134.1,,1978,24,SEA,AL,5,11,.313,16,4.89,26,24,4,1,0,134.1,150,81,73,12,49,5,50,3,0,3,594,78,4.16,1.481,10.0,0.8,3.3,3.3,1.02,-0.2,-1.5,,honeyri01
558,Zach McAllister,-0.2,125.1,,2012,24,CLE,AL,6,8,.429,14,4.24,22,22,0,0,0,125.1,133,78,59,19,38,0,110,1,2,0,543,92,4.24,1.364,9.6,1.4,2.7,7.9,2.89,-0.2,-1.4,,mcallza01
559,Mark Clark,-0.2,113.1,,1992,24,STL,NL,3,10,.231,13,4.45,20,20,1,1,0,113.1,117,59,56,12,36,2,44,0,0,4,488,77,4.34,1.350,9.3,1.0,2.9,3.5,1.22,-0.2,-1.0,1,clarkma01
560,Mike Leake,-0.2,138.1,,2010,22,CIN,NL,8,4,.667,12,4.23,24,22,0,0,0,138.1,158,77,65,19,49,2,91,3,0,2,604,96,4.68,1.496,10.3,1.2,3.2,5.9,1.86,-0.2,-1.3,1/H,leakemi01
561,Sean Gallagher,-0.2,115.1,,2008,22,CHCOAK,ALNL,5,7,.417,12,5.15,23,21,0,0,0,115.1,118,73,66,13,58,2,103,6,0,2,522,85,4.48,1.526,9.2,1.0,4.5,8.0,1.78,-0.2,-1.2,1,gallase01
562,Justin Miller,-0.2,102.1,,2002,24,TOR,AL,9,5,.643,14,5.54,25,18,0,0,0,102.1,103,70,63,12,66,2,68,11,0,6,469,83,5.41,1.651,9.1,1.1,5.8,6.0,1.03,-0.2,-1.2,1,milleju01
