Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
597,Ryan Drese,-0.8,137.1,,2002,26,CLE,AL,10,9,.526,19,6.55,26,26,1,0,0,137.1,176,104,100,15,62,1,102,6,0,11,635,67,4.38,1.733,11.5,1.0,4.1,6.7,1.65,-0.8,-2.1,1,dresery01
598,Wandy Rodríguez,-0.8,128.2,,2005,26,HOU,NL,10,10,.500,20,5.53,25,22,0,0,0,128.2,135,82,79,19,53,2,80,8,3,3,560,77,5.12,1.461,9.4,1.3,3.7,5.6,1.51,-0.8,-1.8,1,rodriwa01
599,Mike Campbell,-0.8,114.2,,1988,24,SEA,AL,6,10,.375,16,5.89,20,20,2,0,0,114.2,128,81,75,18,43,1,63,0,4,4,507,71,4.84,1.491,10.0,1.4,3.4,4.9,1.47,-0.8,-1.8,,campbmi01
600,Frankie Rodriguez,-0.8,105.2,,1995,22,BOSMIN,AL,5,8,.385,13,6.13,25,18,0,0,0,105.2,114,83,72,11,57,1,59,5,0,9,478,79,5.10,1.618,9.7,0.9,4.9,5.0,1.04,-0.8,-1.9,,rodrifr02
601,Robert Gsellman,-0.8,119.2,,2017,23,NYM,NL,8,7,.533,15,5.19,25,22,1,0,0,119.2,138,85,69,17,42,3,82,8,0,4,549,80,4.89,1.504,10.4,1.3,3.2,6.2,1.95,-0.8,-1.8,1/H,gsellro01
602,Taylor Buchholz,-0.9,113.0,,2006,24,HOU,NL,6,10,.375,16,5.89,22,19,1,1,0,113.0,107,80,74,21,34,4,77,3,0,5,479,76,5.18,1.248,8.5,1.7,2.7,6.1,2.26,-0.9,-1.9,1/H,buchhta01
603,Carlton Loewer,-0.9,122.2,,1998,24,PHI,NL,7,8,.467,15,6.09,21,21,1,0,0,122.2,154,86,83,18,39,1,58,3,0,4,549,72,5.13,1.573,11.3,1.3,2.9,4.3,1.49,-0.9,-1.9,1,loeweca01
604,Alan Benes,-1.0,191.0,ROY-7,1996,24,STL,NL,13,10,.565,23,4.90,34,32,3,1,0,191.0,192,120,104,27,87,3,131,7,1,5,840,85,5.11,1.461,9.0,1.3,4.1,6.2,1.51,-1.0,-2.4,1,benesal01
605,Jeremy Bonderman,-1.1,162.0,,2003,20,DET,AL,6,19,.240,25,5.56,33,28,0,0,0,162.0,193,118,100,23,58,2,108,4,2,12,727,78,4.69,1.549,10.7,1.3,3.2,6.0,1.86,-1.1,-2.7,1,bondeje01
606,Allen Levrault,-1.1,130.2,,2001,23,MIL,NL,6,10,.375,16,6.06,32,20,1,0,0,130.2,146,93,88,27,59,7,80,7,1,2,593,71,6.03,1.569,10.1,1.9,4.1,5.5,1.36,-1.1,-2.2,1,levraal01
607,Wily Peralta,-1.1,183.1,,2013,24,MIL,NL,11,15,.423,26,4.37,32,32,2,1,0,183.1,187,107,89,19,73,3,129,7,0,12,802,88,4.30,1.418,9.2,0.9,3.6,6.3,1.77,-1.1,-2.6,1,peralwi01
608,Mike Bruhert,-1.1,133.2,,1978,27,NYM,NL,4,11,.267,15,4.78,27,22,1,1,0,133.2,171,83,71,6,34,5,56,1,2,10,585,73,3.12,1.534,11.5,0.4,2.3,3.8,1.65,-1.1,-2.3,1,bruhemi01
609,Randy Lerch,-1.2,168.2,,1977,22,PHI,NL,10,6,.625,16,5.07,32,28,3,0,0,168.2,207,102,95,20,75,3,81,1,2,8,761,80,4.67,1.672,11.0,1.1,4.0,4.3,1.08,-1.2,-2.5,1/H,lerchra01
610,Colby Lewis,-1.3,127.0,,2003,23,TEX,AL,10,9,.526,19,7.30,26,26,0,0,0,127.0,163,104,103,23,70,1,88,5,0,5,594,69,5.77,1.835,11.6,1.6,5.0,6.2,1.26,-1.3,-2.5,1,lewisco01
611,Kyle Abbott,-1.3,133.1,,1992,24,PHI,NL,1,14,.067,15,5.13,31,19,0,0,0,133.1,147,80,76,20,45,0,88,1,1,9,577,69,4.45,1.440,9.9,1.4,3.0,5.9,1.96,-1.3,-2.3,1,abbotky01
612,Garrett Olson,-1.4,132.2,,2008,24,BAL,AL,9,10,.474,19,6.65,26,26,0,0,0,132.2,168,100,98,17,62,1,83,8,0,6,621,67,5.13,1.734,11.4,1.2,4.2,5.6,1.34,-1.4,-2.7,1,olsonga01
613,Josh Geer,-1.5,102.2,,2009,26,SDP,NL,1,7,.125,8,5.96,19,17,0,0,0,102.2,116,73,68,27,23,0,54,4,0,0,438,64,6.25,1.354,10.2,2.4,2.0,4.7,2.35,-1.5,-2.3,1,geerjo01
614,Javier Vázquez,-1.8,172.1,,1998,21,MON,NL,5,15,.250,20,6.06,33,32,0,0,0,172.1,196,121,116,31,68,2,139,11,0,2,764,69,5.24,1.532,10.2,1.6,3.6,7.3,2.04,-1.8,-3.2,1,vazquja01
615,Phil Huffman,-1.8,173.0,,1979,21,TOR,AL,6,18,.250,24,5.77,31,31,2,1,0,173.0,220,130,111,25,68,0,56,0,3,5,802,75,5.14,1.665,11.4,1.3,3.5,2.9,0.82,-1.8,-3.4,,huffmph01
616,Paul Wilson,-1.9,149.0,,1996,23,NYM,NL,5,12,.294,17,5.38,26,26,1,0,0,149.0,157,102,89,15,71,11,109,10,3,3,677,75,4.65,1.530,9.5,0.9,4.3,6.6,1.54,-1.9,-3.0,1,wilsopa02
617,Joey Wentz,-1.9,105.2,,2023,25,DET,AL,3,13,.188,16,6.90,25,19,0,0,0,105.2,131,87,81,25,47,0,98,0,2,2,492,63,5.81,1.685,11.2,2.1,4.0,8.3,2.09,-1.9,-2.8,,wentzjo01
