Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Jeff Robinson,SFG,4/7/84,7/25/84,-0.7,115.1,6,11,21,0.353,4.21,120,9,34,74,496,168,50,-9.15,0.99,robinje01
Jerry Garvin,TOR,4/10/77,7/22/77,-0.7,155.1,7,10,21,0.412,4,158,20,59,78,667,227,51,-0.87,1.09,garvije01
Carlton Loewer,PHI,6/14/98,1998-09-27 (2),-0.8,122.2,7,8,21,0.467,6.09,154,18,39,58,549,201,41,-21.08,0.94,loeweca01
Zack Britton,BAL,4/3/11,8/22/11,-0.8,115,7,9,21,0.438,4.54,128,9,44,72,502,179,47,-11.27,1,brittza01
Matt Chico,WSN,4/4/07,7/25/07,-0.8,113,4,6,21,0.4,4.78,123,18,48,61,503,183,46,-7.5,1,chicoma01
Rob Bell,CIN,4/8/00,8/27/00,-0.8,111,5,7,21,0.417,4.95,105,26,62,91,494,171,48,-7.52,1.01,bellro01
Trevor Cahill,OAK,4/7/09,7/27/09,-0.8,115,6,9,21,0.4,4.77,122,21,49,56,503,181,46,-5.91,0.93,cahiltr01
Pete Redfern,MIN,1976-05-15 (2),9/17/76,-0.8,102,6,8,21,0.429,3.97,98,5,60,66,451,163,48,-12.12,1,redfepe01
Jesse Foppert,SFG,4/14/03,8/8/03,-0.9,101,8,8,19,0.5,5.08,92,14,63,97,454,162,48,-9.06,0.97,foppeje01
Bob Shirley,SDP,4/10/77,7/17/77,-0.9,119.2,6,11,21,0.353,3.69,127,14,54,79,538,197,49,-8.8,0.99,shirlbo01
Eric Lauer,SDP,4/24/18,9/15/18,-0.9,100.2,5,7,21,0.417,4.74,116,14,43,89,456,171,47,-13.9,0.98,lauerer01
Derek Lilliquist,ATL,4/13/89,7/25/89,-0.9,104.1,5,6,19,0.455,3.88,125,11,25,45,455,157,47,-8.35,1.03,lillide01
Randy Wolf,PHI,6/11/99,9/28/99,-0.9,117.2,6,9,20,0.4,5.35,120,18,64,114,533,191,48,-7.95,1.01,wolfra02
