Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
104,Ángel Miranda,MIL,1993-06-05,1993-09-29,0.3,119.2,4,5,17,0,0,2,0,0,119.2,9,.444,3.23,99,52,43,9,12,51,4,88,2,2,4,499,159,56,1682,983,0.3,11.95,5,1,1.03,,,Games List,miranan01
105,Jim Gott,TOR,1982-04-09,1982-08-08 (1),0.2,104.2,3,7,16,0,0,1,1,3,104.2,10,.300,4.04,102,55,47,8,12,44,0,69,1,0,4,458,155,49,,,0.2,1.30,5,3,0.93,,,Games List,gottji01
106,Brett Anderson,OAK,2009-04-10,2009-08-09,0.2,121.2,7,8,21,0,0,1,1,0,121.2,15,.467,4.22,122,67,57,10,14,35,1,98,3,1,0,513,167,50,1948,1225,0.2,0.87,,,0.91,,,Games List,anderbr04
107,Kenshin Kawakami,ATL,2009-04-11,2009-08-08,0.2,118.0,5,9,21,0,0,0,0,0,118.0,14,.357,4.12,112,60,54,6,14,49,4,84,5,1,6,511,170,50,1941,1188,0.2,-0.31,,,1.04,,,Games List,kawakke01
108,Vladimir Gutierrez,CIN,2021-05-28,2021-09-20,0.2,111.1,9,6,21,0,0,0,0,0,111.1,15,.600,4.53,110,57,56,1,20,42,0,85,4,2,3,480,159,49,1531,964,0.2,2.96,,,0.99,,,Games List,gutievl01
109,Eric Milton,MIN,1998-04-05,1998-07-29,0.2,122.1,6,7,21,0,0,1,0,0,122.1,13,.462,4.63,126,67,63,4,18,43,0,69,1,0,1,529,176,48,2048,1286,0.2,2.90,,,0.97,,,Games List,miltoer01
110,Mike Maroth,DET,2002-06-08,2002-09-29,0.2,128.2,6,10,21,0,0,0,0,0,128.2,16,.375,4.48,136,68,64,4,7,36,1,58,2,0,4,538,180,48,1994,1249,0.2,2.03,,,1.03,,,Games List,marotmi01
111,Merrill Kelly,ARI,2019-04-01,2019-07-23,0.2,119.1,7,10,21,0,0,0,0,0,119.1,17,.412,4.22,120,60,56,4,19,31,1,96,1,0,3,502,154,51,1349,849,0.2,0.49,,,0.88,,,Games List,kellyme01
112,Mark Gubicza,KCR,1984-04-06,1984-08-14,0.1,142.0,8,9,21,0,0,4,2,0,142.0,17,.471,3.55,120,60,56,4,8,56,0,83,4,0,2,593,187,55,,,0.1,10.15,,,0.94,,,Games List,gubicma01
113,Masato Yoshii,NYM,1998-04-05,1998-07-31,0.1,123.2,4,6,21,0,0,1,0,0,123.2,10,.400,3.78,115,56,52,4,18,41,4,84,6,1,2,520,169,52,1829,1160,0.1,7.51,,,0.98,,,Games List,yoshima01
114,Mike Leake,CIN,2010-04-11,2010-08-09,0.1,129.2,7,4,21,0,0,0,0,0,129.2,11,.636,3.75,141,66,54,12,15,44,2,80,3,0,2,556,196,50,1942,1203,0.1,-0.74,,,0.96,,,Games List,leakemi01
115,Brandon Williamson,CIN,2023-05-16,2023-09-17,0.1,106.2,4,5,21,0,0,0,0,0,106.2,9,.444,4.56,102,59,54,5,16,36,0,93,2,2,3,449,144,49,1781,1138,0.1,1.83,,,1.04,250.00,485.00,Games List,willibr02
116,Tony Saunders,FLA,1997-04-05,1997-09-24,0.0,105.1,4,6,20,0,0,0,0,0,105.1,10,.400,4.27,91,55,50,5,10,62,1,94,2,1,1,456,162,51,1835,1028,0.0,0.28,0,0,1.14,,,Games List,saundto01
117,Claudio Vargas,MON,2003-04-26,2003-09-17,0.0,110.1,6,8,19,0,0,0,0,0,110.1,14,.429,4.49,110,59,55,4,16,40,5,60,7,0,2,478,160,48,1825,1123,0.0,2.14,2,0,1.00,,,Games List,vargacl01
118,Travis Driskill,BAL,2002-04-26,2002-08-19,0.0,105.2,8,6,16,0,0,0,0,1,105.2,14,.571,4.77,122,60,56,4,18,37,1,61,5,0,3,468,167,45,1759,1062,0.0,-2.63,2,1,0.95,,,Games List,drisktr01
119,Lary Sorensen,MIL,1977-06-07,1977-09-17,0.0,129.1,6,9,18,0,0,9,0,2,129.1,15,.400,4.11,126,60,59,1,8,33,4,53,1,1,1,532,166,53,,,0.0,4.61,2,0,0.88,,,Games List,sorenla01
120,Sean Marshall,CHC,2006-04-09,2006-09-07,0.0,112.2,5,9,21,0,0,0,0,0,112.2,14,.357,5.27,115,69,66,3,17,50,3,69,6,0,3,495,176,46,1822,1079,0.0,-5.15,,,1.01,,,Games List,marshse01
121,Pete Falcone,SFG,1975-04-13 (2),1975-07-30,0.0,121.2,7,7,20,0,0,2,1,1,121.2,14,.500,3.85,102,55,52,3,10,65,4,78,3,3,4,519,175,52,86,46,0.0,-0.53,2,0,1.09,,,Games List,falcope01
122,Hunter Greene,CIN,2022-04-10,2022-09-17 (2),0.0,108.2,4,12,21,0,0,1,1,0,108.2,16,.250,4.97,96,61,60,1,23,41,0,138,7,0,4,463,148,52,1682,1048,0.0,-2.67,,,0.99,,,Games List,greenhu01
123,Sean Manaea,OAK,2016-04-29,2016-08-29,0.0,120.2,5,9,20,0,0,0,0,0,120.2,14,.357,4.40,120,62,59,3,19,32,1,104,3,0,3,505,164,51,1842,1227,0.0,-1.23,0,0,0.99,,,Games List,manaese01
124,Kyle Bradish,BAL,2022-04-29,2022-09-22,0.0,110.1,4,7,21,0,0,0,0,0,110.1,11,.364,4.65,112,60,57,3,16,37,0,103,6,0,5,468,159,49,1809,1120,0.0,-6.54,,,0.94,,,Games List,bradiky01
125,Carlos Rodón,CHW,2015-04-21,2015-08-22,-0.1,106.2,5,5,18,0,0,1,0,1,106.2,10,.500,4.22,106,55,50,5,9,58,0,114,5,0,6,473,174,51,1941,1174,-0.1,-4.71,4,4,1.10,,,Games List,rodonca01
126,Roenis Elías,SEA,2014-04-03,2014-07-27,-0.1,123.1,8,8,21,0,0,1,1,0,123.1,16,.500,4.31,112,64,59,5,14,45,2,110,7,4,5,518,167,52,1974,1232,-0.1,-5.70,,,0.97,,,Games List,eliasro01
127,John Thomson,COL,1997-05-11,1997-08-27,-0.1,129.1,6,8,21,0,0,2,1,0,129.1,14,.429,4.59,143,72,66,6,7,42,0,83,3,0,2,556,196,48,1924,1255,-0.1,2.24,,,1.01,,,Games List,thomsjo01
128,Bret Saberhagen,KCR,1984-04-04,1984-07-20,-0.1,100.2,4,8,11,0,0,1,0,4,100.2,12,.333,3.40,93,48,38,10,8,20,2,42,1,1,6,410,122,49,,,-0.1,2.47,7,1,0.86,,,Games List,saberbr01
129,Ervin Santana,LAA,2005-05-17,2005-09-22,-0.2,121.0,10,8,21,0,0,1,1,0,121.0,18,.556,4.69,125,67,63,4,17,45,2,86,8,0,4,531,181,48,2051,1305,-0.2,-2.24,,,1.02,,,Games List,santaer01
130,Tyler Chatwood,LAA,2011-04-11,2011-08-06,-0.2,123.0,6,8,21,0,0,0,0,0,123.0,14,.429,4.10,130,62,56,6,9,59,3,66,6,1,2,533,199,48,2020,1210,-0.2,-6.30,,,0.97,,,Games List,chatwty01
131,Josh Towers,BAL,2001-05-02,2001-08-29,-0.2,122.2,8,8,17,0,0,1,1,2,122.2,16,.500,4.11,140,60,56,4,18,13,0,48,5,0,1,508,165,49,1660,1168,-0.2,6.33,5,0,0.93,,,Games List,towerjo01
132,Teddy Higuera,MIL,1985-04-23,1985-08-04 (1),-0.2,121.1,8,6,19,0,0,3,1,2,121.1,14,.571,4.90,108,73,66,7,13,37,0,78,1,2,4,507,153,49,,,-0.2,-6.08,2,0,1.02,,,Games List,higuete01
133,Donovan Osborne,STL,1992-04-09,1992-07-28,-0.2,117.2,7,6,20,0,0,0,0,0,117.2,13,.538,3.90,125,60,51,9,12,26,1,68,2,0,3,494,160,51,1751,1129,-0.2,-9.06,0,0,1.02,,,Games List,osbordo01
134,Pat Underwood,DET,1979-05-31,1979-09-01,-0.2,108.1,6,4,15,0,0,1,0,2,108.1,10,.600,4.98,119,62,60,2,15,27,1,71,2,0,2,460,149,49,,,-0.2,-4.92,6,0,0.96,,,Games List,underpa01
135,Brian Meadows,FLA,1998-04-04,1998-07-23,-0.2,121.0,9,7,21,0,0,1,0,0,121.0,16,.563,4.24,140,62,57,5,12,31,3,57,1,1,3,522,176,47,1719,1115,-0.2,-3.52,,,0.97,,,Games List,meadobr01
136,Rick Matula,ATL,1979-04-08,1979-08-03,-0.2,127.0,6,8,21,0,0,1,0,0,127.0,14,.429,3.83,143,64,54,10,10,46,7,53,2,0,1,552,204,48,,,-0.2,-4.74,,,1.03,,,Games List,matulri01
137,Mitchell Parker,WSN,2024-04-15,2024-08-09,-0.2,112.2,6,6,21,0,0,0,0,0,112.2,12,.500,3.83,106,55,48,7,14,29,0,92,1,0,6,468,139,52,1754,1181,-0.2,-0.99,,,0.91,283.90,538.00,Games List,parkemi01
138,Andrew Suárez,SFG,2018-04-11,2018-08-14,-0.2,116.2,4,8,21,0,0,0,0,0,116.2,12,.333,4.40,123,60,57,3,17,29,0,100,1,0,3,484,155,50,1471,968,-0.2,-4.41,,,0.96,,,Games List,suarean01
139,Paul Thormodsgard,MIN,1977-04-10 (2),1977-07-17 (1),-0.3,126.0,7,6,21,0,0,6,1,0,126.0,13,.538,3.79,129,58,53,5,13,37,1,53,1,0,4,528,176,50,,,-0.3,2.36,,,0.87,,,Games List,thormpa01
140,Hiroki Kuroda,LAD,2008-04-04,2008-08-02,-0.3,124.0,6,8,21,0,0,2,2,0,124.0,14,.429,4.21,127,65,58,7,11,31,5,75,3,0,4,532,168,50,1862,1200,-0.3,-4.06,,,1.02,,,Games List,kurodhi01
141,Chris Welsh,SDP,1981-04-12,1981-09-21,-0.3,120.1,6,6,18,0,0,4,2,2,120.1,12,.500,3.44,115,48,46,2,8,40,4,50,1,2,1,494,163,52,,,-0.3,2.95,3,1,0.97,,,Games List,welshch01
142,Logan Gilbert,SEA,2021-05-13,2021-09-13,-0.3,101.1,5,5,21,0,0,0,0,0,101.1,10,.500,4.97,101,57,56,1,15,22,1,115,6,0,8,432,133,50,1447,944,-0.3,-4.48,,,0.91,,,Games List,gilbelo01
143,David Williams,PIT,2001-06-06,2001-09-29,-0.3,109.1,3,7,17,0,0,0,0,1,109.1,10,.300,3.70,96,51,45,6,14,44,4,55,7,0,0,454,152,51,1656,1002,-0.3,4.71,4,4,0.98,,,Games List,willida07
144,Dinelson Lamet,SDP,2017-05-25,2017-09-26,-0.3,114.1,7,8,21,0,0,0,0,0,114.1,15,.467,4.57,88,63,58,5,18,54,2,139,6,0,9,485,153,53,1567,973,-0.3,-2.95,,,0.95,,,Games List,lametdi01
145,Yu Darvish,TEX,2012-04-09,2012-08-06,-0.3,134.0,11,8,21,0,0,0,0,0,134.0,19,.579,4.57,121,73,68,5,12,74,0,154,9,0,7,598,210,52,2304,1413,-0.3,-8.62,,,0.93,,,Games List,darviyu01
146,Dave Freisleben,SDP,1974-04-26,1974-07-31,-0.4,121.1,7,6,19,0,0,4,1,1,121.1,13,.538,3.86,120,57,52,5,8,57,6,78,5,1,11,532,191,51,,,-0.4,-1.37,0,0,1.09,,,Games List,freisda01
147,Spencer Arrighetti,HOU,2024-04-10,2024-08-10,-0.4,105.0,5,10,21,0,0,0,0,0,105.0,15,.333,5.14,102,61,60,1,15,50,0,129,6,0,2,463,158,50,1848,1189,-0.4,-8.81,,,0.94,299.45,576.00,Games List,arrigsp01
148,Bill Swift,SEA,1985-06-07,1985-09-18,-0.4,110.2,5,9,19,0,0,0,0,0,110.2,14,.357,4.88,123,66,60,6,8,42,5,45,4,3,5,489,175,44,,,-0.4,-10.08,1,1,1.01,,,Games List,swiftbi02
149,Roger Clemens,BOS,1984-05-15,1984-08-31,-0.4,133.1,9,4,20,0,0,5,1,0,133.1,13,.692,4.32,146,67,64,3,13,29,3,126,2,0,4,575,182,52,,,-0.4,2.44,0,0,0.87,,,Games List,clemero02
150,Seth Greisinger,DET,1998-06-03,1998-09-26,-0.4,130.0,6,9,21,0,0,0,0,0,130.0,15,.400,5.12,142,79,74,5,17,48,2,66,4,0,3,562,198,45,2113,1284,-0.4,-4.61,,,0.94,,,Games List,greisse01
151,Butch Henry,HOU,1992-04-09,1992-07-31,-0.4,119.1,3,7,21,0,0,0,0,0,119.1,10,.300,4.37,136,62,58,4,9,35,6,69,1,2,1,524,177,48,1816,1158,-0.4,-9.79,,,1.03,,,Games List,henrybu01
152,Jonathan Cannon,CHW,2024-04-17 (1),2024-09-16,-0.4,113.1,4,10,19,1,0,0,0,1,113.1,14,.286,4.61,118,61,58,3,17,36,0,81,4,1,2,480,161,48,1870,1180,-0.4,-2.13,0,0,0.90,222.20,457.00,Games List,cannojo02
153,Trevor Richards,MIA,2018-04-02,2018-09-04,-0.4,102.2,3,8,21,0,0,0,0,0,102.2,11,.273,4.73,100,55,54,1,12,49,4,105,5,1,8,450,154,49,1093,667,-0.4,-7.25,,,0.99,,,Games List,richatr01
154,Mike O'Connor,WSN,2006-04-27,2006-09-28,-0.4,105.0,3,8,20,0,0,0,0,0,105.0,11,.273,4.80,96,61,56,5,15,45,5,59,7,0,8,455,151,48,1684,1040,-0.4,-0.94,2,0,1.06,,,Games List,oconnmi01
155,Jake Irvin,WSN,2023-05-03,2023-09-01,-0.5,107.2,3,5,21,0,0,0,0,0,107.2,8,.375,4.35,105,56,52,4,18,44,0,88,8,1,2,469,159,49,1877,1178,-0.5,-1.84,,,0.96,232.05,477.00,Games List,irvinja01
156,Bob Walk,PHI,1980-05-26,1980-09-04,-0.5,121.0,10,4,21,0,0,2,0,0,121.0,14,.714,4.76,132,69,64,5,5,58,2,72,1,3,5,540,193,47,,,-0.5,-13.31,,,1.06,,,Games List,walkbo01
157,Gary Lucas,SDP,1980-04-16,1980-08-05,-0.6,113.1,4,7,18,0,0,0,0,2,113.1,11,.364,3.81,115,53,48,5,6,30,8,56,1,2,3,474,152,51,,,-0.6,-5.53,0,0,0.97,,,Games List,lucasga01
158,Micah Owings,ARI,2007-04-06,2007-08-07,-0.6,105.1,5,6,19,0,0,1,0,0,105.1,11,.455,4.96,115,61,58,3,11,42,2,70,9,0,5,469,168,46,1827,1129,-0.6,-3.58,2,0,1.05,,,Games List,owingmi01
159,John Danks,CHW,2007-04-08,2007-08-07,-0.6,118.0,6,9,21,0,0,0,0,0,118.0,15,.400,4.96,128,69,65,4,22,45,4,91,3,0,1,518,179,47,2002,1229,-0.6,-5.93,,,0.95,,,Games List,danksjo01
160,Joey Lucchesi,SDP,2018-03-30,2018-08-29,-0.6,105.1,7,7,21,0,0,0,0,0,105.1,14,.500,3.59,98,46,42,4,16,37,2,114,4,0,2,443,143,53,1324,824,-0.6,-0.28,,,0.90,,,Games List,lucchjo01
161,Charlie Lea,MON,1980-06-12,1980-10-05,-0.6,104.0,7,5,19,0,0,0,0,1,104.0,12,.583,3.72,103,51,43,8,5,55,4,56,2,0,2,458,164,49,110,57,-0.6,-5.40,3,3,1.11,,,Games List,leach01
162,Jim Abbott,CAL,1989-04-08,1989-08-12,-0.7,127.0,10,8,21,0,0,2,1,0,127.0,18,.556,3.76,133,68,53,15,8,51,1,83,3,2,4,552,197,50,2044,1261,-0.7,-5.29,,,1.02,,,Games List,abbotji01
163,Ben Sheets,MIL,2001-04-05,2001-08-05,-0.7,129.2,10,9,21,0,0,1,1,0,129.2,19,.526,4.79,137,76,69,7,19,45,6,84,4,0,3,559,191,48,2077,1306,-0.7,-8.79,,,0.90,,,Games List,sheetbe01
164,James Shields,TBD,2006-05-31,2006-09-22,-0.7,124.2,6,8,21,0,0,1,0,0,124.2,14,.429,4.84,141,69,67,2,18,38,5,104,5,0,9,540,187,48,1994,1232,-0.7,-2.05,,,1.09,,,Games List,shielja02
165,Rocky Coppinger,BAL,1996-06-11,1996-09-15,-0.7,109.2,8,6,20,0,0,0,0,1,109.2,14,.571,5.74,117,73,70,3,25,56,1,91,2,0,3,490,176,45,1636,966,-0.7,-6.56,2,0,0.97,,,Games List,coppiro01
166,Williams Pérez,ATL,2015-05-08,2015-09-18,-0.7,104.2,6,6,18,1,0,1,0,1,104.2,12,.500,5.16,117,64,60,4,12,47,1,68,9,1,4,464,174,46,1694,1045,-0.7,-10.13,0,0,1.01,,,Games List,perezwi01
167,David Hess,BAL,2018-05-12 (1),2018-09-28,-0.7,103.1,3,10,19,0,0,0,0,1,103.1,13,.231,4.88,106,64,56,8,22,37,2,74,8,1,3,454,156,47,1396,876,-0.7,-11.29,0,0,0.94,,,Games List,hessda01
168,Adam Loewen,BAL,2006-05-23,2006-09-24,-0.7,107.0,6,6,18,0,0,0,0,1,107.0,12,.500,5.30,108,68,63,5,7,57,0,93,8,1,3,480,177,48,1886,1129,-0.7,-5.99,3,2,1.02,,,Games List,loewead01
169,Jeff Robinson,SFG,1984-04-07,1984-07-25,-0.7,115.1,6,11,21,0,0,1,1,0,115.1,17,.353,4.21,120,62,54,8,9,34,4,74,5,1,4,496,168,50,,,-0.7,-9.15,,,0.99,,,Games List,robinje01
170,Jerry Garvin,TOR,1977-04-10,1977-07-22,-0.7,155.1,7,10,21,0,0,7,0,0,155.1,17,.412,4.00,158,77,69,8,20,59,4,78,3,1,2,667,227,51,,,-0.7,-0.87,,,1.09,,,Games List,garvije01
171,Carlton Loewer,PHI,1998-06-14,1998-09-27 (2),-0.8,122.2,7,8,21,0,0,1,0,0,122.2,15,.467,6.09,154,86,83,3,18,39,1,58,3,0,4,549,201,41,1901,1181,-0.8,-21.08,,,0.94,,,Games List,loeweca01
172,Zack Britton,BAL,2011-04-03,2011-08-22,-0.8,115.0,7,9,21,0,0,0,0,0,115.0,16,.438,4.54,128,72,58,14,9,44,3,72,0,0,4,502,179,47,1840,1111,-0.8,-11.27,,,1.00,,,Games List,brittza01
173,Matt Chico,WSN,2007-04-04,2007-07-25,-0.8,113.0,4,6,21,0,0,0,0,0,113.0,10,.400,4.78,123,64,60,4,18,48,2,61,4,0,6,503,183,46,1912,1179,-0.8,-7.50,,,1.00,,,Games List,chicoma01
174,Rob Bell,CIN,2000-04-08,2000-08-27,-0.8,111.0,5,7,21,0,0,0,0,0,111.0,12,.417,4.95,105,67,61,6,26,62,6,91,1,0,9,494,171,48,1805,1083,-0.8,-7.52,,,1.01,,,Games List,bellro01
175,Trevor Cahill,OAK,2009-04-07,2009-07-27,-0.8,115.0,6,9,21,0,0,0,0,0,115.0,15,.400,4.77,122,68,61,7,21,49,1,56,3,0,3,503,181,46,1992,1163,-0.8,-5.91,,,0.93,,,Games List,cahiltr01
176,Pete Redfern,MIN,1976-05-15 (2),1976-09-17,-0.8,102.0,6,8,21,0,0,0,0,0,102.0,14,.429,3.97,98,60,45,15,5,60,1,66,2,2,1,451,163,48,,,-0.8,-12.12,,,1.00,,,Games List,redfepe01
177,Jesse Foppert,SFG,2003-04-14,2003-08-08,-0.9,101.0,8,8,19,0,0,0,0,0,101.0,16,.500,5.08,92,64,57,7,14,63,4,97,2,0,12,454,162,48,1863,1108,-0.9,-9.06,0,0,0.97,,,Games List,foppeje01
178,Bob Shirley,SDP,1977-04-10,1977-07-17,-0.9,119.2,6,11,21,0,0,0,0,0,119.2,17,.353,3.69,127,64,49,15,14,54,9,79,2,4,2,538,197,49,,,-0.9,-8.80,,,0.99,,,Games List,shirlbo01
179,Eric Lauer,SDP,2018-04-24,2018-09-15,-0.9,100.2,5,7,21,0,0,0,0,0,100.2,12,.417,4.74,116,59,53,6,14,43,2,89,5,1,2,456,171,47,1516,952,-0.9,-13.90,,,0.98,,,Games List,lauerer01
180,Derek Lilliquist,ATL,1989-04-13,1989-07-25,-0.9,104.1,5,6,19,0,1,0,0,0,104.1,11,.455,3.88,125,55,45,10,11,25,3,45,1,3,0,455,157,47,1519,952,-0.9,-8.35,2,2,1.03,,,Games List,lillide01
181,Randy Wolf,PHI,1999-06-11,1999-09-28,-0.9,117.2,6,9,20,0,0,0,0,0,117.2,15,.400,5.35,120,73,70,3,18,64,0,114,5,0,4,533,191,48,2172,1305,-0.9,-7.95,0,0,1.01,,,Games List,wolfra02
182,Carl Pavano,MON,1998-05-23,1998-09-11,-0.9,119.2,5,8,21,0,0,0,0,0,119.2,13,.385,4.36,118,65,58,7,17,41,1,76,8,0,1,520,177,49,1913,1192,-0.9,-3.20,,,1.10,,,Games List,pavanca01
183,Jim Parque,CHW,1998-05-26,1998-09-23,-0.9,113.0,7,5,21,0,0,0,0,0,113.0,12,.583,5.10,135,72,64,8,14,49,0,77,6,3,0,507,196,44,1952,1154,-0.9,-10.67,,,1.04,,,Games List,parquji01
184,Mark Mulder,OAK,2000-04-18,2000-08-10,-1.0,122.0,6,8,21,0,0,0,0,0,122.0,14,.429,5.53,153,88,75,13,19,53,3,68,4,0,4,561,220,41,1944,1148,-1.0,-13.56,,,0.91,,,Games List,muldema01
185,Taylor Buchholz,HOU,2006-04-07,2006-09-11,-1.0,112.0,6,10,19,0,0,1,1,0,112.0,16,.375,5.95,107,80,74,6,21,34,4,77,3,0,5,476,152,46,1750,1107,-1.0,-15.96,0,0,0.92,,,Games List,buchhta01
186,David Huff,CLE,2009-05-17,2009-09-12,-1.1,114.1,10,7,21,0,0,0,0,0,114.1,17,.588,6.14,147,80,78,2,16,37,1,57,1,0,1,519,189,41,2035,1276,-1.1,-14.40,,,1.01,,,Games List,huffda01
187,Jim Beattie,NYY,1978-04-25,1978-09-08,-1.1,104.2,4,7,18,0,0,0,0,3,104.2,11,.364,3.70,105,50,43,7,8,41,1,51,6,1,6,455,157,49,,,-1.1,-6.31,1,0,0.87,,,Games List,beattji01
188,Shawn Chacón,COL,2001-04-29,2001-08-22,-1.1,123.2,6,8,21,0,0,0,0,0,123.2,14,.429,5.53,123,81,76,5,23,68,7,110,9,0,2,551,204,47,2112,1247,-1.1,-10.56,,,0.93,,,Games List,chacosh01
189,Mike Witt,CAL,1981-04-11,1981-09-28,-1.1,120.0,7,9,20,0,0,6,1,1,120.0,16,.438,3.38,113,58,45,13,9,44,4,70,10,0,2,515,174,52,,,-1.1,-6.46,2,1,1.02,,,Games List,wittmi01
190,Mike Moore,SEA,1982-04-11 (2),1982-08-20,-1.1,109.1,6,10,20,0,0,1,1,0,109.1,16,.375,5.35,115,68,65,3,15,64,0,56,2,0,3,495,189,44,,,-1.1,-12.21,1,0,0.92,,,Games List,mooremi01
191,Patrick Corbin,ARI,2012-04-30,2012-09-27,-1.1,100.0,6,8,16,1,0,0,0,3,100.0,14,.429,4.77,111,55,53,2,14,24,1,80,4,0,1,427,142,47,1506,979,-1.1,-6.67,1,0,0.82,,,Games List,corbipa01
192,Eric Plunk,OAK,1986-05-12,1986-09-05,-1.1,107.0,4,7,15,0,0,0,0,1,107.0,11,.364,5.47,82,68,65,3,14,88,2,82,3,6,8,475,175,48,69,40,-1.1,-9.45,3,2,1.07,,,Games List,plunker01
193,Roger Erickson,MIN,1978-04-06,1978-07-16 (2),-1.2,136.2,9,6,21,0,0,5,0,0,136.2,15,.600,4.87,157,81,74,7,9,46,0,65,6,3,7,601,215,46,,,-1.2,-12.63,,,0.89,,,Games List,erickro01
194,Johnny Cueto,CIN,2008-04-03,2008-07-22,-1.2,123.0,7,9,21,0,0,0,0,0,123.0,16,.438,4.90,121,73,67,6,22,46,1,113,6,1,4,534,177,50,2075,1326,-1.2,-8.25,,,0.91,,,Games List,cuetojo01
195,Esteban Loaiza,PIT,1995-04-29,1995-08-02,-1.2,110.1,6,5,20,0,0,1,0,0,110.1,11,.545,5.30,128,75,65,10,14,31,1,54,3,1,5,478,168,44,1486,971,-1.2,-17.18,0,0,0.95,,,Games List,loaizes01
196,Glendon Rusch,KCR,1997-04-06,1997-08-04,-1.2,114.1,3,8,18,0,0,0,0,0,114.1,11,.273,6.06,148,82,77,5,18,35,0,76,3,0,0,516,190,42,1666,1040,-1.2,-13.89,0,0,0.91,,,Games List,ruschgl01
197,Brad Radke,MIN,1995-04-29,1995-08-13,-1.2,125.1,8,11,20,0,0,0,0,0,125.1,19,.421,5.46,146,80,76,4,23,30,0,54,4,0,3,543,182,45,1880,1196,-1.2,-10.22,0,0,0.92,,,Games List,radkebr01
198,Frank Viola,MIN,1982-06-06,1982-09-28 (1),-1.2,120.0,4,9,21,0,0,3,1,0,120.0,13,.308,5.25,142,74,70,4,21,37,2,79,0,1,4,516,184,45,,,-1.2,-9.67,,,1.01,,,Games List,violafr01
199,Chris Reitsma,CIN,2001-04-04,2001-07-22,-1.3,126.0,4,10,21,0,0,0,0,0,126.0,14,.286,4.71,146,76,66,10,13,36,5,62,4,0,3,556,191,46,1943,1280,-1.3,-7.48,,,0.99,,,Games List,reitsch01
200,Enrique González,ARI,2006-05-28,2006-09-28,-1.3,105.1,3,7,18,0,0,0,0,1,105.1,10,.300,5.72,112,71,67,4,14,34,0,65,4,0,1,457,155,44,1706,1055,-1.3,-12.12,1,0,0.96,,,Games List,gonzaen01
