Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
David Huff,,2009,24,CLE,AL,11,8,0.579,5.61,128.1,574,76,4.69,1.558,11.2,1.1,2.9,4.6,1.59,-0.1,-1.3,huffda01
Brad Halsey,,2005,24,ARI,NL,8,12,0.4,4.61,160,700,96,4.52,1.438,10.7,1.1,2.2,4.6,2.1,-0.1,-1.4,halsebr01
John Mitchell,,1987,21,NYM,NL,3,6,0.333,4.11,111.2,493,93,3.57,1.433,10,0.5,2.9,4.6,1.58,-0.1,-1.1,mitchjo02
Glendon Rusch,,1997,22,KCR,AL,6,9,0.4,5.5,170.1,758,85,4.92,1.515,10.9,1.5,2.7,6.1,2.23,-0.1,-1.7,ruschgl01
Sean Marshall,,2006,23,CHC,NL,6,9,0.4,5.59,125.2,563,83,5.57,1.52,9.5,1.4,4.2,5.5,1.31,-0.1,-1.1,marshse01
Kazuhisa Ishii,ROY-4,2002,28,LAD,NL,14,10,0.583,4.27,154,692,89,4.94,1.578,8,1.2,6.2,8.4,1.35,-0.1,-1.3,ishiika01
Frank Viola,,1982,22,MIN,AL,4,10,0.286,5.21,126,543,82,4.56,1.508,10.9,1.6,2.7,6,2.21,-0.1,-1.2,violafr01
Mike Gardiner,,1991,25,BOS,AL,9,10,0.474,4.85,130,562,89,4.34,1.438,9.7,1.2,3.3,6.3,1.94,-0.1,-1.3,gardimi01
Donovan Osborne,ROY-5,1992,23,STL,NL,11,9,0.55,3.77,179,754,90,3.31,1.291,9.7,0.7,1.9,5.2,2.74,-0.1,-1.5,osbordo01
Randy Tate,,1975,22,NYM,NL,5,13,0.278,4.45,137.2,605,78,3.89,1.504,7.9,0.5,5.6,6.5,1.15,-0.1,-1.3,tatera01
Tyler Green,,1995,25,PHI,NL,8,9,0.471,5.31,140.2,623,79,4.77,1.585,10,1,4.2,5.4,1.29,-0.2,-1.3,greenty01
Rick Honeycutt,,1978,24,SEA,AL,5,11,0.313,4.89,134.1,594,78,4.16,1.481,10,0.8,3.3,3.3,1.02,-0.2,-1.5,honeyri01
Zach McAllister,,2012,24,CLE,AL,6,8,0.429,4.24,125.1,543,92,4.24,1.364,9.6,1.4,2.7,7.9,2.89,-0.2,-1.4,mcallza01
Mark Clark,,1992,24,STL,NL,3,10,0.231,4.45,113.1,488,77,4.34,1.35,9.3,1,2.9,3.5,1.22,-0.2,-1,clarkma01
Mike Leake,,2010,22,CIN,NL,8,4,0.667,4.23,138.1,604,96,4.68,1.496,10.3,1.2,3.2,5.9,1.86,-0.2,-1.3,leakemi01
Sean Gallagher,,2008,22,CHCOAK,ALNL,5,7,0.417,5.15,115.1,522,85,4.48,1.526,9.2,1,4.5,8,1.78,-0.2,-1.2,gallase01
Justin Miller,,2002,24,TOR,AL,9,5,0.643,5.54,102.1,469,83,5.41,1.651,9.1,1.1,5.8,6,1.03,-0.2,-1.2,milleju01
Butch Henry,,1992,23,HOU,NL,6,9,0.4,4.02,165.2,710,84,3.64,1.364,10.1,0.9,2.2,5.2,2.34,-0.2,-1.4,henrybu01
Colin Rea,,2016,25,MIASDP,NL,5,5,0.5,4.82,102.2,454,83,4.63,1.422,8.9,1.1,3.9,7,1.82,-0.2,-1.1,reaco01
Bob Wolcott,,1996,22,SEA,AL,7,10,0.412,5.73,149.1,672,87,5.62,1.56,10.8,1.6,3.3,4.7,1.44,-0.3,-1.7,wolcobo01
Jesse Foppert,,2003,22,SFG,NL,8,9,0.471,5.03,111,500,84,5.03,1.55,8.4,1.3,5.6,8.2,1.46,-0.3,-1.1,foppeje01
Jimmy Jones,,1987,23,SDP,NL,9,7,0.563,4.14,145.2,639,96,4.64,1.428,9.5,0.9,3.3,3.2,0.94,-0.3,-1.6,jonesji02
Brian Meadows,,1998,22,FLA,NL,11,13,0.458,5.21,174.1,772,77,4.46,1.537,11.5,1,2.4,4.5,1.91,-0.3,-1.7,meadobr01
John Ely,,2010,24,LAD,NL,4,10,0.286,5.49,100,430,71,4.38,1.45,9.5,1.1,3.6,6.8,1.9,-0.3,-1.1,elyjo01
Doug Konieczny,,1975,23,HOU,NL,6,13,0.316,4.47,171,762,76,4.23,1.585,9.7,0.8,4.6,4.7,1.02,-0.3,-1.8,koniedo01
Bobby Witt,,1986,22,TEX,AL,11,9,0.55,5.48,157.2,741,79,4.83,1.732,7.4,1,8.2,9.9,1.22,-0.4,-1.8,wittbo01
Tim Pugh,,1993,26,CIN,NL,10,15,0.4,5.26,164.1,738,76,4.55,1.576,11,1,3.2,5.1,1.59,-0.4,-1.7,pughti01
Nick Pivetta,,2017,24,PHI,NL,8,10,0.444,6.02,133,584,72,4.87,1.511,9.7,1.7,3.9,9.5,2.46,-0.4,-1.5,pivetni01
Taj Bradley,,2023,22,TBR,AL,5,8,0.385,5.59,104.2,460,75,4.79,1.385,9.1,2,3.4,11.1,3.31,-0.4,-1.4,bradlta01
Greg Maddux,,1987,21,CHC,NL,6,14,0.3,5.61,155.2,701,76,4.5,1.638,10.5,1,4.3,5.8,1.36,-0.4,-1.8,maddugr01
Jeriome Robertson,ROY-7,2003,26,HOU,NL,15,9,0.625,5.1,160.2,711,86,4.97,1.519,10.1,1.3,3.6,5.5,1.55,-0.5,-1.7,roberje02
Mike Bielecki,,1986,26,PIT,NL,6,11,0.353,4.66,148.2,667,83,4.24,1.561,9,0.6,5,5,1,-0.5,-1.8,bielemi01
José Jiménez,,1999,25,STL,NL,5,14,0.263,5.85,163,727,79,4.53,1.497,9.6,0.9,3.9,6.2,1.59,-0.5,-1.8,jimenjo01
Scott Richmond,,2009,29,TOR,AL,8,11,0.421,5.52,138.2,610,80,5.22,1.486,9.5,1.8,3.8,7.6,1.98,-0.5,-1.8,richmsc01
Eric Bell,,1987,23,BAL,AL,10,13,0.435,5.45,165,729,81,5.5,1.527,9.5,1.7,4.3,6.1,1.42,-0.5,-2,beller01
Ed Hodge,,1984,26,MIN,AL,4,3,0.571,4.77,100,432,88,4.18,1.45,10.4,1.2,2.6,5.3,2.03,-0.5,-1.4,hodgeed01
Derek Holland,,2009,22,TEX,AL,8,13,0.381,6.12,138.1,611,76,5.1,1.496,10.4,1.7,3.1,7,2.28,-0.5,-1.8,hollade01
Santo Alcalá,,1976,23,CIN,NL,11,4,0.733,4.7,132,583,75,4.39,1.5,8.9,0.8,4.6,4.6,1,-0.5,-1.7,alcalsa01
Tyler Chatwood,,2011,21,LAA,AL,6,11,0.353,4.75,142,633,79,4.89,1.669,10.5,0.9,4.5,4.7,1.04,-0.5,-1.9,chatwty01
Jeff Robinson,,1987,25,DET,AL,9,6,0.6,5.37,127.1,569,79,4.4,1.461,9.3,1.1,3.8,6.9,1.81,-0.6,-1.7,robinje02
Michael Lorenzen,,2015,23,CIN,NL,4,9,0.308,5.4,113.1,515,73,5.4,1.659,10.4,1.4,4.5,6.6,1.46,-0.6,-1.5,lorenmi01
Randy Johnson,,1989,25,MONSEA,ALNL,7,13,0.35,4.82,160.2,715,82,4.05,1.512,8.2,0.7,5.4,7.3,1.35,-0.6,-2.1,johnsra05
Joe Slusarski,,1991,24,OAK,AL,5,7,0.417,5.27,109.1,486,73,4.96,1.582,10,1.2,4.3,4.9,1.15,-0.6,-1.6,slusajo01
Scott Carroll,,2014,29,CHW,AL,5,10,0.333,4.8,129.1,573,78,4.77,1.485,10.2,0.9,3.1,4.5,1.42,-0.6,-1.8,carrosc02
Renie Martin,,1980,24,KCR,AL,10,10,0.5,4.39,137.1,599,91,5.02,1.478,8.7,1.2,4.6,4.5,0.97,-0.6,-1.8,martire01
Jeff Johnson,,1991,24,NYY,AL,6,11,0.353,5.95,127,562,70,4.34,1.488,11.1,1.1,2.3,4.4,1.88,-0.7,-1.9,johnsje02
Blake Stein,,1998,24,OAK,AL,5,9,0.357,6.37,117.1,538,71,6,1.602,9,1.7,5.4,6.8,1.25,-0.7,-1.9,steinbl01
Rob Dressler,,1976,22,SFG,NL,3,10,0.231,4.43,107.2,480,82,4.02,1.486,10.4,0.7,2.9,2.8,0.94,-0.7,-1.6,dressro01
Wade Taylor,,1991,25,NYY,AL,7,12,0.368,6.27,116.1,528,66,4.62,1.693,11.1,1,4.1,5.6,1.36,-0.7,-1.8,taylowa01
Jason Berken,,2009,25,BAL,AL,6,12,0.333,6.54,119.2,560,70,5.31,1.738,12.3,1.4,3.3,5,1.5,-0.8,-1.9,berkeja01
Jharel Cotton,,2017,25,OAK,AL,9,10,0.474,5.58,129,566,75,5.68,1.442,9.3,2,3.7,7.3,1.98,-0.8,-2,cottojh01
Ryan Drese,,2002,26,CLE,AL,10,9,0.526,6.55,137.1,635,67,4.38,1.733,11.5,1,4.1,6.7,1.65,-0.8,-2.1,dresery01
Wandy Rodríguez,,2005,26,HOU,NL,10,10,0.5,5.53,128.2,560,77,5.12,1.461,9.4,1.3,3.7,5.6,1.51,-0.8,-1.8,rodriwa01
Mike Campbell,,1988,24,SEA,AL,6,10,0.375,5.89,114.2,507,71,4.84,1.491,10,1.4,3.4,4.9,1.47,-0.8,-1.8,campbmi01
Frankie Rodriguez,,1995,22,BOSMIN,AL,5,8,0.385,6.13,105.2,478,79,5.1,1.618,9.7,0.9,4.9,5,1.04,-0.8,-1.9,rodrifr0
Robert Gsellman,,2017,23,NYM,NL,8,7,0.533,5.19,119.2,549,80,4.89,1.504,10.4,1.3,3.2,6.2,1.95,-0.8,-1.8,gsellro01
Taylor Buchholz,,2006,24,HOU,NL,6,10,0.375,5.89,113,479,76,5.18,1.248,8.5,1.7,2.7,6.1,2.26,-0.9,-1.9,buchhta01
Carlton Loewer,,1998,24,PHI,NL,7,8,0.467,6.09,122.2,549,72,5.13,1.573,11.3,1.3,2.9,4.3,1.49,-0.9,-1.9,loeweca01
Alan Benes,ROY-7,1996,24,STL,NL,13,10,0.565,4.9,191,840,85,5.11,1.461,9,1.3,4.1,6.2,1.51,-1,-2.4,benesal01
Jeremy Bonderman,,2003,20,DET,AL,6,19,0.24,5.56,162,727,78,4.69,1.549,10.7,1.3,3.2,6,1.86,-1.1,-2.7,bondeje01
Allen Levrault,,2001,23,MIL,NL,6,10,0.375,6.06,130.2,593,71,6.03,1.569,10.1,1.9,4.1,5.5,1.36,-1.1,-2.2,levraal01
Wily Peralta,,2013,24,MIL,NL,11,15,0.423,4.37,183.1,802,88,4.3,1.418,9.2,0.9,3.6,6.3,1.77,-1.1,-2.6,peralwi01
Mike Bruhert,,1978,27,NYM,NL,4,11,0.267,4.78,133.2,585,73,3.12,1.534,11.5,0.4,2.3,3.8,1.65,-1.1,-2.3,bruhemi01
Randy Lerch,,1977,22,PHI,NL,10,6,0.625,5.07,168.2,761,80,4.67,1.672,11,1.1,4,4.3,1.08,-1.2,-2.5,lerchra01
Colby Lewis,,2003,23,TEX,AL,10,9,0.526,7.3,127,594,69,5.77,1.835,11.6,1.6,5,6.2,1.26,-1.3,-2.5,lewisco01
Kyle Abbott,,1992,24,PHI,NL,1,14,0.067,5.13,133.1,577,69,4.45,1.44,9.9,1.4,3,5.9,1.96,-1.3,-2.3,abbotky01
Garrett Olson,,2008,24,BAL,AL,9,10,0.474,6.65,132.2,621,67,5.13,1.734,11.4,1.2,4.2,5.6,1.34,-1.4,-2.7,olsonga01
Josh Geer,,2009,26,SDP,NL,1,7,0.125,5.96,102.2,438,64,6.25,1.354,10.2,2.4,2,4.7,2.35,-1.5,-2.3,geerjo01
Javier Vázquez,,1998,21,MON,NL,5,15,0.25,6.06,172.1,764,69,5.24,1.532,10.2,1.6,3.6,7.3,2.04,-1.8,-3.2,vazquja01
Phil Huffman,,1979,21,TOR,AL,6,18,0.25,5.77,173,802,75,5.14,1.665,11.4,1.3,3.5,2.9,0.82,-1.8,-3.4,huffmph01
Paul Wilson,,1996,23,NYM,NL,5,12,0.294,5.38,149,677,75,4.65,1.53,9.5,0.9,4.3,6.6,1.54,-1.9,-3,wilsopa02
Joey Wentz,,2023,25,DET,AL,3,13,0.188,6.9,105.2,492,63,5.81,1.685,11.2,2.1,4,8.3,2.09,-1.9,-2.8,wentzjo01
