Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Matt Wisler,,2015,22,ATL,NL,8,8,0.5,4.71,109,478,82,4.93,1.459,9.8,1.3,3.3,5.9,1.8,0.7,-0.2,wislema01
Mike O'Connor,,2006,25,WSN,NL,3,8,0.273,4.8,105,455,89,5.37,1.343,8.2,1.3,3.9,5.1,1.31,0.7,-0.2,oconnmi01
Mitch Talbot,,2010,26,CLE,AL,10,13,0.435,4.41,159.1,696,90,4.48,1.494,9.5,0.7,3.9,5,1.28,0.7,-0.9,talbomi01
Paul Thormodsgard,,1977,23,MIN,AL,11,15,0.423,4.62,218,926,86,4.3,1.381,9.7,1,2.7,3.9,1.45,0.7,-1.4,thormpa01
Tom Underwood,,1975,21,PHI,NL,14,13,0.519,4.14,219.1,949,90,3.41,1.391,9.1,0.5,3.4,5,1.46,0.7,-1.2,underto01
John Denny,,1975,22,STL,NL,10,7,0.588,3.97,136,591,95,3.2,1.471,9.9,0.3,3.4,4.8,1.41,0.6,-0.5,dennyjo01
Kevin Kobel,,1974,20,MIL,AL,6,14,0.3,3.99,169.1,712,90,3.92,1.299,8.8,0.9,2.9,3.9,1.37,0.6,-0.9,kobelke01
Ben Sheets,,2001,22,MIL,NL,11,10,0.524,4.76,151.1,653,90,4.83,1.414,9.9,1.4,2.9,5.6,1.96,0.6,-0.6,sheetbe01
Joe Kelly,,2012,24,STL,NL,5,7,0.417,3.53,107,457,108,4,1.383,9.4,0.8,3,6.3,2.08,0.6,-0.3,kellyjo05
Glenn Otto,,2022,26,TEX,AL,7,10,0.412,4.64,135.2,587,86,5.21,1.334,7.9,1.4,4.1,7.1,1.73,0.6,-0.6,ottogl01
Kirk McCaskill,,1985,24,CAL,AL,12,12,0.5,4.7,189.2,807,88,4.26,1.334,9,1.1,3,4.8,1.59,0.6,-1.1,mccaski01
Osvaldo Fernández,,1996,29,SFG,NL,7,13,0.35,4.61,171.2,760,88,4.62,1.456,10.1,1,3,5.6,1.86,0.5,-0.8,fernaos01
Nick Martinez,,2014,23,TEX,AL,5,12,0.294,4.55,140.1,610,87,4.94,1.461,9.6,1.2,3.5,4.9,1.4,0.5,-0.7,martini01
Mark Mulder,,2000,22,OAK,AL,9,10,0.474,5.44,154,705,86,5.27,1.688,11.2,1.3,4,5.1,1.28,0.5,-0.9,muldema01
Kyle Harrison,,2024,22,SFG,NL,7,7,0.5,4.56,124.1,532,85,4.34,1.343,9,1.3,3,8.5,2.81,0.5,-0.5,harriky01
Ramón Ortiz,,2000,27,ANA,AL,8,6,0.571,5.09,111.1,472,99,5.46,1.356,7.8,1.5,4.4,5.9,1.33,0.5,-0.5,ortizra02
Chris Reitsma,,2001,23,CIN,NL,7,15,0.318,5.29,182,800,87,4.53,1.418,10.3,1.1,2.4,4.7,1.96,0.5,-0.9,reitsch01
Scott Schoeneweis,,2000,26,ANA,AL,7,10,0.412,5.45,170,742,92,5.11,1.471,9.7,1.1,3.5,4.1,1.16,0.5,-1.1,schoesc01
Justin Germano,,2007,24,SDP,NL,7,10,0.412,4.46,133.1,566,90,4.52,1.298,9,0.9,2.7,5.3,1.95,0.5,-0.5,germaju01
Patrick Corbin,,2012,22,ARI,NL,6,8,0.429,4.54,107,454,90,4,1.327,9.8,1.2,2.1,7.2,3.44,0.5,-0.4,corbipa01
David Hess,,2018,24,BAL,AL,3,10,0.231,4.88,103.1,454,88,5.8,1.384,9.2,1.9,3.2,6.4,2,0.5,-0.5,hessda01
Chuck Porter,,1983,28,MIL,AL,7,9,0.438,4.5,134,595,84,3.39,1.493,10.9,0.6,2.6,5.1,2,0.5,-0.7,portech01
Mickey Mahler,,1978,25,ATL,NL,4,11,0.267,4.68,134.2,597,87,4.39,1.455,8.7,1.1,4.4,6.1,1.39,0.5,-0.6,mahlemi01
Brad Penny,,2000,22,FLA,NL,8,7,0.533,4.81,119.2,529,92,4.84,1.504,9,1,4.5,6,1.33,0.5,-0.5,pennybr01
Donne Wall,,1996,28,HOU,NL,9,8,0.529,4.56,150,643,84,4.13,1.36,10.2,1,2,5.9,2.91,0.5,-0.7,walldo01
Seth Greisinger,,1998,22,DET,AL,6,9,0.4,5.12,130,562,92,5.02,1.462,9.8,1.2,3.3,4.6,1.38,0.5,-0.8,greisse01
Brian Givens,,1995,29,MIL,AL,5,7,0.417,4.95,107.1,481,100,4.67,1.584,9.7,0.9,4.5,6.1,1.35,0.5,-0.6,givenbr01
