Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
2012,"Mike Trout","LAA",139,639,30,129,83,67,139,49,5,0.325581395,0.482014388,0.40888749529996254,10.151297613978386,64.36919597135484,167.0438143595375,130.5839654525817,113.2681732710173,124.51258349075778,136.76947608716435,152.4228433459934,5.413179874420166,6.241872310638428,-0.32103547446071445,10.064203998100918,"Mike Trout",10155,545361
2017,"Aaron Judge","NYY",155,678,52,128,114,127,208,9,4,0.284132841,0.610576923,0.430184422851145,4.595535755157471,60.5979639734395,173.81664358316738,222.39964416132705,144.07026973415847,129.99277409414998,145.92629001596632,197.61381468974088,2.1029891967773438,5.852397441864014,-3.635870049843406,8.716005682807138,"Aaron Judge",15640,592450
1993,"Mike Piazza","LAD",149,602,35,81,112,46,86,3,4,0.31809872,0.53488372,0.40129719884603615,16.520780563354492,36.3049744893609,150.05157906695712,89.7154661631717,98.71011973742753,110.19783770276517,135.9342194817894,171.32953958130884,3.7991726398468018,5.0212907791137695,-1.4344192064747627,7.431850040252651,"Mike Piazza",893,120536
2001,"Albert Pujols","STL",161,676,37,112,130,69,93,1,3,0.328813559,0.741935483,0.422913487983926,0.9171233177185059,50.65110305403749,158.63438629635357,113.98294022010312,80.20923308219511,118.62077711287407,138.71859416507553,164.14503492878504,4.031454086303711,5.713623046875,-1.5193207777753077,7.21643980680966,"Albert Pujols",1177,405395
1975,"Fred Lynn","BOS",145,605,21,103,105,62,90,10,5,0.331439393,0.688888888,0.4269242605450603,6.285775065422058,41.36981377560992,160.9280792130089,113.32015172884307,115.74815034560628,122.20476245922913,149.39111388710566,193.93470467323004,3.5581300258636475,3.5462279319763184,-0.07365979065067751,7.10978090968909,"Fred Lynn",1007872,118040
1997,"Nomar Garciaparra","BOS",153,734,30,122,98,35,92,22,9,0.305555555,0.380434782,0.373904812335968,18.29833221435547,20.913540132610525,121.71544038191989,52.69445162099733,75.87404083161086,100.22588709096362,124.41592547246213,144.4932136946234,2.559983968734741,1.9719434976577759,0.4590715452984879,6.386972676005286,"Nomar Garciaparra",190,114596
1977,"Mitchell Page","OAK",145,592,21,85,75,78,95,42,5,0.307385229,0.821052631,0.40445839570150344,-6.035225868225098,46.92691154495368,157.15274421089555,157.01889099435456,123.79322472425184,122.57694169425184,128.5846460878241,153.7346599336655,3.6458380222320557,4.029633045196533,-0.4724340148117889,6.24034288807149,"Mitchell Page",1009954,120172
2015,"Kris Bryant","CHC",151,650,26,87,99,77,199,13,4,0.275491949,0.386934673,0.3707673554237072,3.558187484741211,33.81541699740377,135.56018593113032,149.06252992564578,153.60999831621854,113.91621997152592,119.16571435891497,142.3830534985145,5.954812049865723,3.990032911300659,1.6684372330627255,6.0981452293833875,"Kris Bryant",15429,592178
2001,"Ichiro Suzuki","SEA",157,738,8,127,69,30,53,56,14,0.349710982,0.566037735,0.3602718572590233,7.810340404510498,27.80241716535663,124.40912701145304,49.00638335923682,43.58116270049061,114.16620531066806,106.43531571043215,66.13070161988041,3.8064658641815186,2.9954745769500732,1.0214187686470213,6.01763431442322,"Ichiro Suzuki",1101,400085
1992,"Kenny Lofton","CLE",148,651,5,96,42,68,54,66,12,0.284722222,1.259259259,0.33435664386112496,20.154200077056885,14.161104329037439,107.82827588484687,117.80303189155683,59.10325147094822,110.15988304646032,94.69322628877259,63.540486749441996,1.8612258434295654,0.9435319900512695,0.7707078299200476,5.782923945847476,"Kenny Lofton",246,117863
2022,"Julio Rodríguez","SEA",132,560,28,84,75,40,145,25,7,0.283757338,0.275862068,0.366144234113556,3.898212432861328,33.50716913469242,147.48633842750593,89.73017074699408,116.54030753262023,111.40829054867976,129.86178201656844,150.71296709495542,4.223504066467285,3.1937472820281982,0.759662512885988,5.778338858862546,"Julio Rodriguez",23697,677594
