Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
1984,"Dwight Gooden","NYM",17,9,31,31,7,3,21,218,276,2.6009174311926606,74.10048406475286,1.6856825640442177,48.63871347108003,0.9152348671484429,212.72095573033027,43.77993955897856,80.03054458938742,81.35157184858849,211.76510821742482,99.5506563933574,0.23094426,4.349802017211914,4.197781562805176,-0.13923555839279178,8.258535385131836,"Dwight Gooden",1004852,114947
1975,"John Montefusco","SFG",15,9,34,34,10,4,23,243,215,2.8888892516950757,76.30571042473213,2.5667121977141414,73.0551051384263,0.3221770539809343,171.80639404434564,64.06470139231175,90.64359871026129,89.56670118016629,161.5455171594004,94.0276551298213,0.12684366,4.453229904174805,1.9403070211410522,2.140700927650035,5.958042144775391,"John Montefusco",1009065,119261
1995,"Hideo Nomo","LAD",13,6,28,28,4,3,18,191.1,236,2.5400697539344748,65.44498740574907,2.8890112274971216,70.29493775477069,-0.3489414735626468,151.5889568831187,68.91865873537779,69.00679622652002,76.70451593184968,176.9257796177266,116.71416328867853,0.2025641,3.581926107406616,3.4642748832702637,0.019253658712590216,5.189611911773682,"Hideo Nomo",666,119827
1981,"Fernando Valenzuela","LAD",13,7,25,25,11,8,16,192.1,180,2.4800693896756596,73.03295992786761,2.4390604769892565,72.40733545053712,0.041008912686403054,191.39318780580942,92.5524755378197,80.76309114107698,79.74573029420272,183.8531805988114,96.06046677719503,0.15699208,4.012380123138428,2.5653810501098633,0.8143067737180902,4.876076698303223,"Fernando Valenzuela",1013327,123619
2012,"Yu Darvish","TEX",16,9,29,29,0,0,18,191.1,221,3.904181288454841,90.30788983228769,3.2878318911131696,77.08110870252982,0.6163493973416712,101.266473742137,60.50828370915624,86.57776081440798,97.93271172232639,139.33549216625238,137.59291187467855,0.16176471,1.3035060167312622,0.9981293082237244,0.3482020450622658,4.712034702301025,"Yu Darvish",13074,506433
1997,"Matt Morris","STL",12,9,33,33,3,0,22,217,149,3.193548387096774,76.29630627519246,3.5055249996448996,81.59949273632984,-0.3119766125481256,108.78617729134139,51.57131508910524,98.54662397947851,92.35386255961527,93.3668339328051,85.82601303930628,0.08888889,1.6547720432281494,1.3669933080673218,0.21677090090251294,4.6485276222229,"Matt Morris",1172,119403
1976,"Mark Fidrych","DET",19,9,29,29,24,4,23,249.1,96,2.346257019528458,63.241471481401625,3.161945581301172,86.46364828685952,-0.8156885617727139,121.38206294828726,74.93066059883034,91.49080811204388,81.51856168294465,78.12832468434955,64.36562480987412,0.04343434,4.947661876678467,4.155771255493164,0.07457253539834507,4.576262474060059,"Mark Fidrych",1004023,114102
1980,"Britt Burns","CHW",14,13,32,32,11,1,21,232,130,2.7543103448275863,68.42156025884752,3.3687915818444614,84.58020259635742,-0.6144812370168751,148.49963167174147,76.04158700550599,88.80255514614448,82.72716718191874,116.18113689132072,78.23665463555783,0.07332625,3.445065975189209,2.1939613819122314,1.134962614974862,4.496792793273926,"Britt Burns",1001702,111757
1998,"Kerry Wood","CHC",13,6,26,26,1,1,18,166.2,233,3.4020002076416143,79.88814602751945,3.163152242218018,72.09715561191871,0.23884796542359643,136.54345327200767,75.51876570766645,75.51319821892162,87.96102474134916,190.2195343289462,139.31063657753648,0.21173105,2.428325653076172,1.954258680343628,0.36586225135529293,4.39198637008667,"Kerry Wood",304,134268
1992,"Dave Fleming","SEA",17,10,33,33,7,4,22,228.1,112,3.3897808708789743,85.51819173149983,3.383318206759266,85.76508723589774,0.006462664119708084,117.91406960083259,65.16989877702704,100.22248591681031,91.5703778037438,84.34595486904499,71.53171809229882,0.05496829,2.333348035812378,2.2028417587280273,0.22916048173843517,4.3650288581848145,"Dave Fleming",1004145,114226
2003,"Brandon Webb","ARI",10,9,28,28,1,1,21,179.2,171,2.855287731236487,63.20292175589028,3.3320785912030906,74.32170692240959,-0.47679085996660353,131.27594499961396,57.02058443083931,81.88773274324583,83.38925824956827,134.21189632828018,102.23647367340014,0.13941019,3.1040899753570557,2.970672607421875,0.13437457704771028,4.306087493896484,"Brandon Webb",1692,425630
2007,"Chris Young","SDP",9,8,30,30,0,0,18,173,167,3.121387283236994,77.31965960675231,3.4303565857727407,79.04414331099696,-0.3089693025357465,115.84484077851256,49.75107137181988,71.99094661480241,78.39039479316652,138.26753352973054,119.3557957031833,0.13475177,2.2003440856933594,2.83231520652771,-0.7068405312736967,4.265120506286621,"Chris Young",3196,432934
2021,"Trevor Rogers","MIA",7,8,25,25,0,0,9,133,157,2.6390977443609023,62.60307540913206,2.5459739720911014,60.51791217017303,0.09312377226980084,129.88016028316295,33.069745036905516,89.98381144309185,88.96145410738848,122.45328218632045,94.28174609210159,0.20181818,1.7944843769073486,2.1308586597442627,-0.419850654397514,4.255216121673584,"Trevor Rogers",22286,669432
1984,"Mark Langston","SEA",16,10,33,33,5,2,23,220.1,198,3.472012423471741,84.80062305487698,3.6033497843494193,86.09076266199426,-0.13133736087767822,105.7830361692194,74.37767114527121,86.8597405181605,99.9810652111559,157.11330775011518,148.52410914018296,0.08668076,1.3677020072937012,1.3028500080108643,-0.07353550918959284,4.210902214050293,"Mark Langston",1007323,117480
