Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2012,Mike Trout,LAA,639,30,129,83,49,5.0,0.962567293,0.4088874952999625,10.064203998100918,14.273969498462977,10.151297613978386,64.36919597135484,167.0438143595375,127.2217700092189,130.5839654525817,113.2681732710173,124.51258349075778,136.76947608716435,152.4228433459934,130.48623803728984,545361,AL,AL,1,4.0,AL,35,1,1,1,1,6,1,1,3,5,5.5,1,6
2017,Aaron Judge,NYY,678,52,128,114,9,4.0,1.049135181,0.430184422851145,8.715688618924444,-1.1487044747918844,4.586269855499268,60.600142344392104,173.81664358316738,110.89399553048496,222.39964416132705,144.07026973415847,129.99277409414998,145.92629001596632,197.61381468974088,119.73196088398194,592450,AL,AL,1,4.0,AL,56,1,1,1,7,1,1,2,3,8,8.1,1,5
2001,Albert Pujols,STL,676,37,112,130,1,3.0,1.013132453,0.422913487983926,7.21643980680966,-1.1440974235301835,0.917123317718506,50.65110305403749,158.63438629635357,122.4839373867762,113.98294022010312,80.20923308219511,118.62077711287408,138.71859416507553,164.14503492878504,112.44331056361894,405395,NL,NL,1,2.0,NL,11,1,1,1,2,8,1,1,2,12,4.0,1,5
2015,Kris Bryant,CHC,650,26,87,99,13,4.0,0.857602862,0.3707673554237072,6.0981452293833875,6.882574149407446,3.558187484741211,33.81541699740377,135.56018593113032,105.83074511688372,149.06252992564578,153.60999831621854,113.91621997152592,119.16571435891495,142.3830534985145,123.52594440989158,592178,NL,NL,1,2.0,NL,62,6,1,9,23,6,4,15,14,19,15.9,6,1
2001,Ichiro Suzuki,SEA,738,8,127,69,56,14.0,0.838118787,0.3602718572590233,6.01763431442322,5.089600295526907,7.810340404510498,27.80241716535663,124.40912701145304,130.81483196610895,49.00638335923682,43.58116270049061,114.16620531066806,106.43531571043216,66.13070161988041,124.12149907973762,400085,AL,AL,1,5.0,AL,2,5,2,4,1,25,4,6,22,5,7.6,3,1
2022,Julio Rodríguez,SEA,560,28,84,75,25,7.0,0.853449119,0.366144234113556,5.775815744236131,3.5881298505701125,3.9142017364501953,33.486402399615514,147.44503008592892,117.02147173021844,89.73017074699408,116.54030753262025,111.40829054867976,129.86178201656844,150.71296709495542,119.17684225614624,677594,AL,AL,1,2.0,AL,45,3,1,2,7,44,8,3,6,13,13.2,2,1
2008,Evan Longoria,TBR,508,27,67,85,7,0.0,0.873769685,0.3702550272619913,5.638725349712198,3.3057731832377613,17.863606929779053,21.145223800270905,128.50680408886592,101.57576023455395,105.33618129636316,142.62096807549133,101.90872910301248,126.19436509320909,169.36639102439543,102.4073811661914,446334,AL,AL,1,1.0,AL,45,6,1,3,21,21,16,3,3,2,12.1,6,1
2023,Corbin Carroll,ARI,645,25,116,76,54,5.0,0.867697037,0.3702759255996692,5.409959229188678,12.262289681006225,-6.057283401489258,38.24708300408146,132.5192929491508,113.96841581205446,100.28590276928855,86.83733473935023,111.82401398096248,121.52995629925272,132.88581103864846,109.30608157751104,682998,NL,NL,1,1.0,NL,11,5,1,6,10,23,11,8,12,71,15.8,4,1
2014,José Abreu,CHW,622,36,80,107,3,1.0,0.963571906,0.4112368425388116,5.2719763699511795,-2.9426198569126427,-14.649203062057495,43.14535292006892,167.40992093473054,124.78778357887629,106.27801368965552,106.83409660804249,120.9356211974239,148.5002857270592,192.23588819349965,119.51281106108844,547989,AL,AL,1,3.0,AL,27,1,1,1,2,14,1,1,1,61,11.0,2,6
2016,Corey Seager,LAD,687,26,105,72,3,3.0,0.877318344,0.3721490973426449,5.245395093292426,2.07122135697864,-3.206845283508301,32.64907351349348,136.1396119918878,118.1782403999324,90.96187830530904,94.361694777056,110.65810968212412,120.36168925959414,123.81083461193612,116.61900378309105,608369,NL,NL,1,1.0,NL,20,5,1,3,7,33,8,7,14,50,14.8,4,1
2007,Troy Tulowitzki,COL,682,24,104,99,7,6.0,0.838411032,0.3640028095917461,5.18068089801508,0.4274599985219538,22.17853355407715,8.404674605249532,109.009097095141,106.56101487262708,94.65444247145214,115.91868869247833,104.90132412084026,109.98296449089048,115.7015778425122,110.0071053908524,453064,NL,NL,0,1.0,NL,27,8,1,11,13,19,16,9,11,1,11.6,4,2
2022,Adley Rutschman,BAL,470,13,70,42,4,0.0,0.806425745,0.3538266050054672,5.02255643201334,1.3583130654878914,13.13439793791622,19.92208863792175,135.09951441457213,104.65422256025046,173.73288440148033,82.35629064799546,116.92282267986032,113.50607461339706,127.8804628743155,100.6193342419546,668939,AL,AL,0,0.0,AL,9,6,2,5,21,1,4,12,16,1,7.7,1,2
2002,Austin Kearns,CIN,435,13,66,56,6,3.0,0.906896551,0.3939077092541588,4.956754444989436,1.505879880511202,12.761627197265623,22.618464548428612,138.81516075769014,118.32103076489312,133.03089028829848,113.95200752576906,119.75677631635112,118.20750494204158,118.01550170887512,124.8741667257224,400290,NL,NL,0,1.0,NL,15,2,1,2,1,5,2,3,7,1,3.9,1,3
2002,Eric Hinske,TOR,650,24,99,84,13,1.0,0.845180755,0.3649755520414012,4.83852790397918,5.237915751989931,4.588622331619263,21.71664680479604,120.58665309639424,105.64049859424397,140.6943440184622,130.6688296211374,109.95104881449753,113.0346572510312,125.17802124932538,112.08865023429362,400134,AL,AL,1,1.0,AL,24,5,2,5,6,3,3,5,5,9,6.7,2,0
2022,Michael Harris II,ATL,441,19,75,64,20,2.0,0.853129116,0.3675035803155465,4.774102206609723,5.1429056990891695,6.280977725982666,23.948044817509793,136.70215756275266,122.28549182943851,56.990376749530405,107.29244207699551,107.93106826374984,129.2866900670753,140.26154150404432,123.99661171267526,671739,NL,NL,1,3.0,NL,31,2,3,3,3,73,11,4,11,8,14.9,3,0
2023,Gunnar Henderson,BAL,622,28,100,82,10,3.0,0.814044556,0.3457513009100528,4.738332912457282,5.7846424779854715,3.2962724566459656,22.949060268633566,123.03064568402382,103.48413005104835,107.53300926207476,110.47992779875588,102.44775705451534,118.80797244213576,141.7153742783956,103.29178605782454,683002,AL,AL,1,1.0,AL,38,16,2,11,27,19,25,11,8,23,18.0,8,0
2022,Steven Kwan,CLE,638,6,89,52,19,5.0,0.772286269,0.3413959780137998,4.710130393390734,6.029613467399031,0.8067688941955566,23.99140748059691,125.01852430654634,123.06068833640887,122.07803819228036,42.32790329091565,120.45905685249836,102.00067212848847,67.80163130219357,111.65624002491828,680757,AL,AL,0,2.0,AL,1,14,4,9,2,15,3,30,60,22,16.0,5,1
2019,Pete Alonso,NYM,693,53,103,120,1,0.0,0.940778929,0.3841176861585314,4.699428042154317,0.6015404732897878,-14.47268033027649,40.7485256326918,143.90904982962908,100.67857045261024,117.26554304633096,120.80895522590116,108.162212777516,130.9705160029124,172.7017396014448,93.29977942789168,624413,NL,NL,1,3.0,NL,52,5,1,3,33,14,12,3,2,72,19.7,11,1
2010,Jason Heyward,ATL,623,18,83,72,11,6.0,0.849027656,0.3772188731245756,4.671300712076075,1.7973755947314205,-0.9679598808288574,26.96152984835204,133.70793264439845,105.73310463408426,165.3127149526586,111.35437656770206,118.466161768081,110.41083506300065,118.53041481439364,110.99662387086424,518792,NL,NL,0,2.0,NL,31,2,1,3,16,4,2,11,13,28,11.1,3,1
2015,Matt Duffy,SFG,612,12,77,77,12,0.0,0.7620004,0.3312482258335488,4.400666311307761,4.490198655985296,8.742762565612793,13.812197547579292,113.07232412420218,113.30133408028097,61.68235495457517,78.70450203433805,103.1782155376436,104.33065742074632,88.71194894565207,109.98429703419596,622110,NL,NL,0,0.0,NL,7,28,2,25,12,55,27,28,44,7,23.5,18,0
2018,Ronald Acuña Jr.,ATL,487,26,78,64,16,5.0,0.917466128,0.3875488025625956,4.396022032279066,2.195760788396001,0.3775420188903808,27.40200881271973,142.39255773471092,115.58426371591,102.96158066808697,117.05936429474168,111.8153873024688,132.33249850759975,158.3505954019842,117.10415221514812,660670,NL,NL,1,1.0,NL,32,4,1,4,7,17,7,3,3,20,9.8,1,1
2012,Bryce Harper,WSN,597,22,98,59,18,6.0,0.816615182,0.352335158020559,4.3707587893816235,2.059889391530305,6.710055947303772,16.848045455593063,120.78513857546774,103.54913725389484,113.65054142223624,104.6786125101181,104.1397510456022,115.18190960435156,135.04170170107244,102.08158020749129,547180,NL,NL,1,2.0,NL,31,11,2,8,24,14,13,8,7,7,12.5,3,0
2006,Hanley Ramirez,MIA,700,17,119,59,51,15.0,0.832770749,0.358357722724942,4.366445381882473,9.971786545705982,-2.630279064178467,24.45707002595605,115.8264639946054,107.36922538397422,90.0704130763355,111.3110982135713,102.76651310134532,108.63968893608552,110.67561084852788,113.42658700530532,434670,NL,NL,1,0.0,NL,29,11,1,8,9,21,16,11,17,34,15.7,9,1
2008,Mike Aviles,KCR,441,10,68,51,8,3.0,0.833455099,0.3595279928475823,4.349672920623037,4.736299006035551,14.571829319000244,13.820981210470856,116.72252746139218,121.06905425400076,47.48072711925713,78.10460943571609,105.24751676201724,113.95228904877315,101.47208662665126,118.12501294269144,449107,AL,AL,0,0.0,AL,5,10,2,11,2,52,11,8,15,3,11.9,5,0
2011,Wilson Ramos,WSN,435,15,48,52,0,2.0,0.778836805,0.3354025191449104,4.277265577113325,-4.444260823074728,26.110984802246097,1.0093841420956915,110.85481406295789,103.20775063453426,103.75123181980082,95.33633822774928,102.33904590537884,110.29078402041334,123.01557140917664,99.19388657770251,467092,NL,NL,0,0.0,NL,26,14,1,13,21,15,17,14,12,1,13.4,4,2
2006,Dan Uggla,MIA,683,27,105,90,6,6.0,0.81829913,0.3495114136625219,4.216607590975314,4.424377813003957,7.446869850158691,13.395909850129366,110.04617742316024,103.4186915467457,79.12481328918389,109.62533814778534,98.7550078450937,108.47884430631008,116.5877268718023,102.28143737847022,462564,NL,NL,0,1.0,NL,27,16,2,15,20,32,23,12,14,4,16.5,12,0
2008,Jacoby Ellsbury,BOS,609,9,98,47,50,11.0,0.729038995,0.3228273234557156,4.184338705773831,9.219077142653989,18.810315370559692,2.116695321266774,90.53288852176436,104.35906955136116,78.31591285505444,78.01173795783214,99.8312508657598,93.47333730824802,74.3837456202605,103.24119715437574,453056,AL,AL,0,0.0,AL,4,27,3,31,18,34,24,28,43,1,21.3,11,1
2010,Austin Jackson,DET,675,4,103,41,27,6.0,0.74491447,0.3288681642737931,4.071640990146893,7.331035630777478,7.466809749603272,8.289331933566883,101.206647279037,112.47861233094132,81.79352116444004,144.27732757186013,105.22603755918524,98.02793618212392,72.48804367914404,133.9515502542447,457706,AL,AL,0,1.0,AL,50,24,2,24,12,32,15,25,38,4,22.6,21,0
2012,Yoenis Cespedes,OAK,540,23,70,82,16,4.0,0.860689025,0.3675903808290713,4.0089604688697,1.6056292532011869,-4.419570088386536,24.483541423954787,136.231461864311,113.93607015231694,99.1723492905421,98.35588837055111,110.93827053386718,122.60172570822836,136.8089799377795,111.11321822476764,493316,AL,AL,0,1.0,AL,29,3,3,3,4,20,6,5,6,54,13.3,4,0
2016,Trea Turner,WSN,324,13,53,40,33,6.0,0.937145614,0.3951087446860325,3.99751513402174,4.698381322668865,5.910130977630615,22.87454861031989,145.5502271437354,131.31026371233085,50.00407724703698,88.75806568842366,112.17665852644348,133.24829350886247,136.30975585355085,127.40609254294304,607208,NL,NL,0,2.0,NL,17,2,2,2,1,56,4,3,6,7,10.0,2,1
2018,Joey Wendle,TBR,545,7,62,61,16,4.0,0.788909435,0.337726273319938,3.984720319019587,3.317676272708922,5.50096869468689,14.57596677583664,117.27994252085674,120.01690550769952,81.78105137577441,80.83125470443716,110.93172372009366,104.4926143155835,81.2451518299159,119.89297380123338,621563,AL,AL,0,0.0,AL,8,13,2,12,2,32,8,17,37,5,13.6,5,0
2015,Francisco Lindor,CLE,438,12,50,51,12,2.0,0.834992458,0.3577653387013603,3.961416826357679,-0.8038105443120003,10.795665740966797,12.21361849012292,125.68306076369338,122.21639319460836,80.14049103410397,79.53653915341849,110.85791744018692,116.65759460546316,107.61027278296882,117.52677958390372,596019,AL,AL,0,1.0,AL,8,15,3,17,2,43,9,19,32,5,15.3,5,0
2017,Cody Bellinger,LAD,548,39,87,97,10,3.0,0.933439781,0.3799049745096224,3.959161494172913,2.1130015454255044,-7.839981436729431,28.75888130687618,137.83140883277358,102.0496323500954,129.80424358013724,126.85174311541743,105.57734798961188,132.9416075007002,178.83071040595803,97.83650120308933,641355,NL,NL,1,2.0,NL,37,5,2,4,25,13,15,4,4,58,16.7,7,0
2013,Yasiel Puig,LAD,432,19,66,42,11,8.0,0.925235116,0.3979431505494274,3.9479723871003594,-3.195352748502046,-2.4586037397384644,26.03991584154467,160.17148870204286,123.905591628797,104.26738751681891,118.34363702574716,121.19613876961608,133.28046034423463,150.18692269120504,127.72450919285194,624577,NL,NL,0,1.0,NL,34,2,1,1,2,17,1,2,5,46,11.1,1,3
2021,Randy Arozarena,TBR,604,20,94,69,20,10.0,0.815317541,0.3495971510807673,3.9398548611122584,1.7428466016426682,-3.178110122680664,21.799439101018525,127.12177791959417,111.4460861549815,109.392861787166,123.02905819063496,112.4542577071228,110.4935671159322,109.11372262550046,124.62131858587328,668227,AL,AL,1,0.0,AL,40,4,1,1,9,22,5,11,24,53,17.0,5,2
2023,James Outman,LAD,567,23,86,70,16,3.0,0.789586688,0.3443045728830061,3.9307072240087337,3.4150896263308823,4.478345990180969,15.545117069593315,117.26872472625874,99.366775557541,136.09764185094,143.03809027013585,109.11159211594396,104.88202916995704,113.1647868948538,115.42629069420992,681546,NL,NL,0,2.0,NL,74,17,3,17,34,13,14,25,20,16,23.3,14,0
2010,Buster Posey,SFG,443,18,58,67,0,2.0,0.86158525,0.3714358167016887,3.903909861833082,-1.242655006237328,7.427444815635681,16.67044303894158,133.74464022125153,116.613139792059,76.64263747488367,67.289039622228,107.44090099225735,122.31916847346376,132.22366289580148,104.49455421485617,457763,NL,NL,1,1.0,NL,8,4,3,2,6,38,9,3,9,5,8.7,1,0
2014,Danny Santana,MIN,430,7,70,40,20,4.0,0.824408676,0.3615413873552162,3.902495653225242,5.4770120098255575,1.4803707003593445,20.570581271003515,131.9337626580956,125.56508125029696,57.27284784590542,115.60765464743692,111.50666999167444,120.55296682847026,111.30856729191083,135.97914669035794,542454,AL,AL,0,0.0,AL,30,2,2,2,1,47,3,3,16,25,13.1,5,1
2018,Miguel Andujar,NYY,606,27,83,92,2,1.0,0.855433448,0.3609711025526981,3.873936150709385,-0.153861595550552,-4.157205581665039,21.07246540146577,129.30006415117322,118.77166069892478,49.695246546623984,73.45201265042634,103.02314757935768,126.51179442334006,138.10257907574032,107.27857336847812,609280,AL,AL,0,2.0,AL,7,7,3,8,3,57,18,4,6,50,16.3,10,0
2006,Ryan Zimmerman,WSN,682,20,84,110,11,8.0,0.821638517,0.3507649573091229,3.849710395335845,-0.044314868049696,6.144420623779297,10.929015406696829,112.30577616715236,105.30672317581056,100.70189117200322,107.10837019179309,102.31071745562944,106.47511355945127,108.34746346823208,107.9688224181278,475582,NL,NL,0,0.0,NL,24,15,3,13,15,15,17,16,19,8,14.5,6,0
2019,Yordan Alvarez,HOU,369,27,58,78,0,0.0,1.066876195,0.432070243358612,3.8055467714575935,-0.9749084869399668,-9.29890650510788,35.113132637873626,176.51964809676525,123.39471376532605,165.75339452627983,111.41360509471066,127.42734600739152,148.8212250630293,183.44144592012455,122.6047494987985,670541,AL,AL,1,3.0,AL,37,1,2,1,2,3,1,1,1,69,11.8,1,5
2023,Nolan Jones,COL,424,20,60,62,20,4.0,0.931385275,0.3949954907571335,3.7671376282735474,2.0527969766408205,1.614763259887695,21.659869181895143,137.32745956622315,118.78661760140515,141.85177040178365,133.15604167831313,120.37659188623952,130.18254828377297,147.29686110404265,135.00705783904235,666134,NL,NL,0,1.0,NL,62,2,4,4,6,10,3,4,5,35,13.5,3,0
2015,Odúbel Herrera,PHI,537,8,64,41,16,8.0,0.76216678,0.3333401565713094,3.7545362895631778,2.2847531801089644,9.893986821174622,8.89038018530708,110.55686442155816,114.08146161401775,65.61072952477087,120.53000878174883,106.12730543615388,102.03886706089853,81.07168534889034,126.66839382781458,546318,NL,NL,0,0.0,NL,42,27,4,28,10,53,22,32,50,6,27.4,24,0
2007,Dustin Pedroia,BOS,581,8,86,50,7,1.0,0.822516025,0.3638023211645043,3.72203371362068,0.0184574467130005,5.2871246337890625,12.760594956944487,117.48756429557136,117.09417442723804,94.44551449176537,43.287901951692945,112.32360531765954,104.39799851880464,81.86550028169724,108.89676838444228,456030,AL,AL,1,1.0,AL,1,9,2,8,7,20,4,13,25,7,9.6,1,1
2018,Harrison Bader,STL,427,12,61,37,15,3.0,0.756281235,0.326421111680885,3.698843356982139,4.455050458898768,14.795923948287964,8.049774998229097,106.89521984382128,103.97853056902306,80.8957049838171,135.67884816016422,102.21389681283824,101.21322900400564,96.9173689939151,119.03656399313248,664056,NL,NL,0,0.0,NL,51,19,4,19,24,33,20,21,25,3,21.9,15,0
2019,Bryan Reynolds,PIT,546,16,83,68,3,2.0,0.880344366,0.3710365610899943,3.6950936713880855,-0.8092627627775073,-0.185504674911499,20.810612080252813,130.01199526304546,121.62389373878024,95.09032871440763,101.38506872887676,114.03330081785832,113.02749090851243,101.1847794448156,128.70419381576943,668804,NL,NL,0,0.0,NL,26,8,3,8,5,28,6,13,26,31,15.4,3,0
2015,Jung Ho Kang,PIT,467,15,60,58,5,4.0,0.816267985,0.3559399997651959,3.692533946317809,3.186495064292103,2.1623455286026,18.20022849104551,127.59097214233232,110.40944232208228,75.44531368966037,106.36483665076268,109.66773846743874,112.43981305053224,115.97487415550827,112.59084049086808,628356,NL,NL,0,1.0,NL,30,16,5,15,15,48,14,22,29,25,21.9,12,0
2019,Victor Robles,WSN,617,17,86,65,28,9.0,0.7451095,0.316718957043792,3.688019692680628,4.152813105843961,20.705695152282715,-2.418468054974908,91.92766416133716,98.71924634537488,64.02565664861575,103.80640361365585,98.43940600326032,94.23483307642157,88.05694243842673,103.09685994337129,645302,NL,NL,0,0.0,NL,31,33,4,34,38,57,33,35,37,1,30.3,27,1
2018,Juan Soto,WSN,494,22,77,70,5,2.0,0.922587725,0.3917632056072385,3.673641884529835,0.8935959753580391,-7.837817907333374,28.38530450034407,145.581137397105,115.17757102101145,178.19347221935615,92.88343248788476,124.10623698922574,123.92814236553036,137.52200059883512,112.43470683442386,665742,NL,NL,0,3.0,NL,18,2,5,3,9,1,2,5,7,57,10.9,2,1
2003,Marlon Byrd,PHI,553,7,86,45,11,1.0,0.784302036,0.3448317521439367,3.6148956762600823,5.268286753562279,7.226004958152771,11.34834010514869,108.56599266490834,112.82165259322448,88.20910215964088,105.41187179857604,107.51713264481432,97.0326479389397,70.91575843038723,120.93262359954284,407781,NL,NL,0,0.0,NL,18,7,1,6,3,18,2,19,32,6,11.2,4,1
2008,Joey Votto,CIN,589,24,69,84,7,5.0,0.874124474,0.3749232782372113,3.5877331202076777,-0.6098763837944716,-0.1246185302734375,17.20673665082277,124.09829304574367,110.96012742492532,109.90484889278676,101.01099865848566,108.644988365789,118.60098961883496,131.4368578701204,108.91935161671032,458015,NL,NL,0,1.0,NL,14,3,4,5,6,19,6,4,7,30,9.8,1,0
2019,Tommy Edman,STL,349,11,59,36,15,1.0,0.8495702,0.3566056881046568,3.587543228421601,6.119975647889078,8.775706350803375,17.026804118816827,123.68685451513603,117.75985663652082,51.74468109922036,79.96237426577089,105.65535687891602,112.34108932424527,104.87599873274252,115.35350197233404,669242,NL,NL,0,0.0,NL,12,13,5,13,8,67,17,14,19,3,17.1,5,0
2012,Yasmani Grandal,SDP,226,8,28,36,0,0.0,0.862555309,0.3756526719199287,3.522660783372765,-2.7232872508466244,17.575186729431152,9.17232791937781,144.16636906446314,113.78495171936096,166.19236427971646,89.8684412600445,120.59607617625512,113.29716634629057,112.46441712533372,109.89109991290952,518735,NL,NL,0,0.0,NL,19,2,4,2,6,2,2,10,15,1,6.3,2,1
2007,Hunter Pence,HOU,484,17,57,69,11,5.0,0.898977816,0.3854062011665549,3.516297484146196,0.3540872070007026,-0.1537506580352783,20.214696185591247,131.60541998115409,118.19384646391,60.83850144592948,119.36382458456367,105.06722262792694,123.74570303811385,133.02371925268127,123.81400280874315,452254,AL,AL,0,1.0,NL,31,5,3,4,6,42,14,3,5,29,14.2,8,0
2016,Trevor Story,COL,415,27,67,72,8,5.0,0.908608659,0.3800408944596339,3.4858290459484644,0.774381980067119,8.732577323913574,12.15456955806329,122.2656085686454,104.23802747983774,97.59832021286792,152.68489830885215,103.40352033777882,133.34916438082317,179.33537656029222,112.44203136079504,596115,NL,NL,0,1.0,NL,56,3,3,10,24,31,22,2,3,3,15.7,6,0
2015,Carlos Correa,HOU,432,22,52,68,14,4.0,0.856535313,0.3650666659654573,3.4275113835667703,1.931592750363052,-1.8541908264160156,20.029442574926247,136.20252851858555,109.03025557479984,120.37563511420808,91.15963248793985,108.3345312186384,123.81521028086384,147.87880936598924,99.77843701972714,621043,AL,AL,1,1.0,AL,16,9,6,7,16,16,16,7,10,44,14.7,4,0
2021,Jonathan India,CIN,631,21,98,69,12,3.0,0.834837092,0.3626584939433585,3.4139545591003526,-0.2650618448387831,-4.294576644897461,17.16968012624988,121.7039570420598,107.98464313087418,122.49843264085314,100.19437806857536,115.3096000913282,109.11131104498494,110.74729561830657,110.76194896001812,663697,NL,NL,1,1.0,NL,23,2,2,4,13,10,2,14,23,58,15.1,3,0
2010,Jonathan Lucroy,MIL,297,4,24,26,4,2.0,0.628183154,0.2817319246965485,3.3930967121165434,-1.4355549332685769,35.915568351745605,-12.278928743481858,69.53186958923155,96.48728986276076,68.59128931106041,80.29372318395491,90.2713292538348,79.58446761604746,50.24463811082273,95.0480406807912,518960,NL,NL,0,0.0,NL,12,45,4,44,34,45,40,47,55,1,32.7,35,1
2009,Andrew McCutchen,PIT,493,12,74,54,22,5.0,0.8362432,0.3633346126667108,3.381653787330775,4.561589252203703,0.4184072017669678,17.922272121553885,122.02057404403132,107.76092440533134,118.11791127755596,96.27435269200924,107.74641455519718,111.62856997911167,118.20440194480402,108.3462267559712,457705,NL,NL,0,0.0,NL,16,7,1,6,11,11,7,5,7,20,9.1,1,1
2022,Jeremy Peña,HOU,558,22,72,63,11,2.0,0.71491231,0.3091494010673963,3.3518266082009056,2.245444456115365,10.165184020996094,4.211899205346027,103.13171631668904,104.4851720433254,49.528481267674934,108.89194453505486,93.35948474883966,108.7537299085306,115.6853762691185,102.93712394226228,665161,AL,AL,0,0.0,AL,33,31,5,25,23,75,49,22,26,3,29.2,21,0
2009,Elvis Andrus,TEX,541,6,72,40,33,6.0,0.701839161,0.3132527369181916,3.283192971265187,8.710374992340803,18.30079698562622,-4.4003007561378435,80.59516791661775,99.80504348546027,83.9163586965209,81.74826179358868,97.82641541654765,86.91059577283788,65.62967308762663,101.54879483199764,462101,AL,AL,0,0.0,AL,9,27,2,31,21,30,20,34,33,1,20.8,16,1
2005,Tadahito Iguchi,CHW,582,15,74,71,15,5.0,0.780461427,0.3401835892284126,3.253722557044083,2.689154777559452,6.282442808151245,6.510402914875148,105.3769654408672,103.62808596325716,102.86777684019538,124.097933845422,103.40401736573855,103.07969462300883,102.14362544577988,110.7342404346563,435338,AL,AL,0,0.0,AL,37,16,1,15,20,27,17,19,20,12,18.4,11,1
2011,Danny Espinosa,WSN,658,21,72,66,17,6.0,0.736736607,0.3243431898037715,3.239445810275563,4.284312294796109,3.7059710025787354,6.777317799710822,103.28036468411676,90.95105082655712,102.88401029438144,137.6627140277028,98.97497834096164,102.57380023016565,123.4542792225858,97.73641385796276,457787,NL,NL,0,0.0,NL,54,20,2,20,46,16,23,20,11,17,22.9,17,0
2003,Scott Podsednik,MIL,628,9,100,58,43,10.0,0.821684587,0.3605573891050221,3.2195395539526803,5.893663183436729,-7.239334583282471,19.336426912310888,116.67724700449092,116.76434451053692,98.85855098618993,89.86044227044803,111.3089623475792,102.71065299928634,79.46417759293398,121.15691339416888,325392,NL,NL,0,1.0,NL,8,2,2,3,1,10,1,12,26,39,10.4,2,2
2003,Jody Gerut,CLE,525,22,66,75,4,5.0,0.829627862,0.3538770857911844,3.194324914865762,-1.1171257704263553,3.962594509124756,10.376627316547546,117.49552184530918,104.26462581404532,80.71084879209359,84.89559989855347,100.58144264352812,115.21522244238736,133.44935450101605,97.56859359388548,425506,AL,AL,0,0.0,AL,5,3,3,2,12,24,11,2,4,12,7.8,1,0
2008,Denard Span,MIN,411,6,70,47,18,7.0,0.819373431,0.3626480017602443,3.177196697347999,4.012460357509553,2.3930370807647705,15.274308899050917,122.24326971794844,109.64250807311592,141.51798387758845,86.69552668319471,115.17160036573092,102.68400616419748,90.48133966141135,112.26149640864556,452655,AL,AL,0,0.0,AL,8,8,5,6,10,6,4,17,26,17,10.7,2,0
2023,Matt McLain,CIN,403,16,65,50,14,5.0,0.864169414,0.3702291442501929,3.174799662921137,0.4073177059181034,3.670949935913086,14.381854063507994,127.9907093018496,116.1502323972077,87.29339612280761,127.86420473670236,110.53031350375964,121.68712220639092,130.00237150757584,129.52276084556925,680574,NL,NL,0,0.0,NL,57,6,5,10,8,41,12,7,13,20,17.9,7,0
2004,Khalil Greene,SDP,554,15,67,65,4,2.0,0.795286415,0.3386297719913293,3.158218760423576,2.71520313504152,4.190460920333862,9.57113508578986,109.6000650176658,101.1915886824307,105.74860217300775,103.82004789503168,102.25729961930504,102.1444980234198,103.67874085190752,102.34997933271922,425867,NL,NL,0,2.0,NL,19,16,1,8,19,9,11,13,15,12,12.3,5,1
2014,Travis d'Arnaud,NYM,421,13,48,41,1,0.0,0.717965367,0.3131881748337343,3.132421118548567,-2.9167130505666137,17.565185070037842,-1.757894040851829,102.45211786621884,94.21720432308943,97.11851836024806,76.00335584741885,94.48568992959882,105.0728725175746,125.07656630927156,85.3025358162812,518595,NL,NL,0,0.0,NL,9,14,3,13,34,18,28,11,9,3,14.2,6,0
2015,Joc Pederson,LAD,585,26,67,54,4,7.0,0.76315037,0.3347278148504022,3.1194509457231963,-0.3388308184221387,1.0297470092773438,10.288522848457648,115.59065819473764,80.83195399583329,197.889650555338,145.8051349699392,106.8982250539718,101.66916090235613,137.9485387048057,85.79127899982493,592626,NL,NL,0,0.0,NL,58,26,7,23,65,2,20,33,16,28,27.8,25,0
2016,Aledmys Díaz,STL,460,17,71,65,4,4.0,0.878896623,0.369646171552945,3.096693982892072,-0.4384600829798728,-2.227914333343506,17.878825114895257,132.33229418810544,114.98779754713745,103.14505662543284,63.57615302229655,111.7602823378929,119.87721322560014,127.60091386938352,102.50376569808142,649557,NL,NL,0,0.0,NL,5,6,4,5,12,29,5,8,12,42,12.8,3,0
2007,Akinori Iwamura,TBR,559,7,82,34,12,8.0,0.769963853,0.3413530352953318,3.05533855074109,3.316236400278285,3.976888656616211,7.9982930610026814,106.67863987729108,105.22071073134236,121.13671673080084,122.11989601831525,105.92768873390564,97.10409779181138,82.69916155817783,116.1121619106364,493127,AL,AL,0,0.0,AL,33,15,4,16,17,8,13,19,24,12,16.1,10,0
2019,Christian Walker,ARI,603,29,86,73,8,1.0,0.824629216,0.345511357488744,3.046244117551439,0.6074299700558186,2.7250871658325195,9.401227544722428,111.05333896983817,100.42563110134311,125.408984491903,117.59684170336205,105.25896620655736,107.03196403069256,116.1330687110516,103.92726192741526,572233,NL,NL,0,0.0,NL,47,16,6,21,34,9,19,16,15,13,19.6,10,0
