Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2008,Brian Barton,STL,179,2,23,13,3,1.0,0.746442576,0.3347495222091675,0.9484082993509926,0.5466687625739723,2.6176950931549072,1.149867697754184,102.6846270625016,100.258342231248,116.4610513101154,127.0853132188182,104.47656849884692,91.97128177435371,78.04990774775958,114.48361476396148,446382,NL,NL,0,0.0,NL,37,18,21,15,23,16,13,32,34,15,22.4,16,0
2016,Dansby Swanson,ATL,145,3,20,17,3,0.0,0.802971576,0.3340234096101719,0.9453532894771032,1.0331753650680184,2.38246750831604,2.2500097821279006,106.81391526647366,116.07071169057042,103.75230297546764,114.29092359504334,109.37224213900166,103.88095378824,84.62506573345402,125.69713002458394,621020,NL,NL,0,0.0,NL,41,22,22,22,9,28,10,20,36,16,22.6,15,0
2006,Eliezer Alfonzo,SFG,309,12,27,39,1,0.0,0.766674309,0.3169908661570325,0.9452099764244406,-0.8782547337468714,6.0042266845703125,-6.550224570598452,85.96118767084121,97.62462092933391,32.79262545324166,145.78061536476451,87.93430382582382,105.19721640166016,117.33227732818952,104.30030983289666,425769,NL,NL,0,0.0,NL,44,29,20,31,28,48,37,17,12,9,27.5,29,0
2021,Jake Rogers,DET,127,6,17,17,1,0.0,0.802026833,0.3386119435871801,0.941138816857508,0.8643204662948847,1.8482387065887451,3.1913345206154067,114.9655688290768,97.14888313686062,102.19434448476636,158.32512073673615,96.81358296388724,119.20541305054029,151.15709068819737,118.06746299116288,668670,AL,AL,0,0.0,AL,66,11,22,6,36,27,34,3,4,20,22.9,13,0
2021,Sergio Alcántara,CHC,255,5,30,17,3,0.0,0.630422333,0.2787660755335338,0.940385533654448,1.039476730627939,8.530616998672485,-7.70809732461726,73.05363405197392,82.17267496145432,128.08038280448503,130.12032527016223,92.92117176221046,77.85766877267758,71.59199632315108,94.9787203370484,642727,NL,NL,0,0.0,NL,43,55,23,56,56,8,41,60,55,5,40.2,41,0
2021,Bryan De La Cruz,MIA,219,5,17,19,1,1.0,0.783300061,0.3389847661377093,0.9400197520296674,-0.6086823565419763,-0.3821544051170349,2.408864009217411,110.82337219264896,119.10679214148648,89.48081511551285,108.51389581560652,109.17121828066868,101.6149082863146,76.21556244535539,129.12423944711614,650559,NL,NL,0,0.0,NL,26,10,24,13,2,37,10,28,52,35,23.7,15,0
2006,Carlos Quentin,ARI,191,9,23,32,1,0.0,0.872225744,0.3657655443282837,0.93965184222165,-1.5550681927707046,1.4002652168273926,1.9458475416074048,114.01855421549868,92.9507727449241,88.4199076589967,108.3607717139377,99.73098249761269,119.92044288263178,163.13923388495888,88.0428146448986,435041,NL,NL,0,0.0,NL,25,6,21,11,32,23,21,4,3,19,16.5,12,0
2010,Josh Thole,NYM,227,3,17,17,1,0.0,0.723164826,0.3267898767922831,0.9384690069906548,0.1888597649522125,1.156627178192139,0.9515491902658084,102.80388174519452,105.84942273895162,119.65705187411052,59.689716864388906,107.49182634258428,88.74564341190387,59.05699366892107,100.8912938274836,489365,NL,NL,0,0.0,NL,5,25,25,22,15,10,8,38,50,21,21.9,14,0
2023,Jordan Walker,STL,465,16,51,51,7,4.0,0.787173578,0.3412033484828087,0.9360366950479744,-0.151822037063539,-15.104073524475098,8.585034146929203,115.16644435853988,110.46273251608989,90.29704040702975,100.21588657614072,105.7713692563638,106.89516760460788,101.5374154208218,111.50966155922757,691023,NL,NL,0,0.0,NL,24,19,35,18,14,38,20,22,28,78,29.6,21,0
2015,Blake Swihart,BOS,309,5,47,31,4,2.0,0.711579352,0.311676493490946,0.9308290166482608,1.0687378547154367,0.258491039276123,-1.5860214869659297,92.57558312332058,107.16891725228449,75.73146777302703,125.81254743120476,100.2656301178633,94.9523528618831,75.06903493203423,121.28182757538248,596119,AL,AL,0,0.0,AL,47,41,35,41,19,47,34,45,53,36,39.8,42,0
