,Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,rookie_of_the_year,_merge,ERA-_int_FIP-,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,HR/9+_int_BB%+,K%+_int_ERA-,K%+_int_HR/9+,WHIP+_int_ERA-,WHIP+_int_FIP-,K-BB%_int_ERA-,K-BB%_int_FIP-,WHIP+_int_HR/9+,SD_int_MD,SD_int_SD_pct,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA,ERA-_int_FIP-_int_IP,ERA-_int_FIP-_int_SD_int_MD,SD_int_MD_int_SD_pct
0,2022,Kirby Snead,OAK,46,44.2,35,5.8432849128574915,156.18824147412158,4.612431343277967,121.40624842680324,1.2308535695795246,57.46833945421221,93.5744026539884,126.0183016561292,139.4083692038246,75.01735369525525,130.53683799252192,0.06190476,-0.0840600207448005,-1.2161496877670288,1.0937040692369564,1,2.0,8,7,-0.2973280251026153,669912,2020s,-0.0067268783959867,0.9608695652173914,0.5333333333333333,relief,AL,AL,30,29,22,30,30,20,13,27,29,25,29,22,30,29,29,24,24,2,24.666666666666668,29,175,145.66666666666666,sneadki01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0019018104240905,0.0,left_only,18962.22844575274,2540.10060387618,3315.767033330282,6903.520273156174,5366.1561804647035,9792.52814594525,12214.906639490697,11716.828553704114,7019.70406071648,21773.94803272045,16925.047104335037,9.668795603277543,7.515624671361633,13045.05487321456,56,4.266666666666667,-5638.001935320296,-1593.9653165176212,838130.4973022711,1061884.7929621534,29.866666666666667
1,2007,Brian Stokes,TBR,59,62.1,35,7.074866887454019,158.6182221144906,5.758321923747896,130.25650781276948,1.3165449637061224,69.94358559844981,157.84053505093328,127.63485927308832,130.6866700396447,70.07579229146434,100.18901770596833,0.03401361,-2.1588521003723145,-0.8549805879592896,-1.462561643751628,0,2.0,11,14,-0.7666953802108765,425530,2000s,-0.0123461413882588,1.052542372881356,0.44,relief,AL,AL,19,20,20,20,20,9,20,20,20,6,19,20,20,17,19,9,18,20,17.555555555555557,19,161,145.22222222222223,stokebr01,Rookie of the Year,2007.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0347641239995541,0.0,left_only,20661.055688103752,4343.496665663733,4351.706701299936,9850.191593309866,8088.929135172985,7020.824794649279,15813.88816093747,11115.297586536399,11060.800549402797,20729.287255751507,17022.789257043805,5.395178345895658,4.430494056705494,20627.653923082293,154,4.84,-15840.735946348797,-44604.16346817214,1283051.558231243,3181802.5759679778,67.76
2,2022,Jake Bird,COL,38,47.2,42,4.9090915638705654,107.33461516436846,4.958585094058977,118.03223989882146,-0.0494935301884114,66.94118892576263,119.87065243741232,101.2489727076066,111.52528896665008,88.00838971903507,131.47120763025112,0.09004739,-0.1974678933620453,-0.1374443769454956,-0.1000983927220983,0,1.0,8,9,-0.2972292006015777,656234,2020s,-0.0062972288263046,1.2421052631578948,0.4705882352941176,relief,NL,NL,26,26,27,28,24,21,20,26,28,21,25,26,25,28,28,24,26,19,24.88888888888889,30,174,145.0,birdja01,Rookie of the Year,2022.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0041836418085179,0.0,left_only,12668.945046528417,3159.6241172959963,4153.995994738455,5066.193835758191,5571.121723224373,11570.569277955317,15759.539435372702,9446.34664172839,10549.623095586783,11970.523972330375,13163.579662097029,9.665201952205802,10.628495138742737,13368.609151703287,72,3.7647058823529407,-3765.580408644959,-2501.709889457485,597974.2061961413,912164.043350046,33.882352941176464
3,2022,Yunior Marte,SFG,39,48.0,44,5.437500864267487,138.0109737048425,4.383264536990092,114.1006071951695,1.054236327277395,73.31654027297331,85.0273002815841,104.61184181306832,112.37949901611974,90.90675239266038,123.99214665120142,0.10280374,-0.6730838418006897,-0.5148887634277344,-1.0225564736767043,0,0.0,2,4,-0.1132773980498313,628708,2020s,-0.0023599457927048,1.2307692307692308,0.3333333333333333,relief,NL,NL,28,25,16,29,25,16,7,25,25,19,24,29,29,23,26,29,29,26,23.88888888888889,28,173,144.61111111111111,marteyu01,Rookie of the Year,2022.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0140225800375143,0.0,left_only,15747.135899319102,3519.193933102719,4363.524114847698,6624.526737832441,5476.829145368136,11271.723374255202,10542.717485869916,12546.12941405608,7729.555733314348,15509.604083677075,12822.569074028215,14.188044257899467,11.729969155934334,9555.325408337598,8,0.6666666666666666,-1783.794581411958,-10599.14272847126,755862.5231673169,125977.08719455282,2.6666666666666665
4,2007,Jay Marshall,OAK,51,42.0,18,6.428574347983927,146.23270216315484,5.168177445081214,117.23105123747226,1.2603969029027136,40.87612144455592,63.88785941618062,109.6604411067232,121.43312497652964,53.51242269067168,130.91365060365683,-0.02020202,-0.6763439774513245,-0.5299928188323975,-0.4281244762148677,0,2.0,7,9,-0.2710276842117309,457444,2000s,-0.0064530401002793,0.8235294117647058,0.4375,relief,AL,AL,18,19,14,18,18,15,15,19,19,17,20,19,19,20,20,16,19,14,17.72222222222222,20,159,141.55555555555554,marshja01,Rookie of the Year,2007.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0161034280345553,0.0,left_only,17143.013399882824,1716.7971006713487,2247.5217530082105,6141.7734908525035,4923.704151973835,7005.50660708179,8363.792905425416,7825.26616935384,3418.794137880866,17757.49399743402,14235.732896049918,-2.9541959737540977,-2.3683040417204393,7758.102416968017,63,3.0625,-4646.231222180913,-11594.573868378102,720006.5627950786,1080009.844192618,27.5625
5,2019,Branden Kline,BAL,34,41.0,34,5.926831474055397,125.85757216159502,5.872547050490058,120.59962665041898,0.0542844235653383,66.73142165034392,136.42885897692102,107.11788956659365,114.02131910322304,81.7369107953437,122.486402185575,0.08196721,-0.7372857332229614,-0.7224656939506531,-0.1879705522639594,0,1.0,8,8,-0.1786769330501556,571858,2010s,-0.004357973976833,1.2058823529411764,0.5,relief,AL,AL,24,24,24,21,22,15,12,23,23,24,23,22,25,21,23,19,20,14,21.055555555555557,25,160,138.27777777777777,klinebr01,Rookie of the Year,2019.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0179825788590966,0.0,left_only,15178.376213816524,2735.9882876641004,3351.213342609092,5160.160458625395,4944.584692667178,10011.660129084936,16710.680090366244,10287.209148690825,11151.273476107119,14350.446396994146,13750.928514036985,10.316194047459613,9.88521492357649,15555.798464296126,64,4.0,-2712.0257105661694,-11190.800235937673,622313.4247664774,971416.0776842575,32.0
6,2014,David Hale,ATL,39,54.1,22,3.809817110017705,104.57012670014902,4.715074736102364,131.52651458751754,-0.90525762608466,35.530268960296716,78.91954244727192,115.18764393190035,123.49025980767188,43.71103166092617,123.0247652666431,-0.00408163,-1.330620050430298,-0.7471277117729187,-1.0156475745504416,0,0.0,2,8,-0.4874828159809112,571735,2010s,-0.009010772938649,1.3871794871794871,0.2,relief,NL,NL,13,15,13,15,15,8,8,15,15,9,15,14,15,15,15,15,15,13,13.5,15,155,137.38888888888889,haleda02,Rookie of the Year,2014.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0245955647029629,0.0,left_only,13753.744294845706,1922.1875507520524,2364.766812856106,5657.243854478062,7115.5844391846995,5377.539409648247,9709.058184526504,4570.868118977274,3449.6546185785096,12913.392114322569,16242.243458010085,-0.42681656624312925,-0.5368425677358493,9745.794800716198,16,0.4,-6704.713999132777,-18301.007927213017,744077.5663511527,220059.9087175313,3.2
7,2022,Joey Krehbiel,BAL,56,57.2,45,3.901735050423805,102.70869826902566,4.67312502183273,120.46809424974576,-0.771389971408925,90.30739062250912,130.46327314684018,99.47857284802384,98.29044347472988,83.01100624149488,91.92050034042715,0.11065574,-0.1703129559755325,-0.2701294720172882,0.0934043645010305,1,0.0,11,16,-0.3524574339389801,607216,2020s,-0.0061618432506814,1.0214285714285716,0.4074074074074074,relief,AL,AL,25,28,28,16,23,9,30,29,27,12,27,25,28,19,24,18,28,14,22.77777777777778,26,165,134.66666666666666,krehbjo01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0029774992303414,0.0,left_only,12373.121143341683,5165.5827436075215,4748.2295570135075,5874.937540988268,6890.774991085458,7630.413227480531,11992.249343707363,8525.952393065903,10829.887581478202,10095.283501574753,11840.862408363068,11.365307011395753,13.330486115595363,12823.292974767739,176,4.481481481481481,-4360.998527998349,-2107.3028365658824,707742.5293991443,2177669.3212281363,71.7037037037037
8,2022,Tyler Danish,BOS,32,40.1,32,5.132232052162366,124.7507526615816,4.971935368388703,125.66135983507198,0.1602966837736632,96.32788330659444,145.07897647675972,106.6396911193814,102.92407479147008,83.25625402541935,86.43006571304974,0.11560694,-0.1027040183544159,-0.1933479458093643,0.0328258665736155,0,0.0,4,3,-0.3746126890182495,641501,2020s,-0.009341962319657,1.253125,0.5714285714285714,relief,AL,AL,27,30,29,23,27,7,3,30,30,29,26,24,27,16,22,28,19,16,22.944444444444443,27,164,134.0,danisty01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0025611974651974,0.0,left_only,15676.349219903068,3862.7481205944373,3338.575786419316,5002.5051817294225,5039.020529386386,7195.843506439357,12539.185470468341,10386.280353454897,12078.732119296947,12839.855797232809,12933.579198062782,14.422052777902305,14.527325286771577,14932.119425563946,12,2.2857142857142856,-5872.559335257027,-1610.0240580111579,628621.603718113,188116.19063883682,6.857142857142857
9,2018,Burch Smith,KCR,32,55.2,57,5.820357951921943,133.40128549973403,5.046658689823924,120.9622168439514,0.7736992620980185,69.01125088828654,119.4414350496278,111.92039072623128,125.95775964181196,101.56271865871165,147.16834526359813,0.1023622,-0.9236899614334106,-0.4290884137153625,-1.1711736679337073,0,0.0,2,8,-0.3014464676380157,572143,2010s,-0.0054609867325727,1.725,0.2,relief,AL,AL,24,25,25,26,24,23,11,25,24,16,15,24,25,20,20,26,26,24,22.38888888888889,26,154,133.27777777777777,smithbu03,Rookie of the Year,2018.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0167335137940835,0.0,left_only,16136.515223880697,3809.421049033417,5606.262069960883,7363.750959585319,6677.114369786117,14946.817245474955,17577.998352163253,13548.597227919956,12130.796864138129,16802.927054884232,15236.129834971169,13.655249066580875,12.381958633023922,15044.575567254113,16,0.4,-4864.2955142259,-14905.137124816005,890735.6403582145,258184.24358209115,3.2
