,Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,QS_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,rookie_of_the_year,_merge,ERA-_int_FIP-,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,HR/9+_int_BB%+,K%+_int_ERA-,WHIP+_int_ERA-,WHIP+_int_FIP-,K-BB%_int_ERA-,K-BB%_int_FIP-,WHIP+_int_HR/9+,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA
234,1999,Jeff Weaver,DET,9,12,29,29,0,0,13,162.2,113,5.588114579369136,113.63527181268218,5.248608135324884,105.47900491846212,0.3395064440442521,120.3201561825005,127.23718559454116,101.2632623025686,95.9727020948454,100.70246644342184,83.69542306988163,0.07983193,-0.5151760578155518,-0.6505503058433533,0.1355805156820942,1.6131885051727295,213711,1990s,0.0099456751243694,starter,AL,AL,0.375,0.375,0.375,0.5,0.25,1.0,0.375,0.375,0.75,0.5,0.25,0.25,0.875,0.625,0.5,0.5625,0.49609375,6,76,0.4375,weaveje01,Rookie of the Year,1999.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0031761779150157,0.0,left_only,11986.135394440684,19515.92933280158,16333.940057123022,18431.641088017048,17108.694597774556,8428.335533162748,10649.17007855617,11443.352146505747,10905.88408914533,10123.105116300298,9.071723064881017,8.420592537120324,12211.296508451454,19335.89583975571,-6174.969980951405
235,2007,Kyle Kendrick,PHI,10,4,20,20,0,0,13,121.0,49,3.867768351167515,85.01496288980407,4.942084372182848,107.8612149118694,-1.0743160210153326,97.89235888500744,113.8107081604376,105.4977117361404,90.8428345539424,57.317652312500314,58.55171159742949,0.04809619,1.3275638818740845,0.9326499104499816,0.5529079241096206,1.0721970796585083,452718,2000s,0.0088611328897397,starter,NL,NL,0.7692307692307693,0.4615384615384615,0.5384615384615384,0.8461538461538461,0.3076923076923077,0.9230769230769232,0.4615384615384615,0.4615384615384615,0.3846153846153846,0.1538461538461538,0.7692307692307693,0.6923076923076923,0.4615384615384615,0.3076923076923077,0.8461538461538461,0.6153846153846154,0.5625000000000001,6,65,0.4351365546218487,kendrky01,Rookie of the Year,2007.0,NL,7.0,160.0,0.0,0.0,0.04375,1,0.0109716023295378,0.0,both,9169.817182981758,11844.9754250859,6935.435929812538,10286.810509666293,13051.207004336196,3356.0466476432557,6663.811760909157,4872.8580842779065,7723.000208408023,9798.418501026175,4.088895807990966,5.187713486032103,10338.887331885655,9831.85120459545,12173.518095514944
236,2005,Chien-Ming Wang,NYY,8,5,17,17,0,0,12,111.2,45,4.029851113377004,93.53205417261184,4.255852174178942,98.70743151137228,-0.2260010608019387,71.11999316782074,67.74042913190542,95.5724062312156,90.75609281231743,60.79877096377205,85.48759032077257,0.03010753,0.2209561169147491,0.8568366765975952,-0.6402793392918352,1.2977564334869385,425426,2000s,0.0116704715241631,starter,AL,AL,0.6363636363636364,0.7272727272727273,0.9090909090909092,0.9090909090909092,0.7727272727272727,0.8181818181818182,0.3636363636363636,0.5454545454545454,0.1818181818181818,0.0909090909090909,0.6363636363636364,0.8181818181818182,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.5198863636363636,6,79,0.4322916666666666,wangch01,Rookie of the Year,2005.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0019870154398808,0.0,left_only,9232.308831361044,7908.543240261666,6760.823331171452,10400.764423994437,10976.266384064598,5197.540424157428,5790.966053781657,5686.633939411747,8488.603789416262,8958.30081551157,2.816019126963536,2.9718369554515864,6147.85667344142,11981.288181837073,2039.9351095352815
237,2008,John Lannan,WSN,9,15,31,31,0,0,21,182.0,117,3.9065934065934065,91.0068199415493,4.791358939369956,110.24138563242047,-0.8847655327765493,80.23206017442183,111.08266887307028,95.4075450645474,96.37871630395811,83.86078874430325,104.52278871545072,0.05776637,0.3463900089263916,-0.0499419420957565,0.3775222828335143,1.2201184034347534,458709,2000s,0.0067039472716195,starter,NL,NL,0.6363636363636364,0.3636363636363636,0.3636363636363636,0.7272727272727273,0.7272727272727273,0.4545454545454545,0.2727272727272727,0.1818181818181818,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.3636363636363636,0.3636363636363636,0.6363636363636364,1.0,0.5170454545454545,6,78,0.4319105691056912,lannajo01,Rookie of the Year,2008.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0019032418072878,0.0,left_only,10032.717932356589,14602.234951744773,15262.66355146319,16563.24122936197,20063.932185100526,8765.363503431856,11610.670328568298,7631.90370140911,8771.120480871978,10624.923230822296,5.257133633266915,6.368244671755085,10706.005029604159,12241.103785738142,3475.2332541449678
238,2022,Reid Detmers,LAA,7,6,25,25,1,1,7,129.0,122,3.767441860465116,94.99313898989342,3.786849606314371,93.61266797442298,-0.0194077458492545,95.80436222404782,84.24112263545939,94.9313126614287,96.54117425791576,101.87885529907288,106.34051789660926,0.14100186,-0.1678537279367447,0.280205637216568,-0.4661622653147025,2.2126073837280273,672282,2020s,0.0171519952226978,starter,AL,AL,0.6,0.7,0.8,0.6,0.7,0.6,0.8,0.7,0.7,0.5,0.5,0.6,0.5,0.5,0.1,0.25,0.571875,6,72,0.4313568376068376,detmere01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0013011916894321,0.0,left_only,8892.561180109107,12358.762726902169,13142.372333580402,12254.114929696252,12076.034168700564,10833.850235217125,8958.244609246525,9677.792261556071,9170.749184529712,9037.476891667178,13.394209284813495,13.199560303956073,8132.736900032336,19675.74652736263,-1492.6495449868914
239,1985,Kirk McCaskill,LAA,12,12,29,29,6,1,16,187.2,102,4.651864882803153,113.66560780558204,4.261719719535743,101.55311266049073,0.3901451632674098,102.6253732428597,113.5769069341015,99.19715563982686,96.86600930113978,93.95227745888432,91.54878677813385,0.0489335,-0.3739021420478821,-0.4235013425350189,-0.0141144613785394,2.1549060344696045,118564,1980s,0.0115112501841325,starter,AL,AL,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.6428571428571429,0.4598214285714286,5,65,0.4300595238095237,mccaski01,Rookie of the Year,1985.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0019973405023925,0.0,left_only,11543.096275103428,19211.469871063335,17587.866340303146,21278.201781204956,19010.742690043862,8601.217016403472,10397.828035830009,10679.142722082772,11010.333822915216,9837.044755530791,5.562056019554449,4.969349238372122,11001.741723473364,24874.28781968399,-4315.9884231261
240,2005,Ervin Santana,LAA,12,8,23,23,1,1,13,133.2,99,4.645885109998551,108.99755998811038,4.426514903081053,104.08228600138794,0.2193702069174987,103.19964964115084,106.8943458251154,100.64063989499216,102.19038297003593,106.68463597248292,103.37693181247327,0.08919383,-0.173131987452507,-0.3278026580810547,0.1585254041991569,1.5718554258346558,429722,2000s,0.01180071641017,starter,AL,AL,0.4545454545454545,0.4545454545454545,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.3636363636363636,0.4545454545454545,0.6363636363636364,0.4545454545454545,0.8181818181818182,0.4545454545454545,0.5454545454545454,0.9090909090909092,0.8181818181818182,0.3636363636363636,0.5454545454545454,0.5624999999999999,5,80,0.4294507575757575,santaer01,Rookie of the Year,2005.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0012997896955893,0.0,left_only,11344.715212135943,13746.19333220129,14210.393511534725,14518.474990416302,13863.760495384873,11028.7303383659,11050.409499501891,11628.365009220426,11138.502397984465,10636.208666878643,9.72190983599432,9.283497723619176,10923.574137200003,17832.25216074484,-1964.1330917597852
241,2011,Guillermo Moscoso,OAK,8,9,21,21,0,0,12,125.0,71,3.383999793457044,85.36384427591733,4.281386209121709,108.39373407104144,-0.8973864156646649,85.17768924615687,102.1462713113858,81.87879310541716,81.53192362704348,76.55519899875625,89.8770572731654,0.06640625,-0.2030940055847168,0.222091406583786,-0.4406442194469875,1.4129279851913452,446861,2010s,0.0113034238815307,starter,AL,AL,0.8333333333333334,0.4166666666666667,0.5,1.0,1.0,0.8333333333333334,0.3333333333333333,0.4166666666666667,0.2916666666666667,0.1666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5,0.3333333333333333,0.4166666666666667,0.5338541666666666,8,84,0.4286736641221374,moscogu01,Rookie of the Year,2011.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0016247520446777,0.0,left_only,9252.905835725576,10647.21115576961,9569.399874844532,10670.480534489667,13549.21675888018,6880.556004969791,9180.606276893714,6535.046085841691,6959.878432014924,8837.549647930211,5.668692783947635,7.198021403155096,8328.18199134717,13073.689599636979,-1879.209709475709
242,2002,Jason Jennings,COL,16,8,32,32,0,0,13,185.1,127,4.516186802476469,93.00309284843368,4.677901714471653,103.07915277552732,-0.1617149119951841,93.52332750423156,124.57142381505082,108.7699913119681,106.79234130603194,89.95454186699523,96.18406534636546,0.07054455,0.5081279277801514,0.1707062125205993,0.3520082103918915,2.0811421871185303,407298,2000s,0.0112433397467235,starter,NL,NL,0.6875,0.5625,0.25,0.4375,0.25,0.6875,0.8125,0.625,0.9375,0.5625,0.625,0.5625,0.75,0.75,0.4375,0.625,0.59765625,5,75,0.4275210084033613,jennija01,Rookie of the Year,2002.0,NL,150.0,160.0,27.0,0.0,0.9375,1,0.0027451535806599,1.0,both,9586.680016320248,17311.167921033262,16650.585699580817,17214.872486245073,19079.951178750107,8652.193533137437,11981.785968516635,8366.050609394471,9932.018033986507,11008.064064740724,6.560861333600972,7.271672446930825,13303.274009035264,19951.24421637023,4871.2598509841955
243,1987,Jeff Robinson,DET,8,5,21,21,2,1,8,118.0,88,5.262711524141504,120.182013827595,4.184536352735666,91.66241753333976,1.078175171405838,108.81359760278688,84.47023956408522,101.80168045654948,103.5373755040955,108.9872965393684,100.15963151589102,0.07809524,-0.9150001406669616,-0.0379988178610801,-0.9001184558195724,1.942246437072754,121316,1980s,0.0164597155684131,starter,AL,AL,0.1428571428571428,0.8571428571428571,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.4285714285714285,1.0,0.1428571428571428,0.5714285714285714,1.0,1.0,0.1428571428571428,0.3571428571428571,0.5669642857142857,4,69,0.4259708737864077,robinje02,Rookie of the Year,1987.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0077542384802284,0.0,left_only,11016.173931462627,12840.004517128853,12860.500991645471,14181.47763165621,10816.165268934092,10916.127461296284,8460.508068797815,13098.31277972657,12443.3302945061,9490.486143762586,9.385643213549349,7.1583984962463765,8745.826912667595,21396.12456855704,-10079.800696900018
244,1979,Tony Brizzolara,ATL,6,9,19,19,2,0,8,104.0,63,5.451923076923077,134.83973073888816,3.309088604266827,80.25625610299133,2.14283447265625,119.08724163872348,70.45442153657923,117.07595184340364,117.3528314598804,99.09397409532804,83.21124052506761,0.06315789,-1.5376620292663574,-1.2662484645843506,-0.3794136947115236,2.257031202316284,111489,1970s,0.021702223099195,starter,NL,NL,0.0833333333333333,1.0,1.0,0.25,0.0833333333333333,0.75,0.8333333333333334,1.0,0.0833333333333333,0.8333333333333334,0.25,0.25,0.75,0.9166666666666666,0.5,0.1666666666666666,0.5468749999999999,5,72,0.425438596491228,brizzto01,Rookie of the Year,1979.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0147852118198688,0.0,left_only,10821.731963038601,12385.073130427243,10305.773305914116,14023.331996844368,8346.650634711099,8245.73251303116,5862.599816534798,13361.804784860391,15823.824195496398,9418.29889605534,8.516192881636316,5.0688157947645545,8268.025856185552,24424.986703681574,-16640.166330462536
