Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,mean_rookie_rank,rookie_rank,rk_rel_tc,rk_st_tc,mlb_rank,mean_mlb_rank,mlb_rel_tc,mlb_st_tc
2024,Cade Smith,CLE,65,66.0,88,2.1818186862410776,53.756296054097206,1.626752625527487,38.629184500197525,0.5550660607135907,188.77382556249523,11.677463862553813,82.10803845946832,75.9529582956285,152.33013815626737,80.69452605332799,0.27734375,2.190908432006836,1.865623950958252,0.0864132181751551,2.156907081604004,671922,2020s,0.03268041032733339,relief,AL,,,0.9047619047619048,1.0,0.9523809523809523,0.8095238095238095,0.7142857142857143,0.7619047619047619,1.0,0.9523809523809523,1.0,0.9523809523809523,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.7619047619047619,0.8835978835978836,32,0,0,0.9794520547945206,0.8854642313546421,0,0
2024,Mason Miller,OAK,45,53.2,87,2.515528069515255,63.87463600942752,2.032079489084585,49.92968707609345,0.4834485804306703,166.98354545092582,57.44440794534891,65.32753025070929,71.16797623581274,186.2481794264075,111.536849133233,0.32850242,2.740121603012085,1.5612492561340332,-0.0212437823887485,2.071251392364502,695243,2020s,0.0389332968489568,closer,AL,,,0.7619047619047619,0.9523809523809523,0.6190476190476191,0.9047619047619048,0.9523809523809523,0.47619047619047616,0.9523809523809523,1.0,0.5714285714285714,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,0.8544973544973545,31,0,0,0.958904109589041,0.8544520547945206,0,0
2024,Paul Skenes,PIT,19,114.0,142,2.1315789473684212,50.193000606690475,2.757534485532527,67.51413423604868,-0.6259555381641055,172.96987048966446,70.1014238705469,81.76691996700812,76.11994480602124,143.34707025823562,82.87400987009192,0.25225225,2.979194164276123,2.6744353771209717,0.4352104283933684,3.2854321002960205,694973,2020s,0.028819579827158076,starter,NL,,,1.0,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,1.0,1.0,0.4166666666666667,1.0,1.0,1.0,0.9166666666666666,1.0,0.75,0.9114583333333333,33,0,0,0.9583333333333334,0.8294270833333334,0,0
2024,Hunter Gaddis,CLE,66,63.0,56,1.5714287617309524,38.71732801457847,2.9968828333928896,72.4540637734217,-1.4254540716619373,157.09150517026384,48.934128893907136,65.6995313720357,59.361564800863675,106.05112945427868,67.50914530416333,0.18376068,2.357496500015259,2.264678955078125,-0.5900876911000978,1.3017297983169556,683769,2020s,0.020662377751062787,relief,AL,,,1.0,0.7142857142857143,0.7619047619047619,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.47619047619047616,0.9047619047619048,1.0,0.8095238095238095,0.6666666666666666,0.3333333333333333,0.8161375661375663,30,0,0,0.9383561643835616,0.8230593607305936,0,0
2024,Bryan Hudson,MIL,43,62.1,62,1.7326204622336372,41.588633349181,3.620514162494445,87.62402177911937,-1.8878937002608072,133.2742166887865,89.74482483425818,54.12060845348381,55.934207704132646,120.2993157224717,90.26450601917333,0.1948052,2.7025082111358643,1.7307090759277344,0.4413599584084462,0.7798216938972473,663542,2020s,0.012557515199633612,relief,NL,,,0.9523809523809523,0.5238095238095238,0.19047619047619047,1.0,1.0,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7711640211640213,28,0,0,0.9178082191780822,0.7903348554033485,0,0
2024,Shota Imanaga,CHC,26,153.1,155,2.993478360167076,73.64017858916972,3.663446019250189,91.02703324351906,-0.6699676590831132,226.56616840382569,119.87343879499068,90.86174309176056,78.82669701095573,112.78060837776422,49.77821991550926,0.21103896,1.763074278831482,2.09119176864624,-0.2828778897023363,2.941749095916748,684007,2020s,0.01921455973818908,starter,NL,,,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.25,0.8124999999999999,29,0,0,0.8802083333333334,0.7522786458333333,0,0
2024,Justin Slaten,BOS,35,46.1,47,3.302158635877281,76.20729718793132,2.712538850927537,64.38264495711311,0.5896197849497438,190.44228109200924,49.902249583807496,90.95169082318576,80.71464475030632,111.37799097049506,58.48385878471499,0.20320856,0.6048938632011414,0.8956135511398315,-0.3548207193111998,1.1780964136123655,686580,2020s,0.025555236737795348,relief,AL,,,0.6190476190476191,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.5238095238095238,1.0,0.7619047619047619,0.9047619047619048,0.23809523809523808,0.6190476190476191,0.5238095238095238,0.6666666666666666,1.0,0.8571428571428571,0.47619047619047616,0.7063492063492064,27,0,0,0.863013698630137,0.7049086757990869,0,0
2024,Orion Kerkering,PHI,52,52.0,61,2.250000165059028,54.03357233386619,2.4373589919163594,58.79357299439858,-0.1873588268573311,171.47067334649012,30.73678041346119,91.33859384271923,83.43917638920018,129.57786729641234,75.56852856616733,0.22748815,0.7223439812660217,1.160434603691101,-0.5774407309634523,1.2135049104690552,689147,2020s,0.023336632893635675,relief,NL,,,0.8571428571428571,0.9047619047619048,0.8571428571428571,0.7142857142857143,0.47619047619047616,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.5238095238095238,0.7619047619047619,0.5714285714285714,0.8095238095238095,0.9047619047619048,0.9047619047619048,0.38095238095238093,0.6944444444444445,26,0,0,0.8493150684931506,0.7012937595129376,0,0
2024,Justin Martinez,ARI,55,63.0,79,2.4285717226751085,57.81313279350182,2.711168513078171,68.99188095090179,-0.2825967904030624,90.21535939466852,25.370042187405247,87.51876443658097,100.84599351173472,132.61702367081952,147.00049182428552,0.17602996,0.8690932989120483,1.0579770803451538,-0.4954704545486886,1.124972224235535,679885,2020s,0.017856701971992617,relief,NL,,,0.8095238095238095,0.7619047619047619,0.9047619047619048,0.38095238095238093,0.5714285714285714,0.23809523809523808,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8095238095238095,0.6190476190476191,0.7142857142857143,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.6071428571428571,23,0,0,0.7328767123287672,0.6259512937595129,0,0
2024,Declan Cronin,MIA,49,63.0,65,4.571429678642558,108.30097086599754,2.4095810807781,59.56166654795615,2.1618485978644584,107.9677488528583,0.0,113.47090127797676,111.91446976725403,105.94101029174814,98.12282851042062,0.15636364,1.1575720310211182,0.6114417910575867,0.7183649898981541,1.2607027292251587,686539,2020s,0.020011154432145375,relief,NL,,,0.19047619047619047,0.8571428571428571,1.0,0.23809523809523808,0.14285714285714285,0.5238095238095238,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.42857142857142855,0.8095238095238095,0.5238095238095238,0.5238095238095238,0.42857142857142855,0.9047619047619048,0.5859788359788359,22,0,0,0.7191780821917808,0.5979832572298327,0,0
