,Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID_x,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G,rookie_of_the_year,_merge,yearID_y,playerID,POS,Def_int_Off,wOBA_int_BB/K,PA_int_WAR,PA_int_wRC+,PA_int_K%+,PA_int_BB%+,PA_int_OBP+,wRC+_int_WAR,wOBA_int_WAR,OBP+_int_SLG+,OBP+_int_ISO+,wRC+_int_WPA,wOBA_int_WPA,BB%+_int_K%+,Def_int_Off_int_WPA,Def_int_Off_int_WAR
329,2012,Norichika Aoki,MIL,151,588,10,81,50,43,55,30,8,0.288461538,0.781818181,0.3436598851762968,-4.099313139915466,9.4815017103587,112.4985400666294,88.60310443147888,48.7120494390849,108.57821509291254,104.581999536937,94.37573449962852,0.8322417736053467,1.4770945310592651,-0.6434203689457725,2.437701053708211,493114,2010s,38,0.7894736842105263,0.0161437155874715,NL,AL,1,7,10,1,4,8,9,5,6,8,10,6,5,8,5,12,6.5625,5,RF,102.125,87,aokino01,Rookie of the Year,2012.0,NL,11.0,160.0,0.0,0.0,0.06875,1,0.0055115349245387,0.0,both,2012.0,aokino01,RF,-38.86764454740438,0.2686795463112012,1433.368219580428,66149.14155917808,28642.68507018192,52098.62540570959,63843.99047463258,274.2378096610579,0.8377400642115015,11355.326840568427,10247.148800052273,93.62598451306381,0.28600811235613105,4316.0388035226015,-32.347277433994,-94.74769806836386
330,1975,Larry Parrish,WSN,145,573,10,50,65,28,74,4,5,0.27443609,0.378378378,0.3267450503699495,0.4106171131134033,-4.119760574085905,95.33886043418616,52.48669440526923,108.9890253109188,93.5468139272824,106.90736410912116,114.70629607851744,1.1761274337768557,0.6099391579627991,0.4221036222309529,1.578228368054311,120249,1970s,9,0.4444444444444444,0.0108843335727883,NL,AL,6,7,11,10,9,5,5,6,6,6,5,8,6,5,5,5,6.5625,8,2B,112.9375,113,parrila01,Rookie of the Year,1975.0,NL,1.0,24.0,1.0,0.0,0.0416666666666666,1,0.0081112236812196,0.0,both,1975.0,parrila01,2B,-1.6916441936495716,0.1236332621785098,904.3248548951202,54629.167028788666,62450.711503156475,30074.87589421927,53602.324380332815,150.46649411520335,0.5156783076151891,10000.843297772186,10730.408535544833,112.13064926166916,0.38429381759089815,5720.4736650223485,-1.989589144340589,-2.6698008550721144
333,2014,Kevin Kiermaier,TBR,108,364,10,35,35,23,71,5,4,0.262839879,0.323943661,0.3329051207093632,5.443237781524658,8.627135212966937,116.55987281238876,81.90116687102254,98.94319653837542,99.4836390441821,115.0688660565336,136.1932616945389,-0.2205444127321243,0.0410297662019729,-0.2630301769492726,2.799378877985876,595281,2010s,9,0.5555555555555556,0.0259201747961655,AL,AL,9,4,10,9,7,4,3,4,4,5,7,4,13,9,6,7,6.5625,3,RF,114.8125,106,kiermke01,Rookie of the Year,2014.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0020420778956678,0.0,left_only,2014.0,kiermke01,RF,46.95954833754341,0.10784250356823802,1018.9739115868589,42427.79370370951,36015.32353996865,29812.024741052206,36212.04461208228,326.2952459717213,0.9319275632871297,11447.469535991526,13549.001286669341,-25.70662869753938,-0.07342036434236346,8103.5632504418645,-10.356666010269315,131.45756773587578
334,1985,Joe Orsulak,PIT,121,436,0,54,21,26,27,24,11,0.29974811,0.962962962,0.3158768548999192,-7.661522388458252,-0.7747689530304365,97.895614839465,66.48793301424337,46.501645002950895,104.2819804601679,94.25228904706992,51.34271948882234,-0.8002461791038513,0.2118021845817566,-1.0080203876633438,0.621317135246358,120068,1980s,35,0.6857142857142857,0.0051348523574079,NL,AL,1,5,9,1,2,5,11,10,10,6,11,6,7,7,5,9,6.5625,7,CF,142.125,167,orsuljo01,Rookie of the Year,1985.0,NL,2.0,120.0,0.0,0.0,0.0166666666666666,1,-0.0066136047859822,0.0,both,1985.0,orsuljo01,CF,5.935909679525049,0.30417771182167036,270.89427096741207,42682.48807000674,20274.71722128659,28988.73879421011,45466.94348063321,60.82422296523725,0.19625970257704728,9828.815364732644,5354.120470505253,-78.34059172630415,-0.252779246201002,3091.798258008324,-4.750189040545488,3.6880823971636305
335,2005,Tadahito Iguchi,CHW,135,582,15,74,71,47,114,15,5,0.277886497,0.412280701,0.3401835892284126,6.282442808151245,6.510402914875148,105.3769654408672,102.86777684019538,124.097933845422,103.40401736573855,103.07969462300883,102.14362544577988,1.3969485759735107,0.4519461393356323,0.9487364009986192,3.253722557044083,435338,2000s,20,0.75,0.0241016485706969,AL,AL,14,5,15,14,6,8,9,1,3,5,8,4,2,3,6,2,6.5625,2,2B,108.3125,82,iguchta01,Rookie of the Year,2005.0,AL,30.0,140.0,5.0,0.0,0.2142857142857142,1,0.0103477672294334,0.0,both,2005.0,iguchta01,2B,40.90123397072428,0.14025112863578598,1893.6665281996563,61329.39388658471,72224.9974980356,59869.046120993706,60181.138106859835,342.8674094478044,1.1068630178087047,10658.854532852632,10562.061219394916,147.20620181302928,0.4752189805421887,12765.678565140199,57.136920550962664,133.0812675814833
336,2003,Hideki Matsui,NYY,163,695,16,82,106,63,86,2,2,0.287319422,0.732558139,0.3422154464583466,-26.854061603546143,5.067147212210344,108.90168658978295,109.74352929372569,78.7880028568408,105.56446702965378,101.5041965469634,91.837545696432,1.3822423219680786,1.1258615255355835,0.3150368077200822,0.2152610215803826,425686,2000s,4,0.5,0.0013206197642968,AL,AL,2,4,2,1,4,9,9,16,17,7,20,4,1,2,2,5,6.5625,4,LF,114.1875,106,matsuhi01,Rookie of the Year,2003.0,AL,84.0,140.0,10.0,0.0,0.6,1,0.0084800142452029,0.0,both,2003.0,matsuhi01,LF,-136.07348339093366,0.25069271059458054,149.6064099983659,75686.67217989915,54757.66198550436,76271.75285913935,73367.30458560938,23.442288307143333,0.07366564660521041,10715.236409753416,9694.781564755318,150.52852013810156,0.47302467332592774,8646.473499513851,-188.08652764056893,-29.291317044733603
337,1997,Neifi Perez,COL,83,344,5,46,31,21,43,4,3,0.290734824,0.488372093,0.3340263971641882,4.694671154022217,-11.028050326688463,75.79431360835017,66.76033000737476,75.95214890612567,97.3709287139747,104.61339365660822,99.58944894621922,-0.4362663030624389,-0.3832926750183105,-0.0317216646916292,0.4598343490303536,120413,1990s,7,0.5714285714285714,0.0055401728798837,NL,AL,4,9,7,5,6,4,7,7,7,6,5,8,11,7,7,6,6.625,7,2B,143.3125,159,perezne01,Rookie of the Year,1997.0,NL,1.0,140.0,0.0,0.0,0.0071428571428571,1,-0.0052562205188245,0.0,both,1997.0,perezne01,2B,-51.773069753809615,0.16312917070032384,158.18301606644164,26073.243881272458,26127.53922370723,22965.553522536917,33495.5994776073,34.85282885829817,0.15359681089894883,10186.303296264574,9697.117134006336,-33.06650499107003,-0.1457244614160863,5070.590525742218,22.586845739688297,-23.807035827546134
340,2001,Alfonso Soriano,NYY,158,614,18,77,73,29,125,43,14,0.268292682,0.232,0.3159090649281703,-16.842370748519897,-2.953038818411706,92.93911219588271,56.93999032048096,123.54379725765476,91.10607333640736,100.70349738272728,101.27295195804471,-2.490990161895752,-0.6205199956893921,-1.9581343713266413,0.1053084846554942,150093,2000s,57,0.7543859649122807,0.0006665093965537,AL,AL,10,4,6,8,7,3,2,7,7,5,10,5,5,10,7,10,6.625,7,2B,185.625,217,soriaal01,Rookie of the Year,2001.0,AL,35.0,140.0,0.0,0.0,0.25,1,-0.0157657605183275,0.0,both,2001.0,soriaal01,2B,49.73617461446108,0.07329090306333551,64.65940957847343,57064.614888271986,75855.89151620002,34961.15405677531,55939.12902855412,9.787277070575367,0.033267904916519736,9174.700217783458,9226.58098808408,-231.51041413526934,-0.7869263727897585,7034.582620006324,-123.89232165495179,5.237641181209955
341,2004,David DeJesus,KCR,96,413,7,58,39,33,53,8,11,0.286501377,0.622641509,0.3395951541853539,-3.7226037979125977,-2.705527011276784,98.43783511452428,94.02400034920096,78.47309140219635,106.51794986478733,92.61113143605928,70.66733645964305,-0.3631158769130707,-0.3664555847644806,-0.0112062886960171,0.7466437839906197,430203,2000s,19,0.4210526315789473,0.0077775394165689,AL,AL,3,6,5,2,1,10,11,9,8,6,7,6,11,7,8,6,6.625,6,CF,154.1875,181,dejesda01,Rookie of the Year,2004.0,AL,6.0,140.0,0.0,0.0,0.0428571428571428,1,-0.0037824570511778,0.0,both,2004.0,dejesda01,CF,10.071605127534076,0.21144603925105643,308.3638827881259,40654.82590229853,32409.386749107092,38831.91214422,43991.913294157166,73.4979976977531,0.2535566109458306,9864.747855227391,7527.339802086316,-35.74434081903475,-0.12331239220744424,7378.353973402988,-3.657159727806715,7.51990136328137
342,2012,Todd Frazier,CIN,128,465,19,55,67,36,103,3,2,0.272511848,0.349514563,0.3539471198515645,-3.827911853790283,13.463082133608916,120.78334823478056,93.8009758568378,115.35470530257643,101.41901254582903,120.27756029923547,147.30367403481804,1.612305998802185,1.6934621334075928,-0.1214192906293931,2.4913414077335587,453943,2010s,5,0.6,0.0194636047479184,NL,AL,14,5,8,11,11,4,3,4,4,5,8,4,9,4,4,9,6.6875,6,1B,105.4375,93,frazito01,Rookie of the Year,2012.0,NL,45.0,160.0,3.0,0.0,0.28125,1,0.012596140615642,0.0,both,2012.0,frazito01,1B,-51.535491687793744,0.1237096729200282,1158.4737545961048,56164.25692917296,53639.937965698045,43617.45377342957,47159.8408338105,300.91255682201086,0.8818031158342354,12198.43139696987,14939.393164983921,194.73971691435,0.5706710645954335,10820.38392705961,-83.09098239945,-128.39250440970918
