,Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID_x,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G,rookie_of_the_year,_merge,yearID_y,playerID,POS,Def_int_Off,wOBA_int_BB/K,PA_int_WAR,PA_int_wRC+,PA_int_K%+,PA_int_BB%+,PA_int_OBP+,wRC+_int_WAR,wOBA_int_WAR,OBP+_int_SLG+,OBP+_int_ISO+,wRC+_int_WPA,wOBA_int_WPA,BB%+_int_K%+,Def_int_Off_int_WPA,Def_int_Off_int_WAR
0,1976,Butch Wynegar,MIN,149,622,10,58,69,79,63,0,0,0.260299625,1.253968253,0.3355305996737191,4.479766368865967,8.559113580758602,113.35303866650068,152.66033545801417,81.62747705067805,111.15589303856297,100.66760760401355,98.22774352702396,1.1592659950256348,0.4350340068340301,0.6665548338990162,3.5669527676785124,124632,1970s,0,0.0,0.02393928031999,AL,AL,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1.3125,1,C,63.5,35,wynegbu01,Rookie of the Year,1976.0,AL,2.0,24.0,2.0,0.0,0.0833333333333333,1,0.0077803086914472,0.0,both,1976.0,wynegbu01,C,38.342829166386345,0.42074471990089596,2218.6446214960347,70505.59005056342,50772.29072552175,94954.72865488482,69138.96546998617,404.32493499624405,1.1968218011470033,11189.797823279758,10918.592552909271,131.40632315890016,0.38896921449230193,12461.278029147865,44.4495380056688,136.76706061566617
1,1981,Tim Raines,WSN,88,363,5,61,37,45,31,71,11,0.303514376,1.451612903,0.3746087054966548,-2.612823486328125,24.527370772223257,136.2575451600563,142.87721108376303,72.65380959913907,119.3491680929388,116.38851540630648,118.07902274794884,3.252328395843506,2.7474098205566406,0.2217451494258724,3.7083823073422586,120891,1980s,82,0.8658536585365854,0.0421407080379802,NL,AL,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1.375,1,2B,35.25,10,raineti01,Rookie of the Year,1981.0,NL,85.0,120.0,6.0,0.0,0.7083333333333334,1,0.0369582772254943,0.0,both,1981.0,raineti01,2B,-64.08569041154293,0.5437868304750711,1346.1427775652398,49461.48889310044,26373.33288448748,51864.42762340598,43323.74801773678,505.2950697134416,1.3891922956401814,13890.872489314868,14092.63313419489,443.15428327198,1.2183505302169477,10380.573690135721,-208.42771069269696,-237.6542404759792
3,1984,Alvin Davis,SEA,152,678,27,80,116,97,78,5,4,0.283950617,1.243589743,0.388589330040076,-1.5490388870239258,30.944817121438675,139.78994287790115,173.28346877321582,86.36273077670427,119.79388635859362,125.03193630285732,159.081966142284,5.231011867523193,3.3617260456085205,1.5842896706286045,5.328770201132789,113096,1980s,9,0.5555555555555556,0.035057698691663,AL,AL,4,2,1,1,2,1,1,1,2,1,4,1,2,1,1,2,1.6875,1,1B,26.1875,2,davisal01,Rookie of the Year,1984.0,AL,134.0,140.0,25.0,0.0,0.9571428571428572,1,0.034414551760021,1.0,both,1984.0,davisal01,1B,-47.93472507295229,0.4832457050770803,3612.906196368031,94777.58127121699,58553.93146660549,117486.19182824032,81220.25495112648,744.9084820258145,2.0707032423957115,14978.061568659406,19057.046973750406,731.2428501546902,2.0327153970325247,14965.233561714678,-250.747115723075,-255.43313456824092
4,1992,Kenny Lofton,CLE,148,651,5,96,42,68,54,66,12,0.284722222,1.259259259,0.3343566438611249,20.154200077056885,14.16110432903744,107.82827588484687,117.80303189155684,59.10325147094822,110.15988304646032,94.6932262887726,63.540486749442,1.8612258434295657,0.9435319900512696,0.7707078299200476,5.782923945847476,117863,1990s,78,0.8461538461538461,0.0390738104449153,AL,AL,1,4,2,1,1,5,6,1,1,3,1,2,1,1,2,1,2.0625,1,CF,63.375,38,loftoke01,Rookie of the Year,1992.0,AL,85.0,140.0,7.0,0.0,0.6071428571428571,1,0.012575850293443,0.0,both,1992.0,loftoke01,CF,285.40572995949697,0.42104169959028703,3764.683488746707,70196.20760103532,38476.21670758729,76689.7737614035,71714.08386324567,623.562718653929,1.9335590422376958,10431.394733263192,6999.6125890336925,200.69277372933,0.6223132264767011,6962.542217926817,531.2045204634956,1650.4796300648534
5,1998,Todd Helton,COL,152,595,25,78,97,53,54,3,3,0.315094339,0.981481481,0.3910230005536298,0.7146787643432617,9.939152193153312,114.15825102449335,98.90183431228698,55.06780707925978,112.07440697229048,124.9587161136345,138.40687578995482,2.1942062377929688,2.050628900527954,0.0637436307292902,2.894845009823127,115732,1990s,6,0.5,0.0190450329593626,NL,AL,2,2,3,1,2,1,1,1,2,1,5,2,3,2,2,4,2.125,1,1B,66.3125,37,heltoto01,Rookie of the Year,1998.0,NL,119.0,160.0,15.0,0.0,0.74375,1,0.0144355673539011,0.0,both,1998.0,heltoto01,1B,7.103301008022429,0.38378183368844043,1722.4327808447606,67924.15935957355,32765.34521215957,58846.591415810755,66684.27214851283,330.47044330839043,1.131950981878741,14004.674004454384,15511.868525046655,250.48674649347888,0.8579851069352981,5446.307131693935,15.586107380723897,20.562955476345316
6,1976,Jason Thompson,DET,123,486,17,45,54,68,72,2,4,0.218446601,0.944444444,0.3267038449613934,-4.128462791442871,0.1362576725930475,102.63130011285068,168.17527587796056,119.39398234515642,102.36551400232187,104.2470458369978,150.46270885265,-0.923039972782135,0.2312555015087127,-1.0645061162217726,1.1580391325399324,123288,1970s,6,0.3333333333333333,0.0094149522970726,AL,AL,3,2,1,2,2,1,1,3,2,2,3,2,4,2,2,4,2.25,2,1B,109.6875,117,thompja01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0075043900226189,0.0,left_only,1976.0,thompja01,1B,-0.5625347313490017,0.3085536312072254,562.8070184144071,49878.81185484543,58025.47541974602,81733.18407668883,49749.639805128434,118.85106175413107,0.37833583721655256,10671.302430327889,15402.192529883223,-94.73279246276083,-0.3015607081609834,20079.115919065032,0.5192420431133882,-0.6514372323149819
7,2001,Albert Pujols,STL,161,676,37,112,130,69,93,1,3,0.328813559,0.741935483,0.422913487983926,0.917123317718506,50.65110305403749,158.63438629635357,113.98294022010312,80.20923308219511,118.62077711287408,138.71859416507553,164.14503492878504,4.031454086303711,5.713623046875,-1.5193207777753075,7.21643980680966,405395,2000s,4,0.25,0.0448226074957121,NL,AL,6,1,1,2,1,1,1,1,1,1,5,1,3,1,1,9,2.25,1,1B,45.4375,12,pujolal01,Rookie of the Year,2001.0,NL,160.0,160.0,32.0,1.0,1.0,1,0.0250400874925696,1.0,both,2001.0,pujolal01,1B,46.45330767902082,0.3137745229745688,4878.31330940333,107236.84513633502,54221.441563563894,77052.4675887897,80187.64532830288,1144.7754999978267,3.0519297295239225,16454.90743986666,19471.01160247234,639.527244862716,1.7049563092857538,9142.484219508162,187.27437706491202,335.2274986928627
10,1975,Fred Lynn,BOS,145,605,21,103,105,62,90,10,5,0.331439393,0.688888888,0.4269242605450603,6.285775065422058,41.36981377560992,160.9280792130089,113.32015172884309,115.74815034560628,122.20476245922912,149.39111388710566,193.93470467323004,3.5581300258636475,3.5462279319763184,-0.0736597906506775,7.10978090968909,118040,1970s,15,0.6666666666666666,0.0490329717909592,AL,AL,7,1,2,5,1,1,1,1,1,1,2,1,4,1,1,8,2.375,1,CF,38.4375,9,lynnfr01,Rookie of the Year,1975.0,AL,23.0,24.0,23.0,0.0,0.9583333333333334,1,0.0245388277645768,1.0,both,1975.0,lynnfr01,CF,260.04134389188283,0.2941033791071089,4301.4174503619,97361.48792387039,70027.6309590918,68558.69179595007,73933.88128783362,1144.1633854215845,3.0353379575064006,18256.305586093393,23699.744517192827,572.6030306523705,1.519052030215014,13116.597959497045,925.2609136676427,1848.8369825324041
11,1989,Dwight Smith,CHC,109,381,9,52,52,31,51,9,4,0.32361516,0.607843137,0.3919294283624037,-8.93004035949707,20.126628712421375,148.15518916814307,92.5523259395154,93.4053379338462,118.89985356732346,130.29262563670483,135.9638696643015,1.7075061798095703,2.460223913192749,-0.7126910272349596,2.5193430965480252,122416,1980s,13,0.6923076923076923,0.0231132394178717,NL,AL,3,1,3,3,1,1,1,1,1,1,6,1,7,2,1,7,2.5,1,LF,74.6875,55,smithdw01,Rookie of the Year,1989.0,NL,68.0,120.0,2.0,0.0,0.5666666666666667,1,0.0156651943101795,0.0,both,1989.0,smithdw01,LF,-179.73160670253543,0.23823161321842024,959.8697197847977,56447.12707306251,35587.433752795405,35262.43618295537,45300.84420915024,373.253753048528,0.9874046996788355,15491.774109106298,16166.084193532102,252.9759010754602,0.6692219209780366,8644.881280943915,-306.89282915168246,-452.80558257751744
12,1981,Hubie Brooks,NYM,98,389,4,34,38,23,65,9,5,0.307262569,0.353846153,0.3414355187527256,2.5221762657165527,6.785170271393486,116.04339823801702,68.14520631604331,142.15661590692753,105.36848812872756,109.18631461877176,90.94660592317176,0.6163357496261597,0.974898397922516,-0.4089511097784253,2.3878413180980926,111511,1980s,14,0.6428571428571429,0.0243657277356948,NL,AL,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2.5,2,3B,80.5,80,brookhu01,Rookie of the Year,1981.0,NL,8.0,120.0,0.0,0.0,0.0666666666666666,1,0.0062891403023077,0.0,both,1981.0,brookhu01,3B,17.11339541735419,0.1208156448082113,928.870272740158,45140.88191458862,55298.92358779481,26508.48525694085,40988.34188207502,277.09322100524844,0.8152938391440143,11504.796895727564,9582.906366563788,71.5216948421952,0.21043891639945783,9687.291920168102,10.547597393203882,40.86407267050889
15,1998,Ben Grieve,OAK,155,678,18,94,89,85,123,2,2,0.288164665,0.69105691,0.3733665876918369,-27.911881923675537,20.58611306193744,123.98444746196434,142.6602954389127,111.26522925466178,113.54805148611116,105.9076229983018,105.718534454074,3.3811373710632324,2.303049087524414,0.906108206241696,1.5297060636462674,115132,1990s,4,0.5,0.009869071378363,AL,AL,5,1,1,2,1,2,3,4,4,2,11,1,1,1,1,1,2.5625,2,RF,83.3125,62,grievbe01,Rookie of the Year,1998.0,AL,130.0,140.0,23.0,0.0,0.9285714285714286,1,0.0218137894907305,1.0,both,1998.0,grievbe01,RF,-574.5971570522324,0.25801756038756485,1037.1407111521694,84061.45537921182,75437.82543466068,96723.6803075828,76985.57890758337,189.6597610803989,0.5711411331551187,12025.604228982824,12004.133593227412,419.20844874427354,1.2624037227512273,15873.1304775484,-1942.7919210159926,-878.9647552967066
16,1974,Mike Hargrove,TEX,131,477,4,57,66,49,42,0,0,0.322891566,1.166666666,0.3746820789918716,-6.372655868530273,20.351393374635357,139.124013903221,123.7292314904274,68.34443381307372,122.46954965541946,114.16077761054255,89.4520036745687,3.2446722984313965,2.137129306793213,1.075550649151818,3.132167010367471,115474,1970s,0,0.0,0.0239096718348661,AL,AL,6,1,2,2,1,2,2,3,2,1,9,1,6,1,1,1,2.5625,1,1B,54.5,22,hargrmi01,Rookie of the Year,1974.0,AL,16.0,24.0,16.0,0.0,0.6666666666666666,1,0.0247684908277205,1.0,both,1974.0,hargrmi01,1B,-129.69242642163815,0.4371290919073955,1494.0436639452835,66362.15463183641,32600.294928836163,59018.84342093387,58417.97518563508,435.75964669757417,1.173566847194239,13981.219022275638,10955.146605799355,451.41183395836566,1.21572056242361,8456.204272339992,-420.8094233266414,-406.2183395323655
18,2012,Mike Trout,LAA,139,639,30,129,83,67,139,49,5,0.325581395,0.482014388,0.4088874952999625,10.151297613978386,64.36919597135484,167.0438143595375,130.5839654525817,113.2681732710173,124.51258349075778,136.76947608716435,152.4228433459934,5.413179874420166,6.241872310638428,-0.3210354744607144,10.064203998100918,545361,2010s,54,0.9074074074074074,0.0724043453100785,AL,AL,13,1,1,4,1,1,2,1,1,1,2,1,1,1,1,10,2.625,1,CF,38.0625,7,troutmi01,Rookie of the Year,2012.0,AL,140.0,140.0,28.0,1.0,1.0,1,0.0389437401037422,1.0,both,2012.0,troutmi01,CF,653.4308654777216,0.1970896558078643,6431.026354786487,106740.99737574445,72378.36272018006,83443.15392419971,79563.54085059422,1681.1630243352847,4.115127164971353,17029.52081029025,18978.5620080167,904.2382140374267,2.213381560459827,14791.007225299563,3537.1388103289532,6576.261528823428
19,1997,Nomar Garciaparra,BOS,153,734,30,122,98,35,92,22,9,0.305555555,0.380434782,0.373904812335968,18.29833221435547,20.913540132610525,121.71544038191988,52.69445162099733,75.87404083161086,100.22588709096362,124.41592547246212,144.4932136946234,2.559983968734741,1.971943497657776,0.4590715452984879,6.386972676005286,114596,1990s,31,0.7096774193548387,0.0417449194510149,AL,AL,3,1,9,8,5,1,1,1,1,1,3,1,1,2,2,3,2.6875,1,SS,57.9375,27,garcino01,Rookie of the Year,1997.0,AL,140.0,140.0,28.0,1.0,1.0,1,0.0167319213642793,1.0,both,1997.0,garcino01,SS,382.6829051247631,0.1422463957697849,4688.0379441878795,89339.13324032919,55691.54597040237,38677.72748981204,73565.8011247673,777.3931919672726,2.3881198198167115,12469.696498720734,14481.960521167803,311.589576125204,0.95719032541285,3998.140973890894,979.6621022282316,2444.185258606185
20,1985,Chris Brown,SFG,131,482,16,50,61,38,78,2,3,0.270833333,0.487179487,0.3493838101562964,0.6998147964477539,12.623713313758277,124.78007181930944,87.90074050537908,121.5174392782682,105.25610673850528,114.0943219235929,134.2901004049993,2.3733584880828857,1.5722367763519287,0.5232559801100298,3.0308264938572367,111559,1980s,5,0.4,0.0231360801057804,NL,AL,7,2,4,5,1,2,2,1,1,2,6,1,5,1,2,2,2.75,1,3B,77.8125,51,brownch02,Rookie of the Year,1985.0,NL,7.0,120.0,0.0,0.0,0.0583333333333333,1,0.0181172403670449,0.0,both,1985.0,brownch02,3B,8.834261363082549,0.17021262539804988,1460.858370039188,60143.99461690715,58571.40573212527,42368.156923592716,50733.443447959544,378.18674757537184,1.0589217083464901,12009.124126647077,14134.853142153197,296.1478425959502,0.8292130314331856,10681.472896877212,20.966869192014652,26.775113392889935
21,1974,Greg Gross,HOU,156,676,0,78,36,76,39,12,20,0.31409168,1.948717948,0.3580756147882338,5.80843448638916,13.789922084666484,124.50243415731136,118.9314884190468,47.655941420825584,117.49013318018666,99.40288717125932,53.72574876399744,2.6159918308258057,1.7127385139465332,0.9222611306300904,4.301722516156334,115188,1970s,32,0.375,0.0275751443343354,NL,AL,1,2,4,1,2,5,10,1,1,3,6,2,1,2,2,2,2.8125,2,RF,50.375,18,grossgr01,Rookie of the Year,1974.0,NL,7.0,24.0,7.0,0.0,0.2916666666666667,1,0.0167691784027295,0.0,both,1974.0,grossgr01,RF,80.09785900119631,0.6977883772789655,2907.964420921682,84163.64549034247,32215.416400478094,80397.68617127564,79423.33002980618,535.5749243307778,1.5403419346210674,11678.858452246326,6312.245377487307,325.69735067345425,0.9367228831039477,5667.792045189691,209.53534481376678,344.5587635613615
22,1976,Bob Randall,MIN,153,531,1,55,34,28,38,3,5,0.267368421,0.736842105,0.3024787953855463,1.4997804164886477,-6.642498624231759,90.62143823619292,63.38011319466684,57.67336399802227,99.01996559777872,91.00395410934289,58.226021708440115,-1.5652520656585691,-1.8139138221740725,0.0478946929585584,1.2378000311562327,120925,1970s,8,0.375,0.0080901962820668,AL,AL,1,3,4,3,3,3,4,2,3,3,2,3,3,3,3,2,2.8125,3,2B,128.9375,147,randabo01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0102304056578991,0.0,left_only,1976.0,randabo01,2B,-9.962289353175578,0.22287911230975022,657.2718165439595,48119.98370341844,30624.556282949823,33654.840106368094,52579.6017324205,112.17121907218221,0.37440826235232894,9011.208405168965,5765.538666465257,-141.8453933921514,-0.473455559295142,3655.344338511875,15.593493988746443,-12.331322071748136
23,2001,Ichiro Suzuki,SEA,157,738,8,127,69,30,53,56,14,0.349710982,0.566037735,0.3602718572590233,7.810340404510498,27.80241716535663,124.40912701145304,49.00638335923682,43.58116270049061,114.16620531066806,106.43531571043216,66.13070161988041,3.8064658641815186,2.9954745769500732,1.0214187686470213,6.01763431442322,400085,2000s,70,0.8,0.0383288809835873,AL,AL,1,2,8,4,2,2,8,2,2,2,3,2,1,2,2,2,2.8125,2,RF,63.25,36,suzukic01,Rookie of the Year,2001.0,AL,138.0,140.0,27.0,0.0,0.9857142857142858,1,0.0242450055043408,1.0,both,2001.0,suzukic01,RF,217.1463421296411,0.20392746606714085,4441.014124044336,91813.93573445235,32162.89807296207,36166.71091911678,84254.65951927303,748.6486317315565,2.167984290762883,12151.316105702972,7549.891258473796,473.5590951617189,1.3713625264817488,2135.7551665415153,826.56013884836,1306.7072796508128
24,2002,Eric Hinske,TOR,151,650,24,99,84,77,138,13,1,0.279151943,0.557971014,0.3649755520414012,4.588622331619263,21.71664680479604,120.58665309639424,140.6943440184622,130.6688296211374,109.95104881449753,113.0346572510312,125.17802124932538,3.830958127975464,2.2155070304870605,1.77731155308043,4.83852790397918,400134,2000s,14,0.9285714285714286,0.03204323115218,AL,AL,8,3,3,5,3,3,2,2,2,3,6,2,1,1,1,1,2.875,1,3B,61.8125,30,hinsker01,Rookie of the Year,2002.0,AL,122.0,140.0,19.0,0.0,0.8714285714285714,1,0.0253705836289765,1.0,both,2002.0,hinsker01,3B,99.64949049637521,0.2036457788577504,3145.0431375864673,78381.32451265625,84934.73925373932,91451.32361200043,71468.18172942339,583.461885854361,1.7659443928225251,12428.279117138129,13763.454724886784,461.96241880498917,1.398206057605338,18384.36526720613,381.75302556570233,482.1568403840196
25,1992,Reggie Sanders,CIN,116,438,12,62,36,48,98,16,7,0.27012987,0.489795918,0.3678886592388153,-4.388089954853058,15.969315523011684,132.47307531558178,129.3484759697126,154.9593872410975,109.73366344195132,121.2289156298199,157.19369027902593,0.960475742816925,1.4613590240478516,-0.527979155259993,2.754604722378324,121673,1990s,23,0.6956521739130435,0.0237465924342958,NL,AL,7,1,1,5,2,1,1,3,2,1,5,1,6,4,1,6,2.9375,2,CF,87.0625,61,sandere02,Rookie of the Year,1992.0,NL,23.0,120.0,0.0,0.0,0.1916666666666666,1,0.0082799633001459,0.0,both,1992.0,sandere02,CF,-70.07479303240657,0.18019036357366472,1206.5168684017058,58023.20698822482,67872.2116116007,56654.63247473412,48063.34458757468,364.91095885228094,1.0133878380486707,13302.893027155369,17249.439504276965,127.23717541697587,0.35334813325632375,20043.76057683649,-67.30513889054299,-193.02835580675082
26,1991,Jeff Bagwell,HOU,156,650,15,79,82,75,116,7,4,0.294223826,0.646551724,0.3704469939751654,-8.133538246154785,27.895733421763374,138.12808633799486,130.88341411672567,121.73689016569224,118.88842642643166,113.17412846887672,111.12203917132652,2.614264488220215,3.055657148361206,-0.4952913517970168,4.268067295509282,110432,1990s,11,0.6363636363636364,0.0273594057404441,NL,AL,8,1,3,4,1,1,3,1,1,1,9,1,1,2,1,9,2.9375,1,1B,68.25,40,bagweje01,Rookie of the Year,1991.0,NL,118.0,120.0,23.0,0.0,0.9833333333333332,1,0.0167581056937193,1.0,both,1991.0,bagweje01,1B,-226.8910146904507,0.23951314260526083,2774.2437420810334,89783.25611969666,79128.97860769996,85074.2191758717,77277.47717718058,589.5399678904784,1.5810926997051276,13455.094045847574,13211.12437837531,361.1033509392358,0.9684464211172028,15933.339808838648,-593.1531224014964,-968.3861194452287
27,1996,F.P. Santangelo,WSN,152,467,7,54,56,49,61,5,2,0.277353689,0.803278688,0.3450021969589368,16.957820795476437,5.124156919888158,108.72516790591446,117.9109847387534,79.58509898682725,108.81898085022092,96.4504078249118,85.2423918936681,0.658208429813385,0.803959310054779,-0.1864283367766585,3.54599400989412,121692,1990s,7,0.7142857142857143,0.0233289079598297,NL,AL,3,2,1,2,2,5,4,1,2,3,2,4,6,3,2,5,2.9375,1,CF,93.8125,80,santaf.01,Rookie of the Year,1996.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0043303186171933,0.0,left_only,,,,86.8945347753639,0.27713291213029234,1655.9792026205541,50774.653412062056,37166.241226848324,55064.42987299784,50818.46405705317,385.5387941191051,1.2233757238167013,10495.635082095076,9275.990211104096,71.5638220485486,0.22708335434250998,9383.957392067967,57.19471529385685,308.1274998059767
28,1979,Jeffrey Leonard,HOU,134,467,0,47,47,46,68,23,10,0.289537712,0.676470588,0.3203388676862487,0.2030181884765625,2.676963110410017,103.56014344694655,112.80098213505804,119.12641570218814,107.61864557466868,87.79448757885055,46.691872756329765,-0.0408499017357826,0.7139622569084167,-0.7507096735348963,1.8886278740827311,117691,1970s,33,0.696969696969697,0.014094237866289,NL,AL,5,2,1,3,1,5,5,2,2,3,4,1,2,3,1,7,2.9375,1,RF,128.0,138,leonaje01,Rookie of the Year,1979.0,NL,3.0,24.0,3.0,0.0,0.125,1,-0.0003048500129536,0.0,both,1979.0,leonaje01,RF,0.5434722012940258,0.21669982218297087,881.9892171966354,48362.58698972404,55632.036132921865,52678.0586570721,50257.90748337027,195.58657355790936,0.6050009146643491,9448.323842157968,5024.916105380981,-4.2304216835513175,-0.013085811267135124,13437.576689436022,-0.022200786018990417,1.0264167481529982
29,1979,Pat Putnam,TEX,139,465,18,57,64,23,50,1,6,0.276995305,0.46,0.3373784463484208,-4.747138977050781,1.1363318369822322,105.70947870528964,57.55462975221724,91.7050978997784,95.38206029377736,112.08176693392528,130.26210469628992,0.0916620716452598,-0.0112446285784244,0.1027811794049552,1.1901691672124968,120812,1970s,7,0.1428571428571428,0.0085623681094424,AL,AL,4,1,5,4,6,1,1,4,4,1,5,2,3,2,2,3,3.0,2,1B,124.5,132,putnapa01,Rookie of the Year,1979.0,AL,3.0,28.0,3.0,0.0,0.1071428571428571,1,0.0006594393643543,0.0,both,1979.0,putnapa01,1B,-5.394325154202069,0.15519408532027357,553.428662753811,49154.90759795968,42642.87052339695,26762.902834781016,44352.65803660647,125.81216223714173,0.401537424525946,10690.589851524763,12424.667924135863,9.689549810667325,0.030924807320755386,5278.052956012581,-0.4944550187622972,-6.4201594764501
30,1978,Lou Whitaker,DET,139,567,3,71,58,61,65,7,7,0.285123966,0.938461538,0.3315731256877472,12.86304497718811,0.8425665998721819,103.21719347469434,126.7811334556175,96.96953437699156,110.6468620845592,92.91953296527142,58.52681359902704,0.5610284805297852,-0.4113659262657165,0.968995690988215,3.3538275918345306,124154,1970s,14,0.5,0.0241282560563635,AL,AL,7,3,1,3,1,5,6,1,2,3,2,4,2,2,4,2,3.0,1,2B,91.125,78,whitalo01,Rookie of the Year,1978.0,AL,21.0,28.0,21.0,0.0,0.75,1,0.0040361761189193,1.0,both,1978.0,whitalo01,2B,10.837972070432333,0.31116862549239055,1901.6202445701788,58524.148700151694,54981.72599175422,71884.90266933513,62736.770801945066,346.1726714271529,1.1120390976423853,10281.25474897004,6475.808272540248,57.907785219656624,0.1860219668891083,12293.907478978457,6.080411002698901,36.34868976934797
31,2002,Austin Kearns,CIN,107,435,13,66,56,54,81,6,3,0.314516129,0.666666666,0.3939077092541588,12.761627197265623,22.618464548428612,138.81516075769014,133.03089028829848,113.95200752576906,119.75677631635112,118.20750494204158,118.01550170887512,0.3205080926418304,1.5467838048934937,-1.2421539551612073,4.956754444989436,400290,2000s,9,0.6666666666666666,0.0463248078970975,NL,AL,3,1,4,3,2,1,4,1,1,1,1,1,6,5,3,11,3.0,2,RF,74.0625,48,kearnau01,Rookie of the Year,2002.0,NL,40.0,160.0,2.0,0.0,0.25,1,0.0029954027349703,0.0,both,2002.0,kearnau01,RF,288.6484123416149,0.26260513924016743,2156.1881835704044,60384.59492959521,49569.12327370954,57868.43727540984,52094.19769761274,688.0726651176036,1.9525037887611578,14156.149728258044,14133.15604001171,44.49138240421633,0.12625060856996312,15159.137011291947,92.51415208370356,1430.7593009134432
32,1997,Scott Rolen,PHI,156,657,21,93,92,76,138,16,6,0.283422459,0.550724637,0.3710045072422641,4.375513672828674,17.82031622758732,120.59124279656272,126.50446352829276,127.62735517847794,110.26479587055668,110.4357579275995,120.38902883228168,3.635279655456543,3.1555287837982178,0.4451621913717809,4.23533809551063,121409,1990s,22,0.7272727272727273,0.0271496031763501,NL,AL,9,2,3,2,1,3,3,3,3,2,6,2,3,1,1,4,3.0,2,3B,63.8125,35,rolensc01,Rookie of the Year,1997.0,NL,140.0,140.0,28.0,1.0,1.0,1,0.023303074714465,1.0,both,1997.0,rolensc01,3B,77.97303730793902,0.20432132257635974,2782.617128750484,79228.44651734171,83851.17235226001,83113.43253808834,72443.97088695574,510.74468460125394,1.5713295231293105,12177.17630469697,13274.671689246103,438.3828915645649,1.3487051372604824,16145.43009838823,283.45379619970475,330.24217533298577
33,1989,Ken Griffey Jr.,SEA,127,506,16,61,61,44,83,16,7,0.263736263,0.530120481,0.332716891223516,3.0,3.591625965943047,105.69858480952412,103.00828651243914,115.0062447889475,100.91997977070358,109.38861923468208,126.85655645257248,1.216267704963684,1.0277085304260254,0.2184889968055552,2.4669853740517205,115135,1980s,23,0.6956521739130435,0.0194250816854466,AL,AL,5,3,2,5,4,2,2,2,2,2,2,4,4,3,2,5,3.0625,2,CF,91.9375,78,griffke02,Rookie of the Year,1989.0,AL,21.0,140.0,1.0,0.0,0.15,1,0.0095769110627061,0.0,both,1989.0,griffke02,CF,10.77487789782914,0.17638003841223499,1248.2945992701705,53483.4839136192,58193.15986320743,52122.19297529421,51065.50976397601,260.75686278306137,0.8208077043483712,11039.497240309312,12802.36111097473,128.55777516418922,0.40467280969107755,11846.596213939614,13.105136012056574,26.58146618113764
34,1980,Joe Charboneau,CLE,131,512,23,76,87,49,70,2,4,0.289183222,0.7,0.376502240707263,-12.003769874572754,18.03442566607505,132.0277008861432,115.4997985843356,114.98387507003176,108.0479080243028,122.23540908008086,152.7978693645112,1.6443578004837036,1.5175518989562988,0.1403402221615639,2.439023278048472,112210,1980s,6,0.3333333333333333,0.0186184983057135,AL,AL,7,2,2,2,3,1,1,2,3,2,9,1,4,1,1,9,3.125,1,LF,81.9375,60,charbjo01,Rookie of the Year,1980.0,AL,102.0,140.0,15.0,0.0,0.7285714285714285,1,0.012552349622013,1.0,both,1980.0,charbjo01,LF,-216.48109551565338,0.2635515684950841,1248.7799183608176,67598.18285370532,58871.74403585626,59135.896875179824,55320.52890844303,322.01863580852415,0.9182977293224235,13207.280237597604,16509.49013540614,217.10077983205878,0.619104396406581,13280.614411035074,-355.97237806842236,-528.0024312201133
35,1991,Orlando Merced,PIT,120,478,10,83,50,64,81,8,4,0.274939172,0.790123456,0.3511961593940444,-4.034519672393799,13.142467197064974,124.2454444706261,151.87587251272387,115.5938401391133,114.71287841901578,103.38167950540004,96.69660562922026,2.966357707977295,2.073859691619873,0.943918481247278,2.559426065394827,118958,1990s,12,0.6666666666666666,0.0213285505449568,NL,AL,6,2,1,3,2,4,5,3,3,2,7,2,5,1,2,3,3.1875,2,1B,73.5,47,merceor01,Rookie of the Year,1991.0,NL,53.0,120.0,1.0,0.0,0.4416666666666666,1,0.0247196475664774,0.0,both,1991.0,merceor01,1B,-53.02354245034883,0.27748832319434924,1223.4056592587274,59389.32245695927,55253.85558649615,72596.66706108201,54832.755884289545,317.997029084686,0.8988606044196736,11859.21003185661,11092.34596507626,368.5564318865067,1.0417734344305463,17555.915328224153,-157.28679385185356,-135.7098366269919
