Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G
1976,Butch Wynegar,MIN,149,622,10,58,69,79,63,0,0,0.260299625,1.253968253,0.3355305996737191,4.479766368865967,8.559113580758602,113.35303866650068,152.66033545801417,81.62747705067805,111.15589303856297,100.66760760401355,98.22774352702396,1.1592659950256348,0.4350340068340301,0.6665548338990162,3.5669527676785124,124632,1970s,0,0.0,0.023939280319990017,AL,AL,0,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1.3125,1,batter,63.5,35,wynegbu01,Rookie of the Year,1976.0,AL,2.0,24.0,2.0,0.0,0.08333333333333333,1,0.007780308691447213
1981,Tim Raines,WSN,88,363,5,61,37,45,31,71,11,0.303514376,1.451612903,0.3746087054966548,-2.612823486328125,24.527370772223257,136.2575451600563,142.87721108376303,72.65380959913907,119.3491680929388,116.38851540630648,118.07902274794884,3.252328395843506,2.7474098205566406,0.2217451494258724,3.7083823073422586,120891,1980s,82,0.8658536585365854,0.04214070803798021,NL,AL,0,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1.375,1,batter,35.25,10,raineti01,Rookie of the Year,1981.0,NL,85.0,120.0,6.0,0.0,0.7083333333333334,1,0.036958277225494385
1984,Alvin Davis,SEA,152,678,27,80,116,97,78,5,4,0.283950617,1.243589743,0.388589330040076,-1.5490388870239258,30.944817121438675,139.78994287790115,173.28346877321582,86.36273077670427,119.79388635859362,125.03193630285732,159.081966142284,5.231011867523193,3.3617260456085205,1.5842896706286045,5.328770201132789,113096,1980s,9,0.5555555555555556,0.035057698691663086,AL,AL,1,4,2,1,1,2,1,1,1,2,1,4,1,2,1,1,2,1.6875,1,batter,26.1875,2,davisal01,Rookie of the Year,1984.0,AL,134.0,140.0,25.0,0.0,0.9571428571428572,1,0.034414551760021006
1992,Kenny Lofton,CLE,148,651,5,96,42,68,54,66,12,0.284722222,1.259259259,0.3343566438611249,20.154200077056885,14.16110432903744,107.82827588484687,117.80303189155684,59.10325147094822,110.15988304646032,94.6932262887726,63.540486749442,1.8612258434295657,0.9435319900512696,0.7707078299200476,5.782923945847476,117863,1990s,78,0.8461538461538461,0.03907381044491538,AL,AL,0,1,4,2,1,1,5,6,1,1,3,1,2,1,1,2,1,2.0625,1,batter,63.375,38,loftoke01,Rookie of the Year,1992.0,AL,85.0,140.0,7.0,0.0,0.6071428571428571,1,0.01257585029344301
1998,Todd Helton,COL,152,595,25,78,97,53,54,3,3,0.315094339,0.981481481,0.3910230005536298,0.7146787643432617,9.939152193153312,114.15825102449335,98.90183431228698,55.06780707925978,112.07440697229048,124.9587161136345,138.40687578995482,2.1942062377929688,2.050628900527954,0.0637436307292902,2.894845009823127,115732,1990s,6,0.5,0.019045032959362676,NL,AL,0,2,2,3,1,2,1,1,1,2,1,5,2,3,2,2,4,2.125,1,batter,66.3125,37,heltoto01,Rookie of the Year,1998.0,NL,119.0,160.0,15.0,0.0,0.74375,1,0.01443556735390111
1976,Jason Thompson,DET,123,486,17,45,54,68,72,2,4,0.218446601,0.944444444,0.3267038449613934,-4.128462791442871,0.1362576725930475,102.63130011285068,168.17527587796056,119.39398234515642,102.36551400232187,104.2470458369978,150.46270885265,-0.923039972782135,0.2312555015087127,-1.0645061162217726,1.1580391325399324,123288,1970s,6,0.3333333333333333,0.00941495229707262,AL,AL,0,3,2,1,2,2,1,1,3,2,2,3,2,4,2,2,4,2.25,2,batter,109.6875,117,thompja01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.007504390022618984
2001,Albert Pujols,STL,161,676,37,112,130,69,93,1,3,0.328813559,0.741935483,0.422913487983926,0.917123317718506,50.65110305403749,158.63438629635357,113.98294022010312,80.20923308219511,118.62077711287408,138.71859416507553,164.14503492878504,4.031454086303711,5.713623046875,-1.5193207777753075,7.21643980680966,405395,2000s,4,0.25,0.04482260749571217,NL,AL,0,6,1,1,2,1,1,1,1,1,1,5,1,3,1,1,9,2.25,1,batter,45.4375,12,pujolal01,Rookie of the Year,2001.0,NL,160.0,160.0,32.0,1.0,1.0,1,0.025040087492569633
1975,Fred Lynn,BOS,145,605,21,103,105,62,90,10,5,0.331439393,0.688888888,0.4269242605450603,6.285775065422058,41.36981377560992,160.9280792130089,113.32015172884309,115.74815034560628,122.20476245922912,149.39111388710566,193.93470467323004,3.5581300258636475,3.5462279319763184,-0.0736597906506775,7.10978090968909,118040,1970s,15,0.6666666666666666,0.049032971790959244,AL,AL,1,7,1,2,5,1,1,1,1,1,1,2,1,4,1,1,8,2.375,1,batter,38.4375,9,lynnfr01,Rookie of the Year,1975.0,AL,23.0,24.0,23.0,0.0,0.9583333333333334,1,0.02453882776457688
1989,Dwight Smith,CHC,109,381,9,52,52,31,51,9,4,0.32361516,0.607843137,0.3919294283624037,-8.93004035949707,20.126628712421375,148.15518916814307,92.5523259395154,93.4053379338462,118.89985356732346,130.29262563670483,135.9638696643015,1.7075061798095703,2.460223913192749,-0.7126910272349596,2.5193430965480252,122416,1980s,13,0.6923076923076923,0.02311323941787179,NL,AL,0,3,1,3,3,1,1,1,1,1,1,6,1,7,2,1,7,2.5,1,batter,74.6875,55,smithdw01,Rookie of the Year,1989.0,NL,68.0,120.0,2.0,0.0,0.5666666666666667,1,0.015665194310179546
1981,Hubie Brooks,NYM,98,389,4,34,38,23,65,9,5,0.307262569,0.353846153,0.3414355187527256,2.5221762657165527,6.785170271393486,116.04339823801702,68.14520631604331,142.15661590692753,105.36848812872756,109.18631461877176,90.94660592317176,0.6163357496261597,0.974898397922516,-0.4089511097784253,2.3878413180980926,111511,1980s,14,0.6428571428571429,0.02436572773569482,NL,AL,0,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2.5,2,batter,80.5,80,brookhu01,Rookie of the Year,1981.0,NL,8.0,120.0,0.0,0.0,0.06666666666666667,1,0.006289140302307752
1998,Ben Grieve,OAK,155,678,18,94,89,85,123,2,2,0.288164665,0.69105691,0.3733665876918369,-27.911881923675537,20.58611306193744,123.98444746196434,142.6602954389127,111.26522925466178,113.54805148611116,105.9076229983018,105.718534454074,3.3811373710632324,2.303049087524414,0.906108206241696,1.5297060636462674,115132,1990s,4,0.5,0.009869071378363015,AL,AL,1,5,1,1,2,1,2,3,4,4,2,11,1,1,1,1,1,2.5625,2,batter,83.3125,62,grievbe01,Rookie of the Year,1998.0,AL,130.0,140.0,23.0,0.0,0.9285714285714286,1,0.021813789490730533
1974,Mike Hargrove,TEX,131,477,4,57,66,49,42,0,0,0.322891566,1.166666666,0.3746820789918716,-6.372655868530273,20.351393374635357,139.124013903221,123.7292314904274,68.34443381307372,122.46954965541946,114.16077761054255,89.4520036745687,3.2446722984313965,2.137129306793213,1.075550649151818,3.132167010367471,115474,1970s,0,0.0,0.02390967183486619,AL,AL,1,6,1,2,2,1,2,2,3,2,1,9,1,6,1,1,1,2.5625,1,batter,54.5,22,hargrmi01,Rookie of the Year,1974.0,AL,16.0,24.0,16.0,0.0,0.6666666666666666,1,0.024768490827720584
2012,Mike Trout,LAA,139,639,30,129,83,67,139,49,5,0.325581395,0.482014388,0.4088874952999625,10.151297613978386,64.36919597135484,167.0438143595375,130.5839654525817,113.2681732710173,124.51258349075778,136.76947608716435,152.4228433459934,5.413179874420166,6.241872310638428,-0.3210354744607144,10.064203998100918,545361,2010s,54,0.9074074074074074,0.07240434531007856,AL,AL,1,13,1,1,4,1,1,2,1,1,1,2,1,1,1,1,10,2.625,1,batter,38.0625,7,troutmi01,Rookie of the Year,2012.0,AL,140.0,140.0,28.0,1.0,1.0,1,0.0389437401037422
1997,Nomar Garciaparra,BOS,153,734,30,122,98,35,92,22,9,0.305555555,0.380434782,0.373904812335968,18.29833221435547,20.913540132610525,121.71544038191988,52.69445162099733,75.87404083161086,100.22588709096362,124.41592547246212,144.4932136946234,2.559983968734741,1.971943497657776,0.4590715452984879,6.386972676005286,114596,1990s,31,0.7096774193548387,0.04174491945101494,AL,AL,1,3,1,9,8,5,1,1,1,1,1,3,1,1,2,2,3,2.6875,1,batter,57.9375,27,garcino01,Rookie of the Year,1997.0,AL,140.0,140.0,28.0,1.0,1.0,1,0.016731921364279354
1985,Chris Brown,SFG,131,482,16,50,61,38,78,2,3,0.270833333,0.487179487,0.3493838101562964,0.6998147964477539,12.623713313758277,124.78007181930944,87.90074050537908,121.5174392782682,105.25610673850528,114.0943219235929,134.2901004049993,2.3733584880828857,1.5722367763519287,0.5232559801100298,3.0308264938572367,111559,1980s,5,0.4,0.023136080105780433,NL,AL,0,7,2,4,5,1,2,2,1,1,2,6,1,5,1,2,2,2.75,1,batter,77.8125,51,brownch02,Rookie of the Year,1985.0,NL,7.0,120.0,0.0,0.0,0.058333333333333334,1,0.01811724036704493
1974,Greg Gross,HOU,156,676,0,78,36,76,39,12,20,0.31409168,1.948717948,0.3580756147882338,5.80843448638916,13.789922084666484,124.50243415731136,118.9314884190468,47.655941420825584,117.49013318018666,99.40288717125932,53.72574876399744,2.6159918308258057,1.7127385139465332,0.9222611306300904,4.301722516156334,115188,1970s,32,0.375,0.027575144334335475,AL,AL,0,1,2,4,1,2,5,10,1,1,3,6,2,1,2,2,2,2.8125,2,batter,50.375,18,grossgr01,Rookie of the Year,1974.0,NL,7.0,24.0,7.0,0.0,0.2916666666666667,1,0.016769178402729523
1976,Bob Randall,MIN,153,531,1,55,34,28,38,3,5,0.267368421,0.736842105,0.3024787953855463,1.4997804164886477,-6.642498624231759,90.62143823619292,63.38011319466684,57.67336399802227,99.01996559777872,91.00395410934289,58.226021708440115,-1.5652520656585691,-1.8139138221740725,0.0478946929585584,1.2378000311562327,120925,1970s,8,0.375,0.008090196282066881,AL,AL,0,1,3,4,3,3,3,4,2,3,3,2,3,3,3,3,2,2.8125,3,batter,128.9375,147,randabo01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.010230405657899145
2001,Ichiro Suzuki,SEA,157,738,8,127,69,30,53,56,14,0.349710982,0.566037735,0.3602718572590233,7.810340404510498,27.80241716535663,124.40912701145304,49.00638335923682,43.58116270049061,114.16620531066806,106.43531571043216,66.13070161988041,3.8064658641815186,2.9954745769500732,1.0214187686470213,6.01763431442322,400085,2000s,70,0.8,0.03832888098358739,AL,AL,1,1,2,8,4,2,2,8,2,2,2,3,2,1,2,2,2,2.8125,2,batter,63.25,36,suzukic01,Rookie of the Year,2001.0,AL,138.0,140.0,27.0,0.0,0.9857142857142858,1,0.02424500550434088
2002,Eric Hinske,TOR,151,650,24,99,84,77,138,13,1,0.279151943,0.557971014,0.3649755520414012,4.588622331619263,21.71664680479604,120.58665309639424,140.6943440184622,130.6688296211374,109.95104881449753,113.0346572510312,125.17802124932538,3.830958127975464,2.2155070304870605,1.77731155308043,4.83852790397918,400134,2000s,14,0.9285714285714286,0.03204323115218,AL,AL,1,8,3,3,5,3,3,2,2,2,3,6,2,1,1,1,1,2.875,1,batter,61.8125,30,hinsker01,Rookie of the Year,2002.0,AL,122.0,140.0,19.0,0.0,0.8714285714285714,1,0.02537058362897658
1992,Reggie Sanders,CIN,116,438,12,62,36,48,98,16,7,0.27012987,0.489795918,0.3678886592388153,-4.388089954853058,15.969315523011684,132.47307531558178,129.3484759697126,154.9593872410975,109.73366344195132,121.2289156298199,157.19369027902593,0.960475742816925,1.4613590240478516,-0.527979155259993,2.754604722378324,121673,1990s,23,0.6956521739130435,0.023746592434295895,NL,AL,0,7,1,1,5,2,1,1,3,2,1,5,1,6,4,1,6,2.9375,2,batter,87.0625,61,sandere02,Rookie of the Year,1992.0,NL,23.0,120.0,0.0,0.0,0.19166666666666668,1,0.008279963300145906
1991,Jeff Bagwell,HOU,156,650,15,79,82,75,116,7,4,0.294223826,0.646551724,0.3704469939751654,-8.133538246154785,27.895733421763374,138.12808633799486,130.88341411672567,121.73689016569224,118.88842642643166,113.17412846887672,111.12203917132652,2.614264488220215,3.055657148361206,-0.4952913517970168,4.268067295509282,110432,1990s,11,0.6363636363636364,0.027359405740444116,AL,AL,0,8,1,3,4,1,1,3,1,1,1,9,1,1,2,1,9,2.9375,1,batter,68.25,40,bagweje01,Rookie of the Year,1991.0,NL,118.0,120.0,23.0,0.0,0.9833333333333333,1,0.016758105693719327
1996,F.P. Santangelo,WSN,152,467,7,54,56,49,61,5,2,0.277353689,0.803278688,0.3450021969589368,16.957820795476437,5.124156919888158,108.72516790591446,117.9109847387534,79.58509898682725,108.81898085022092,96.4504078249118,85.2423918936681,0.658208429813385,0.803959310054779,-0.1864283367766585,3.54599400989412,121692,1990s,7,0.7142857142857143,0.023328907959829736,NL,AL,0,3,2,1,2,2,5,4,1,2,3,2,4,6,3,2,5,2.9375,1,batter,93.8125,80,santaf.01,Rookie of the Year,1996.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.004330318617193322
1979,Jeffrey Leonard,HOU,134,467,0,47,47,46,68,23,10,0.289537712,0.676470588,0.3203388676862487,0.2030181884765625,2.676963110410017,103.56014344694655,112.80098213505804,119.12641570218814,107.61864557466868,87.79448757885055,46.691872756329765,-0.0408499017357826,0.7139622569084167,-0.7507096735348963,1.8886278740827311,117691,1970s,33,0.696969696969697,0.014094237866289038,AL,AL,0,5,2,1,3,1,5,5,2,2,3,4,1,2,3,1,7,2.9375,1,batter,128.0,138,leonaje01,Rookie of the Year,1979.0,NL,3.0,24.0,3.0,0.0,0.125,1,-0.0003048500129536015
1979,Pat Putnam,TEX,139,465,18,57,64,23,50,1,6,0.276995305,0.46,0.3373784463484208,-4.747138977050781,1.1363318369822322,105.70947870528964,57.55462975221724,91.7050978997784,95.38206029377736,112.08176693392528,130.26210469628992,0.0916620716452598,-0.0112446285784244,0.1027811794049552,1.1901691672124968,120812,1970s,7,0.14285714285714285,0.008562368109442423,AL,AL,0,4,1,5,4,6,1,1,4,4,1,5,2,3,2,2,3,3.0,2,batter,124.5,132,putnapa01,Rookie of the Year,1979.0,AL,3.0,28.0,3.0,0.0,0.10714285714285714,1,0.0006594393643543871
1978,Lou Whitaker,DET,139,567,3,71,58,61,65,7,7,0.285123966,0.938461538,0.3315731256877472,12.86304497718811,0.8425665998721819,103.21719347469434,126.7811334556175,96.96953437699156,110.6468620845592,92.91953296527142,58.52681359902704,0.5610284805297852,-0.4113659262657165,0.968995690988215,3.3538275918345306,124154,1970s,14,0.5,0.02412825605636353,AL,AL,1,7,3,1,3,1,5,6,1,2,3,2,4,2,2,4,2,3.0,1,batter,91.125,78,whitalo01,Rookie of the Year,1978.0,AL,21.0,28.0,21.0,0.0,0.75,1,0.004036176118919318
2002,Austin Kearns,CIN,107,435,13,66,56,54,81,6,3,0.314516129,0.666666666,0.3939077092541588,12.761627197265623,22.618464548428612,138.81516075769014,133.03089028829848,113.95200752576906,119.75677631635112,118.20750494204158,118.01550170887512,0.3205080926418304,1.5467838048934937,-1.2421539551612073,4.956754444989436,400290,2000s,9,0.6666666666666666,0.04632480789709753,NL,AL,0,3,1,4,3,2,1,4,1,1,1,1,1,6,5,3,11,3.0,2,batter,74.0625,48,kearnau01,Rookie of the Year,2002.0,NL,40.0,160.0,2.0,0.0,0.25,1,0.0029954027349703774
1997,Scott Rolen,PHI,156,657,21,93,92,76,138,16,6,0.283422459,0.550724637,0.3710045072422641,4.375513672828674,17.82031622758732,120.59124279656272,126.50446352829276,127.62735517847794,110.26479587055668,110.4357579275995,120.38902883228168,3.635279655456543,3.1555287837982178,0.4451621913717809,4.23533809551063,121409,1990s,22,0.7272727272727273,0.027149603176350193,NL,AL,0,9,2,3,2,1,3,3,3,3,2,6,2,3,1,1,4,3.0,2,batter,63.8125,35,rolensc01,Rookie of the Year,1997.0,NL,140.0,140.0,28.0,1.0,1.0,1,0.02330307471446502
1989,Ken Griffey Jr.,SEA,127,506,16,61,61,44,83,16,7,0.263736263,0.530120481,0.332716891223516,3.0,3.591625965943047,105.69858480952412,103.00828651243914,115.0062447889475,100.91997977070358,109.38861923468208,126.85655645257248,1.216267704963684,1.0277085304260254,0.2184889968055552,2.4669853740517205,115135,1980s,23,0.6956521739130435,0.019425081685446616,AL,AL,0,5,3,2,5,4,2,2,2,2,2,2,4,4,3,2,5,3.0625,2,batter,91.9375,78,griffke02,Rookie of the Year,1989.0,AL,21.0,140.0,1.0,0.0,0.15,1,0.009576911062706174
1980,Joe Charboneau,CLE,131,512,23,76,87,49,70,2,4,0.289183222,0.7,0.376502240707263,-12.003769874572754,18.03442566607505,132.0277008861432,115.4997985843356,114.98387507003176,108.0479080243028,122.23540908008086,152.7978693645112,1.6443578004837036,1.5175518989562988,0.1403402221615639,2.439023278048472,112210,1980s,6,0.3333333333333333,0.018618498305713528,AL,AL,1,7,2,2,2,3,1,1,2,3,2,9,1,4,1,1,9,3.125,1,batter,81.9375,60,charbjo01,Rookie of the Year,1980.0,AL,102.0,140.0,15.0,0.0,0.7285714285714285,1,0.012552349622013004
1991,Orlando Merced,PIT,120,478,10,83,50,64,81,8,4,0.274939172,0.790123456,0.3511961593940444,-4.034519672393799,13.142467197064974,124.2454444706261,151.87587251272387,115.5938401391133,114.71287841901578,103.38167950540004,96.69660562922026,2.966357707977295,2.073859691619873,0.943918481247278,2.559426065394827,118958,1990s,12,0.6666666666666666,0.021328550544956894,NL,AL,0,6,2,1,3,2,4,5,3,3,2,7,2,5,1,2,3,3.1875,2,batter,73.5,47,merceor01,Rookie of the Year,1991.0,NL,53.0,120.0,1.0,0.0,0.44166666666666665,1,0.024719647566477456
1990,David Justice,ATL,127,504,28,76,78,64,92,11,6,0.282460136,0.695652173,0.3997437756061553,-12.30087184906006,25.902762266899376,144.76144868715645,144.90723460426375,129.9944754496365,112.819880946482,134.85065235040733,190.59711175776425,2.7455482482910156,3.5288517475128174,-0.5397963416285334,3.3090168474925012,116798,1990s,17,0.6470588235294118,0.02605525076765749,NL,AL,0,10,2,3,4,3,2,2,1,1,1,11,1,4,1,1,7,3.375,1,batter,63.25,35,justida01,Rookie of the Year,1990.0,NL,118.0,120.0,23.0,0.0,0.9833333333333333,1,0.021618490144023745
1996,Todd Hollandsworth,LAD,149,526,12,64,59,41,93,21,6,0.290794979,0.440860215,0.3450745715263703,-15.686782360076904,12.527598027494316,116.78173942422478,87.59376249334039,107.7248775687015,102.6249895469423,103.58456004930795,96.19403549503475,2.145808219909668,2.0707764625549316,0.221771669369267,1.178928342703707,116075,1990s,27,0.7777777777777778,0.007912270756400717,NL,AL,0,6,1,2,5,5,3,3,4,5,2,8,1,3,2,1,3,3.375,2,batter,117.375,117,hollato01,Rookie of the Year,1996.0,NL,105.0,140.0,15.0,0.0,0.75,1,0.014401397449058174
1996,Jason Kendall,PIT,130,471,3,54,42,35,30,5,2,0.299516908,1.166666666,0.3387079546696769,-3.727504253387451,1.0508256815977854,101.8109636762783,83.50686924975965,38.80781134890695,109.6444925882344,94.99142075925438,66.63876667351443,2.824476480484009,0.7117520570755005,1.9197724915316925,1.063512500906805,116974,1990s,7,0.7142857142857143,0.008180865391590807,NL,AL,0,1,5,3,1,1,6,6,5,4,4,5,5,4,1,3,1,3.4375,3,batter,107.5,99,kendaja01,Rookie of the Year,1996.0,NL,30.0,140.0,1.0,0.0,0.21428571428571427,1,0.021726742157569298
1979,Alfredo Griffin,TOR,153,689,2,81,31,40,59,20,16,0.286858974,0.677966101,0.315539681096665,12.055760383605955,-13.555788186802292,86.58213164305297,67.55323524398183,73.03133105232625,99.55962303389754,89.07405521299788,55.43622065310067,-1.7131861448287964,-1.1421273946762085,-0.5872932623696006,2.1665655149229877,115137,1970s,36,0.5555555555555556,0.014160558921065278,AL,AL,1,1,5,4,2,3,4,4,1,1,4,1,6,1,6,6,6,3.4375,3,batter,134.5625,151,griffal01,Rookie of the Year,1979.0,AL,7.0,28.0,7.0,0.0,0.25,1,-0.0111972950642405
2010,Jason Heyward,ATL,142,623,18,83,72,91,128,11,6,0.276923076,0.7109375,0.3772188731245756,-0.9679598808288574,26.96152984835204,133.70793264439845,165.3127149526586,111.35437656770206,118.466161768081,110.41083506300065,118.53041481439364,4.764708518981934,3.860374212265014,0.8514147759055506,4.671300712076075,518792,2010s,17,0.6470588235294118,0.032896483887859686,NL,AL,0,14,2,2,2,1,7,5,1,2,1,10,1,3,1,1,2,3.4375,1,batter,49.875,16,heywaja01,Rookie of the Year,2010.0,NL,107.0,160.0,9.0,0.0,0.66875,1,0.033554285344943195
1981,Mookie Wilson,NYM,92,350,3,49,14,20,59,24,12,0.271341463,0.33898305,0.3126608968124609,2.567901313304901,-0.8998127936745908,96.70783705579916,65.85959054727903,143.41259313941217,96.75927621401333,98.90537316128716,88.53355258180568,0.1296478807926178,-0.3046526610851288,0.4308877318543574,1.3896459228939675,124434,1980s,36,0.6666666666666666,0.015104846987977908,NL,AL,0,5,4,5,5,5,3,3,3,3,3,1,3,4,3,5,1,3.5,3,batter,103.8125,123,wilsomo01,Rookie of the Year,1981.0,NL,1.0,120.0,0.0,0.0,0.008333333333333333,1,0.0014092160955719326
2002,Bobby Kielty,MIN,112,348,12,49,46,52,66,4,1,0.290657439,0.787878787,0.3869790651423986,-3.580165684223175,18.36270196497892,136.65793653700126,177.46935494147854,116.72690293687292,122.18116326120445,113.94344376243562,120.42865740284373,2.112013816833496,1.276543140411377,0.6931204364920649,2.660444032548133,282878,2000s,5,0.8,0.023753964576322617,AL,AL,0,4,2,1,2,1,2,3,4,4,2,9,3,10,2,4,3,3.5,3,batter,76.125,51,kieltbo01,Rookie of the Year,2002.0,AL,5.0,140.0,0.0,0.0,0.03571428571428571,1,0.018857266221727644
1979,John Castino,MIN,148,445,5,49,52,27,72,5,2,0.284987277,0.375,0.3264810310469733,5.969821453094482,-2.896544180670246,94.0425494013212,70.60072120819333,137.99041271478956,99.00063002512164,97.19457037847587,80.68579651715994,-0.6383821368217468,-0.4778017699718475,-0.142420512913364,1.81145071828768,112120,1970s,7,0.7142857142857143,0.012239531880322162,AL,AL,0,6,3,3,6,4,2,2,3,3,2,2,4,4,4,4,4,3.5,4,batter,139.5,162,castijo01,Rookie of the Year,1979.0,AL,7.0,28.0,7.0,0.0,0.25,1,-0.004313392816363154
1986,Wally Joyner,LAA,154,674,22,82,100,57,58,5,2,0.29005059,0.98275862,0.3503692888813774,-3.948353767395019,13.49180842056994,116.3430143574286,95.79643161936308,57.238005579978655,105.57515931476888,112.02989148488402,114.0480257419413,5.128983497619629,2.071896553039551,2.9727917898053047,3.277391452724438,116780,1980s,7,0.7142857142857143,0.021281762680028817,AL,AL,0,1,5,9,1,2,7,9,2,3,4,6,2,2,1,1,1,3.5,1,batter,57.625,26,joynewa01,Rookie of the Year,1986.0,AL,98.0,140.0,12.0,0.0,0.7,1,0.033305087646880706
2000,Lance Berkman,HOU,114,417,21,76,67,56,73,6,2,0.297450424,0.767123287,0.4020394873447143,-7.027773857116699,18.706060915475085,132.38824846622984,134.32076463176395,108.04587663033028,110.8077328177693,125.65466165143246,152.05923505167945,1.5540999174118042,1.877212643623352,-0.3145040142744593,2.36547665336487,204020,2000s,8,0.75,0.020749795204955,AL,AL,0,9,1,3,3,3,1,1,2,2,1,8,1,10,2,1,8,3.5,1,batter,83.25,58,berkmla01,Rookie of the Year,2000.0,NL,1.0,160.0,0.0,0.0,0.00625,1,0.01363245541589302
1975,Gary Carter,WSN,144,590,17,58,68,72,83,5,2,0.270377733,0.867469879,0.353487492962317,2.574304521083832,9.028817650535649,112.82373336226098,131.07694208088913,118.7221501929068,107.18739642208811,108.4029401208896,123.00457589821424,1.880821704864502,1.7508931159973145,-0.1186737867667693,3.233752434536143,112061,1970s,7,0.7142857142857143,0.022456614128723216,NL,AL,0,8,4,1,2,2,4,4,2,2,3,3,3,5,2,3,9,3.5625,2,batter,72.8125,60,cartega01,Rookie of the Year,1975.0,NL,9.0,24.0,9.0,0.0,0.375,1,0.01306126183933682
2004,Khalil Greene,SDP,139,554,15,67,65,53,94,4,2,0.272727272,0.563829787,0.3386297719913293,4.190460920333862,9.57113508578986,109.6000650176658,105.74860217300775,103.82004789503168,102.25729961930504,102.1444980234198,103.67874085190752,1.0032083988189695,0.3960061967372894,0.5817531618087035,3.158218760423576,425867,2000s,6,0.6666666666666666,0.022720998276428605,NL,AL,0,5,3,2,4,4,6,8,1,1,7,4,2,3,2,4,1,3.5625,1,batter,108.75,87,greenkh01,Rookie of the Year,2004.0,NL,108.0,160.0,7.0,0.0,0.675,1,0.007217326610208414
1978,Bob Horner,ATL,89,359,23,50,63,24,42,0,0,0.266253869,0.571428571,0.3710872474011411,0.1115691661834716,9.59611863731368,123.8927087370393,74.68305143849187,94.78131684067864,94.84380062171044,139.8211595804326,220.97815867492537,-0.2477801740169525,1.4930614233016968,-1.7170978116190807,2.322108076404745,116154,1970s,0,0.0,0.026091101982075784,NL,AL,0,6,1,5,5,5,1,1,4,1,1,5,1,8,5,1,8,3.625,2,batter,99.9375,94,hornebo01,Rookie of the Year,1978.0,NL,12.0,24.0,12.0,0.0,0.5,1,-0.002784046899066882
1987,Mark McGwire,OAK,151,641,49,97,118,71,131,1,1,0.289048473,0.541984732,0.4106850386795839,-15.538888931274414,45.884276888205264,156.81114286042367,123.91664582418224,132.89405188058916,110.88592285162784,145.1405220222361,204.67104960276225,3.342223882675171,4.441563129425049,-1.13719219269338,5.135818122513248,118743,1980s,2,0.5,0.03401204054644535,AL,AL,1,11,1,1,6,4,1,1,1,1,1,12,1,3,1,1,12,3.625,1,batter,62.875,33,mcgwima01,Rookie of the Year,1987.0,AL,140.0,140.0,28.0,1.0,1.0,1,0.022133932997848813
1981,Juan Bonilla,SDP,99,407,1,30,25,25,23,4,9,0.289972899,1.086956521,0.3101873793674789,-5.01874852180481,-3.456941840273745,97.9008795243378,70.79501409601619,48.076932005384315,102.72103887296704,91.51899731859528,47.694843183193555,-0.9418421387672424,0.4495905339717865,-1.3070234567492125,0.5863846410314961,111198,1980s,13,0.3076923076923077,0.005923077182136325,NL,AL,0,1,3,3,2,3,5,5,4,4,5,4,5,1,5,3,5,3.625,4,batter,103.0,121,bonilju01,Rookie of the Year,1981.0,NL,5.0,120.0,0.0,0.0,0.041666666666666664,1,-0.009513556957244873
1976,Hector Cruz,STL,151,577,13,54,71,42,119,1,0,0.228136882,0.352941176,0.2872438398140479,-13.454513549804688,-15.23059405778942,76.20043830888831,82.74973962069177,173.75214289699448,86.9821536349365,90.42360687819576,98.75494185151824,-2.660102128982544,-2.2420358657836914,-0.3024944762518093,-0.9677192895806888,112899,1970s,1,1.0,-0.006408737017090654,NL,AL,0,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,3,3.625,4,batter,165.5625,199,cruzhe01,Rookie of the Year,1976.0,NL,2.0,24.0,2.0,0.0,0.08333333333333333,1,-0.017616570390612873
