Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G
2011,Jemile Weeks,OAK,97,437,2,50,36,21,62,22,11,0.302955665,0.338709677,0.3325342187134351,-2.768308162689209,5.520406723992938,110.52411662190931,59.32582159473525,79.08609964288958,105.25650513480032,103.03818294570002,78.59770199535454,-0.0160781890153884,-0.054114744067192,0.0367545227859889,1.8115104325225488,457789,2010s,33,0.6666666666666666,0.018675365283737616,AL,AL,0,7,6,17,14,4,8,13,5,4,7,9,7,10,11,7,12,8.8125,8,batter,132.8125,139,weeksje01,Rookie of the Year,2011.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.00016575452593183915
2018,Jesse Winker,CIN,89,334,7,38,43,49,46,0,0,0.298932384,1.065217391,0.3656314694772737,-7.49064302444458,9.125735775528218,127.44674733313218,163.47120341919276,63.83242936081574,124.02238135610028,103.23704339331069,80.60926831329859,2.0223100185394287,1.3312199115753174,0.58881557277612,1.22087841064437,608385,2010s,0,0.0,0.013717734951060337,NL,AL,0,2,5,3,1,2,11,19,13,14,4,18,8,21,4,7,9,8.8125,8,batter,87.6875,64,winkeje01,Rookie of the Year,2018.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.022722584477971108
2013,AJ Pollock,ARI,137,482,8,64,38,33,82,12,3,0.268623024,0.402439024,0.3206272441971751,6.439436078071594,0.1574080403038755,98.15497828778771,85.6636627523872,89.66516213829622,99.60268213397268,101.97049525682216,97.91959184155748,-0.5921958088874817,0.0269631259143352,-0.6123220777188597,2.2769039176948023,572041,2010s,15,0.8,0.016619736625509505,NL,AL,0,8,9,13,8,7,8,9,5,8,8,4,10,4,13,11,16,8.8125,6,batter,141.5625,150,polloaj01,Rookie of the Year,2013.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0043225971451640996
1986,Pete Incaviglia,TEX,153,606,30,82,88,55,185,3,2,0.25,0.297297297,0.3432115808820093,-20.48250961303711,5.8846580733930995,108.34505347153664,102.8074148570572,203.0558482111416,97.15092740774476,113.49208283484514,145.48269922948316,0.2886295020580292,0.4797433018684387,-0.201175614181829,0.6043126997523907,116386,1980s,5,0.6,0.003949756207531965,AL,AL,0,14,8,6,13,8,5,5,11,11,6,13,8,4,9,9,11,8.8125,11,batter,131.5,146,incavpe01,Rookie of the Year,1986.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.001886467333712609
1974,Steve Swisher,CHC,90,325,5,21,27,37,63,0,3,0.214285714,0.587301587,0.2833741561646031,7.194327354431152,-13.791188117723255,65.58686693619946,120.43378054800682,160.12396439650774,91.9613337975161,75.35173815882892,61.0897025371279,-2.4608540534973145,-1.4267239570617676,-0.862643570493522,0.3637952220156359,123061,1970s,3,0.0,0.004042169133507066,NL,AL,0,10,10,3,8,9,10,9,10,10,10,3,10,10,10,10,9,8.8125,10,batter,167.5625,203,swishst01,Rookie of the Year,1974.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.027342822816636827
1987,Luis Polonia,OAK,125,469,4,78,49,32,64,29,7,0.287356321,0.5,0.3230018074558429,-7.45335865020752,2.4158654976286105,99.6817892898888,76.33196929280321,88.73591023487806,100.60971017887913,93.4635515159814,68.74047110346632,0.2433332204818725,0.2488951086997985,-0.0069142921711578,1.0738587751657125,120658,1980s,36,0.8055555555555556,0.0085908702013257,AL,AL,0,6,9,8,7,8,10,10,10,11,11,10,8,8,9,9,7,8.8125,12,batter,140.4375,154,polonlu01,Rookie of the Year,1987.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0019466657638549801
2005,Ryan Howard,PHI,88,348,22,52,63,33,100,0,1,0.288461538,0.33,0.384497850782731,-3.0922770500183105,13.227248824555373,131.70265119039507,107.93881820938108,178.37573637465024,105.15773573696572,132.64380584359316,175.12111780108654,0.6680680513381958,1.5373207330703735,-0.9408771122422326,2.1530018378525253,429667,2000s,1,0.0,0.02446592997559688,NL,AL,0,24,2,12,21,3,1,1,6,2,2,16,2,20,6,2,21,8.8125,5,batter,114.9375,97,howarry01,Rookie of the Year,2005.0,NL,109.0,160.0,19.0,0.0,0.68125,1,0.007591682401570407
1993,Jeff Conine,MIA,162,658,12,75,79,52,135,2,2,0.292436974,0.385185185,0.3382199604700251,-7.283362865447998,3.748096582980782,104.92234297400772,92.78620772805012,141.7645343417238,104.4361340978092,97.69492964312374,78.1618633394889,0.2859121859073639,0.6015322804450989,-0.340216255773974,1.9711206377896415,112559,1990s,4,0.5,0.012167411344380503,NL,AL,0,14,7,9,15,7,6,8,8,11,6,15,7,1,8,5,14,8.8125,10,batter,130.375,135,coninje01,Rookie of the Year,1993.0,NL,31.0,140.0,0.0,0.0,0.22142857142857142,1,0.0017648900364652092
1998,Paul Bako,DET,96,333,3,23,30,23,82,1,1,0.272131147,0.280487804,0.293879034133946,7.176042079925537,-13.007683685511912,70.42871074586881,78.5954656367276,151.02667756528615,93.8157748891786,80.36936548900889,46.947502076979134,-1.4624382257461548,-1.3092024326324463,-0.0188926000810858,0.5609454504865053,132720,1990s,2,0.5,0.005843181775901097,AL,AL,0,9,10,9,11,10,10,11,6,6,10,3,10,11,8,11,6,8.8125,11,batter,194.75,234,bakopa01,Rookie of the Year,1998.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.015233731518189112
2017,Yuli Gurriel,HOU,139,564,18,69,75,22,62,3,2,0.298676748,0.354838709,0.344484387240232,-10.976076006889343,12.066046763080532,118.23714899167706,46.313076999051496,51.62419763454713,102.1751713768546,113.01376978511664,107.7663483536224,2.2139198780059814,1.2317724227905271,1.08346760671267,1.9614665918590948,493329,2010s,5,0.6,0.014111270445029458,AL,AL,0,1,6,25,9,7,9,14,7,10,9,22,6,5,2,7,2,8.8125,5,batter,106.4375,82,gourryu01,Rookie of the Year,2017.0,AL,5.0,150.0,0.0,0.0,0.03333333333333333,1,0.01592748113673368
