Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
1998,Dean Crow,DET,32,45.2,18,3.941608363715189,83.8737535803013,5.241343368067941,110.49970130282468,-1.299735004352752,60.435116671377834,107.03167715399768,115.38353762952327,108.58949206453276,56.14246381851393,92.897092444912,0.01015228,0.104403980076313,-0.0430193021893501,0.1865431406295852,0,0.0,2,5,-0.1080018505454063,133223,1990s,-0.002389421472243502,1.4125,0.2857142857142857,relief,AL,AL,0,0.5,0.2,0.4,0.3,0.1,1.0,0.75,0.3,0.2,0.4,0.1,0.5,0.3,0.1,0.1,0.2,0.2,0.7,0.35277777777777775,8,129,0.2632090132090132,crowde01,Rookie of the Year,1998.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.002309822568060022
1976,Joe Kerrigan,WSN,38,56.2,22,3.811765133550883,104.57669058848728,3.867827997240656,109.45278067894746,-0.0560628636897733,62.39008033341932,83.03789828713224,115.49370856690592,114.98664553644676,69.42397397473734,111.2740566126825,-0.00409836,-1.31345796585083,0.0667851492762565,-1.636286514459959,1,0.0,7,9,-0.1133124604821205,117022,1970s,-0.0020162359516391545,1.4789473684210528,0.4375,relief,NL,NL,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.16666666666666666,0.22839506172839505,8,85,0.26296296296296295,kerrijo01,Rookie of the Year,1976.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.02337113818239911
2007,Dustin Moseley,LAA,38,51.1,25,4.558442010105877,101.4399270845838,4.778566332132037,108.5375852272482,-0.2201243220261597,73.47015292485409,104.54373283573378,97.28612606815402,91.07481139649106,71.09138300636016,96.76226256757194,0.03864734,0.0634239763021469,-0.2400533109903335,0.3394093692408497,0,0.0,8,9,-0.0904449895024299,400291,2000s,-0.0017699606556248514,1.3447368421052632,0.47058823529411764,relief,AL,AL,0,0.35,0.15,0.1,0.55,0.3,0.65,0.3,0.15,0.15,0.45,0.2,0.5,0.3,0.35,0.2,0.35,0.25,0.75,0.3361111111111111,17,144,0.26242236024844723,moseldu01,Rookie of the Year,2007.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.001241173704542992
2019,Colten Brewer,BOS,58,54.2,52,4.115854137217608,85.12027913473018,4.714009650160648,104.16614748663147,-0.5981555129430403,57.0334295569782,68.21441203485253,107.8919924551666,126.23785670742488,90.4218138804963,158.54179206892664,0.07114625,-0.3860020339488983,-0.3038913607597351,-0.1440158167845104,0,1.0,8,9,-0.0326260589063167,605155,2010s,-0.0006019568063896071,0.9344827586206897,0.47058823529411764,relief,AL,AL,0,0.68,0.4,0.76,0.04,0.12,0.2,0.38,0.28,0.28,0.6,0.28,0.28,0.12,0.08,0.08,0.26,0.2,0.52,0.30888888888888894,23,147,0.262142381902861,breweco01,Rookie of the Year,2019.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.007121808744444618
2003,Wilfredo Ledezma,DET,26,48.2,29,5.178083680007111,118.09539274528323,4.798645783473022,108.94059790980396,0.379437896534089,71.4958328749969,99.73810652882284,97.12265114621104,102.35117387223043,88.00090158184332,123.08535887619388,0.03809524,-1.09306800365448,0.0405856035649776,-1.8867699145644323,0,1.0,3,6,-0.0070191025733947,425656,2000s,-0.00014562453471773235,1.853846153846154,0.3333333333333333,relief,AL,AL,0,0.15,0.3,0.25,0.45,0.5,0.55,0.65,0.35,0.35,0.25,0.25,0.15,0.35,0.3,0.3,0.15,0.125,0.05,0.3041666666666667,18,128,0.26195987654320985,ledezwi01,Rookie of the Year,2003.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.02267775941191867
2012,Héctor Santiago,CHW,38,51.0,53,3.882353812353205,91.6988792870538,5.368962409339677,125.27731052320726,-1.4866085969864722,74.53174543412423,145.931771930126,87.96230395293797,106.47326992194186,121.18615099870196,162.59668702173462,0.10666667,-0.7184999585151672,-0.4222100675106048,-0.4568418299276561,4,2.0,6,4,-0.5147154331207275,502327,2010s,-0.010092459472955442,1.3421052631578947,0.6,relief,AL,AL,0,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.7647058823529411,0.11764705882352941,0.9117647058823529,0.058823529411764705,0.058823529411764705,0.4117647058823529,0.6470588235294118,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.4117647058823529,0.29411764705882354,0.4411764705882353,0.29411764705882354,0.3137254901960784,15,134,0.25807057057057065,santihe01,Rookie of the Year,2012.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.014088234480689554
2002,Scott Cassidy,TOR,58,66.0,48,5.727275375493541,124.26359556060196,5.643893892378106,126.5596231412083,0.0833814831154349,77.99571854251927,149.2138038771909,82.12682675346714,92.04247305698084,105.84514995720858,135.7063480769105,0.05673759,-1.483788013458252,0.0866498425602912,-1.615760731734999,0,7.0,12,11,-0.7045694589614868,407859,2000s,-0.0106752948327498,1.1379310344827587,0.5217391304347826,relief,AL,AL,0,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.5909090909090909,0.7272727272727273,0.2727272727272727,0.25,0.13636363636363635,0.13636363636363635,0.6363636363636364,0.5454545454545454,0.09090909090909091,0.4090909090909091,0.45454545454545453,0.5,0.6136363636363636,0.2727272727272727,0.045454545454545456,0.34343434343434337,19,124,0.25802034428794995,cassisc01,Rookie of the Year,2002.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.02248163656754927
1998,Sean Runyan,DET,88,50.1,39,3.576161199002044,76.0973784026113,5.185511149071011,109.3408880931328,-1.6093499500689663,74.82443011851723,113.29291112821488,91.44811135913132,104.07210344998056,107.45952923814004,143.615572352829,0.04932735,-0.9343880414962769,-0.3133350312709808,-0.6720567291538901,1,0.0,13,14,-0.1168568283319473,132784,1990s,-0.0023324716233921617,0.5693181818181818,0.48148148148148145,relief,AL,AL,0,0.6,0.3,0.1,0.4,0.4,0.3,0.1,0.2,0.3,0.5,0.3,0.1,0.2,0.3,0.3,0.5,0.3,0.2,0.3,9,130,0.2577700077700078,runyase01,Rookie of the Year,1998.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.018650459910105326
2010,Jordan Smith,CIN,37,42.0,26,3.857144608790356,93.98801173181953,4.934986126828739,119.59409233159631,-1.077841518038383,106.08682392027082,160.67044198436008,107.57400038856176,98.93448629983835,75.89454412790523,71.54002937359722,0.08379888,-0.5920300483703613,-0.2908753156661987,-0.5593626540243379,1,1.0,6,8,-0.2889779508113861,502136,2010s,-0.006880427400271098,1.135135135135135,0.42857142857142855,relief,NL,NL,0,0.5,0.25,0.16666666666666666,0.625,0.2916666666666667,0.875,0.5416666666666666,0.2916666666666667,0.2916666666666667,0.125,0.20833333333333334,0.16666666666666666,0.25,0.6458333333333334,0.5,0.2708333333333333,0.25,0.2916666666666667,0.3634259259259259,18,127,0.2574571215510813,smithjo06,Rookie of the Year,2010.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.01409595353262765
1988,Steve Rosenberg,CHW,33,46.0,28,4.30434818303881,107.98365314806088,4.203682597598426,109.43611638664908,0.1006655854403835,85.99580428714158,115.43886527626202,113.07080571791968,116.35870198313884,96.39502572578655,112.0927018035211,0.04433498,-0.5350440144538879,-0.3276985883712768,-0.6210385987527287,1,0.0,5,6,-0.10732351988554,121465,1980s,-0.002333119997511739,1.393939393939394,0.45454545454545453,relief,AL,AL,0,0.125,0.125,0.125,0.125,0.125,0.75,0.75,0.125,0.125,0.25,0.375,0.25,0.25,0.625,0.375,0.125,0.125,0.25,0.2777777777777778,8,93,0.25599128540305016,rosenst01,Rookie of the Year,1988.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.01163139161856278
