Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
2024,Cade Smith,CLE,69,70.0,93,2.057143305564511,51.00193852264504,1.561386178853484,37.133151290391126,0.495757126711027,198.09995927901605,11.045385970393056,81.04221578715642,74.13646432777774,152.2361712255634,76.84816213868146,0.28148148,2.5265445709228516,2.101395606994629,0.1467866585360551,1,2.0,29,7,2.3515751361846924,671922,2020s,0.03359393051692418,1.0144927536231885,0.8055555555555556,relief,AL,,,0.9090909090909091,1.0,0.9545454545454546,0.8636363636363636,0.7272727272727273,0.7727272727272727,0.6136363636363636,1.0,0.9545454545454546,1.0,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8636363636363636,0.7272727272727273,0.8901515151515151,1,3,0.899808429118774,smithca06,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.036093493870326454
2024,Mason Miller,OAK,48,57.2,91,2.341040565668914,59.86981078784993,1.9617993591232352,48.376363729110174,0.3792412065456787,173.43556140783437,53.63076648456572,63.31423108371595,67.84029215512258,182.8173375407597,105.40937864730805,0.32727273,3.3068735599517822,1.8492168188095093,-0.0480511414397191,24,2.0,25,4,2.3132693767547607,695243,2020s,0.04044177232088742,1.1916666666666667,0.8620689655172413,closer,AL,,,0.7727272727272727,0.9545454545454546,0.6818181818181818,0.9090909090909091,0.9545454545454546,0.5,0.9545454545454546,0.9545454545454546,1.0,0.5909090909090909,1.0,1.0,0.9090909090909091,0.8636363636363636,1.0,0.8636363636363636,1.0,0.6363636363636364,0.8636363636363638,2,5,0.8731800766283526,millema03,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.057812474824331855
2024,Hunter Gaddis,CLE,70,66.2,61,1.4850002265930522,36.817021963391696,2.8906722015380795,70.17898932203578,-1.4056719749450273,157.78007509727254,46.39061804194451,66.06702373952969,59.879448041245254,109.1519627214746,69.17981721658155,0.1902834,2.6114425659179688,2.418765068054199,-0.579748587029431,0,4.0,34,6,1.4400441646575928,683769,2020s,0.02175293300086998,0.9457142857142857,0.85,relief,AL,,,1.0,0.7272727272727273,0.7727272727272727,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.7954545454545454,0.9090909090909091,0.8181818181818182,0.9545454545454546,0.5454545454545454,0.9090909090909091,1.0,0.8181818181818182,0.7727272727272727,1.0,0.9545454545454546,0.3181818181818182,0.8371212121212122,3,9,0.8381226053639845,gaddihu01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.03944777289906297
2024,Bryan Hudson,MIL,43,62.1,62,1.7326204622336372,41.82353148754074,3.608827360584044,87.87437966705423,-1.876206898350407,132.94385345814354,90.13310572109636,54.15990487940696,55.978941586019026,120.13027165146102,90.36165680225918,0.1948052,2.702282190322876,1.7305442094802856,0.4413679297956641,0,3.0,26,6,0.768014669418335,663542,2020s,0.012367385980971576,1.4441860465116279,0.8125,relief,NL,,,0.9545454545454546,0.5909090909090909,0.22727272727272727,1.0,1.0,0.6363636363636364,0.7954545454545454,0.6818181818181818,0.6818181818181818,0.7727272727272727,0.7272727272727273,0.9545454545454546,0.8636363636363636,0.7727272727272727,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.7866161616161615,4,13,0.7869731800766284,hudsobr01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0435150111163104
2024,Orion Kerkering,PHI,55,54.2,65,2.140244151353156,51.73902663117072,2.3159160474735128,56.264059520895266,-0.1756718961203569,182.26173460617025,29.36392222086457,88.9003813473151,80.85088876321302,131.64180639048877,72.22679149973449,0.23529412,1.0055279731750488,1.2628594636917114,-0.4512483651746877,0,2.0,14,8,1.3559414148330688,689147,2020s,0.025017369277362894,0.9854545454545455,0.6363636363636364,relief,NL,,,0.8636363636363636,0.9090909090909091,0.8636363636363636,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.4090909090909091,0.8636363636363636,0.9090909090909091,0.5454545454545454,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.6363636363636364,0.5454545454545454,0.4090909090909091,0.7348484848484846,5,18,0.7436781609195402,kerkeor01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.01855217662684592
2024,Justin Slaten,BOS,38,49.1,50,3.283784122341684,76.43098742169542,2.871618159623627,68.617000647556,0.4121659627180571,201.1767806205234,62.69002127860407,88.50376388046317,77.68144226326437,112.17664479813972,55.760237708367335,0.20812183,0.6831738948822021,0.9030635356903076,-0.2980343704677992,1,3.0,19,7,1.1336694955825806,686580,2020s,0.02308899176339268,1.2921052631578949,0.7307692307692307,relief,AL,,,0.6363636363636364,0.7727272727272727,0.5454545454545454,0.8181818181818182,0.5909090909090909,1.0,0.6136363636363636,0.7272727272727273,0.8636363636363636,0.36363636363636365,0.6363636363636364,0.5909090909090909,0.6818181818181818,1.0,0.8636363636363636,0.7954545454545454,0.8181818181818182,0.45454545454545453,0.7095959595959596,6,24,0.7038314176245211,slateju01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.013913928612672141
2024,Justin Martinez,ARI,56,64.0,81,2.390625284984742,57.17168067579911,2.6444221816956923,67.66463025200298,-0.2537968967109503,92.27000314437367,25.081683636581253,86.46897646454954,99.34966696354267,134.27464254515343,145.52360992220528,0.18148148,0.8708053231239319,1.1067899465560913,-0.5371643034522057,8,1.0,18,10,1.175581693649292,679885,2020s,0.018368463963270187,1.1428571428571428,0.6428571428571429,relief,NL,,,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.4090909090909091,0.6818181818181818,0.3181818181818182,0.09090909090909091,0.7727272727272727,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.6363636363636364,0.7727272727272727,0.45454545454545453,0.6818181818181818,0.7272727272727273,0.5909090909090909,0.36363636363636365,0.6363636363636364,7,34,0.6371647509578544,martiju01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.013606333173811436
2024,Declan Cronin,MIA,51,65.0,66,4.430770270895215,105.05914750882891,2.391056676221274,59.460681997772014,2.0397135946739406,109.35704076370214,0.0,110.87093013769488,108.5576974201371,105.1260542857807,96.13103161345512,0.15658363,1.2143739461898804,0.7677861452102661,0.6441818306700458,0,1.0,13,8,1.2960838079452517,686539,2020s,0.01993975089146541,1.2745098039215685,0.6190476190476191,relief,NL,,,0.18181818181818182,0.8636363636363636,1.0,0.3181818181818182,0.13636363636363635,0.5909090909090909,0.4090909090909091,0.8181818181818182,0.7727272727272727,0.8636363636363636,0.45454545454545453,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.5681818181818182,0.5,0.9090909090909091,0.6022727272727272,8,38,0.6076628352490422,cronide01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.018682676095228928
2024,Ryan Fernandez,STL,55,60.1,62,3.132597345298924,77.05237956157404,3.5734623841112128,89.35040010556888,-0.4408650388122885,75.33485027958214,53.21197457555017,86.79763682758222,98.96143450024464,109.68416099523272,145.595509454616,0.12648221,0.9776384234428406,0.0684961676597595,0.7502627171344047,2,2.0,17,7,0.5090893507003784,681676,2020s,0.008470704670555381,1.0927272727272728,0.7083333333333334,relief,NL,,,0.5909090909090909,0.5,0.7272727272727273,0.45454545454545453,0.6363636363636364,0.2727272727272727,0.6136363636363636,0.5909090909090909,0.5,0.6818181818181818,0.5909090909090909,0.6818181818181818,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.6818181818181818,0.7727272727272727,0.9545454545454546,0.5669191919191919,9,56,0.5519157088122605,fernary01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.016266862286902505
2024,Tyler Ferguson,OAK,40,43.1,53,4.153846641405152,106.2305438486126,3.5910569091661495,89.9882078209175,0.5627897322390023,87.23756760178601,71.3701790898623,78.97258930872098,93.96466900213728,130.86439656123983,150.00922991130918,0.17318436,0.5780520439147949,0.3859095275402069,0.2814890354005214,2,2.0,12,6,0.3585371971130371,621053,2020s,0.008318728471300165,1.0775000000000001,0.6666666666666666,relief,AL,,,0.13636363636363635,0.4090909090909091,0.36363636363636365,0.5909090909090909,0.8636363636363636,0.22727272727272727,0.7954545454545454,0.45454545454545453,0.45454545454545453,0.13636363636363635,0.7727272727272727,0.5,0.4090909090909091,0.4090909090909091,0.6363636363636364,0.4772727272727273,0.6363636363636364,0.7727272727272727,0.5025252525252526,10,66,0.5055555555555555,ferguty01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.013411880369252782
